ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945056,5211,,5211,Toyota Verblitz,0.00,3.32,3,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-12-28T05:40:28Z,0,0,0,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,28/12/2024,14:40,10,6,17,21,0,0,524,Gifu Memorial Centre Nagaragawa Stadium,-1,NA,2,2025,,,,0,,0,,1000968,Marcus Playle,1000990,Toshimasa Sekiya,1001701,Hibiki Ikeda,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,0,,0,
1,945056,25307,Rikiya Matsuda,5211,Toyota Verblitz,0.00,3.32,3,1,50,34,81,5,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,31,43,30,0,2024-12-28T05:40:28Z,1,0,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,28/12/2024,14:40,10,6,17,21,0,0,524,Gifu Memorial Centre Nagaragawa Stadium,-1,NA,2,2025,10,10,Fly Half,0,,0,,1000968,Marcus Playle,1000990,Toshimasa Sekiya,1001701,Hibiki Ikeda,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,0,,0,
2,945056,23384,Johnny Fa'auli,5202,Mie Honda Heat,3.32,3.32,6,1,19,63,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-12-28T05:40:30Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,28/12/2024,14:40,10,6,17,21,0,0,524,Gifu Memorial Centre Nagaragawa Stadium,-1,NA,2,2025,13,13,Outside Centre,0,,0,,1000968,Marcus Playle,1000990,Toshimasa Sekiya,1001701,Hibiki Ikeda,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,W,0,,0,
3,945056,0,,5202,Mie Honda Heat,3.32,3.32,6,1,19,63,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,23,0,0,0,2024-12-28T05:40:30Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,28/12/2024,14:40,10,6,17,21,0,0,524,Gifu Memorial Centre Nagaragawa Stadium,-1,NA,2,2025,,,,0,,0,,1000968,Marcus Playle,1000990,Toshimasa Sekiya,1001701,Hibiki Ikeda,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,W,0,,0,
4,945056,23384,Johnny Fa'auli,5202,Mie Honda Heat,3.32,7.00,6,1,19,63,22,62,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,0,0,2024-12-28T05:40:30Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,28/12/2024,14:40,10,6,17,21,0,0,524,Gifu Memorial Centre Nagaragawa Stadium,-1,NA,2,2025,13,13,Outside Centre,0,,0,,1000968,Marcus Playle,1000990,Toshimasa Sekiya,1001701,Hibiki Ikeda,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,W,28191,Viliame Tuidraki,5211,Toyota Verblitz
5,945056,28191,Viliame Tuidraki,5211,Toyota Verblitz,4.84,4.84,8,1,78,5,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-12-28T05:40:31Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,28/12/2024,14:40,10,6,17,21,0,0,524,Gifu Memorial Centre Nagaragawa Stadium,-1,NA,2,2025,11,11,Left Wing,0,,0,,1000968,Marcus Playle,1000990,Toshimasa Sekiya,1001701,Hibiki Ikeda,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,23384,Johnny Fa'auli,5202,Mie Honda Heat
6,945056,58967,Isaiah Mapusua,5211,Toyota Verblitz,5.04,5.04,8,1,78,5,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-12-28T05:40:35Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,28/12/2024,14:40,10,6,17,21,0,0,524,Gifu Memorial Centre Nagaragawa Stadium,-1,NA,2,2025,06,6,Blindside Flanker,0,,0,,1000968,Marcus Playle,1000990,Toshimasa Sekiya,1001701,Hibiki Ikeda,1001491,Katsuki Furuse,421,Japan Rugby League One D1,Y,L,23384,Johnny Fa'auli,5202,Mie Honda Heat
7,945056,23384,Johnny Fa'auli,5202,Mie Honda Heat,7.00,16.88,10,1,22,62,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2024-12-28T05:40:34Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,28/12/2024,14:40,10,6,17,21,0,0,524,Gifu Memorial Centre Nagaragawa Stadium,-1,NA,2,2025,13,13,Outside Centre,0,,0,,1000968,Marcus Playle,1000990,Toshimasa Sekiya,1001701,Hibiki Ikeda,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,W,43685,Taichi Takenaka,5202,Mie Honda Heat
8,945056,36509,Taiki Yoshioka,5202,Mie Honda Heat,9.60,9.60,13,1,22,62,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-12-28T05:40:27Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,28/12/2024,14:40,10,6,17,21,0,0,524,Gifu Memorial Centre Nagaragawa Stadium,-1,NA,2,2025,03,3,Tighthead Prop,0,,0,,1000968,Marcus Playle,1000990,Toshimasa Sekiya,1001701,Hibiki Ikeda,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,W,0,,0,
9,945056,36508,Tatsuhiko Tsurukawa,5202,Mie Honda Heat,9.76,9.76,13,1,22,62,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-12-28T05:40:27Z,1,1,1,0,0,5211,Toyota Verblitz,5202,Mie Honda Heat,28/12/2024,14:40,10,6,17,21,0,0,524,Gifu Memorial Centre Nagaragawa Stadium,-1,NA,2,2025,01,1,Loosehead Prop,0,,0,,1000968,Marcus Playle,1000990,Toshimasa Sekiya,1001701,Hibiki Ikeda,1001491,Katsuki Furuse,421,Japan Rugby League One D1,N,W,0,,0,
