ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945083,5202,,5202,Mie Honda Heat,0.00,5.08,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-02T03:10:26Z,0,0,0,0,0,5202,Mie Honda Heat,19702,Toshiba Brave Lupus Tokyo,02/02/2025,12:10,5,7,12,35,0,0,514,Suzuka Sports Garden,-1,NA,6,2025,,,,0,,0,,1000990,Toshimasa Sekiya,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001818,Koji Taniguchi,421,Japan Rugby League One D1,Y,L,0,,0,
1,945083,21077,Richie Mo'unga,19702,Toshiba Brave Lupus Tokyo,0.00,5.08,0,1,50,34,83,57,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,33,41,23,0,2025-02-02T03:10:26Z,1,0,1,0,0,5202,Mie Honda Heat,19702,Toshiba Brave Lupus Tokyo,02/02/2025,12:10,5,7,12,35,0,0,514,Suzuka Sports Garden,-1,NA,6,2025,10,10,Fly Half,0,,0,,1000990,Toshimasa Sekiya,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001818,Koji Taniguchi,421,Japan Rugby League One D1,N,W,0,,0,
2,945083,27250,Hayata Nakao,5202,Mie Honda Heat,5.08,5.08,5,1,17,11,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-02T03:10:30Z,1,1,1,0,0,5202,Mie Honda Heat,19702,Toshiba Brave Lupus Tokyo,02/02/2025,12:10,5,7,12,35,0,0,514,Suzuka Sports Garden,-1,NA,6,2025,10,10,Fly Half,0,,0,,1000990,Toshimasa Sekiya,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001818,Koji Taniguchi,421,Japan Rugby League One D1,Y,L,0,,0,
3,945083,0,,5202,Mie Honda Heat,5.08,5.08,5,1,17,11,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,42,0,0,0,2025-02-02T03:10:30Z,1,1,1,0,0,5202,Mie Honda Heat,19702,Toshiba Brave Lupus Tokyo,02/02/2025,12:10,5,7,12,35,0,0,514,Suzuka Sports Garden,-1,NA,6,2025,,,,0,,0,,1000990,Toshimasa Sekiya,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001818,Koji Taniguchi,421,Japan Rugby League One D1,Y,L,0,,0,
4,945083,27250,Hayata Nakao,5202,Mie Honda Heat,5.08,7.68,5,1,17,11,21,10,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,1,1,2025-02-02T03:10:30Z,1,1,1,0,0,5202,Mie Honda Heat,19702,Toshiba Brave Lupus Tokyo,02/02/2025,12:10,5,7,12,35,0,0,514,Suzuka Sports Garden,-1,NA,6,2025,10,10,Fly Half,0,,0,,1000990,Toshimasa Sekiya,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001818,Koji Taniguchi,421,Japan Rugby League One D1,Y,L,29261,Takeshi Sasaki,19702,Toshiba Brave Lupus Tokyo
5,945083,29261,Takeshi Sasaki,19702,Toshiba Brave Lupus Tokyo,7.00,7.00,7,1,79,60,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-02-02T03:10:32Z,1,1,1,0,0,5202,Mie Honda Heat,19702,Toshiba Brave Lupus Tokyo,02/02/2025,12:10,5,7,12,35,0,0,514,Suzuka Sports Garden,-1,NA,6,2025,07,7,Openside Flanker,0,,0,,1000990,Toshimasa Sekiya,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001818,Koji Taniguchi,421,Japan Rugby League One D1,N,W,27250,Hayata Nakao,5202,Mie Honda Heat
6,945083,25294,Taichi Mano,19702,Toshiba Brave Lupus Tokyo,7.24,7.24,7,1,79,60,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-02-02T03:10:32Z,1,1,1,0,0,5202,Mie Honda Heat,19702,Toshiba Brave Lupus Tokyo,02/02/2025,12:10,5,7,12,35,0,0,514,Suzuka Sports Garden,-1,NA,6,2025,12,12,Inside Centre,0,,0,,1000990,Toshimasa Sekiya,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001818,Koji Taniguchi,421,Japan Rugby League One D1,N,W,27250,Hayata Nakao,5202,Mie Honda Heat
7,945083,27250,Hayata Nakao,5202,Mie Honda Heat,7.68,10.96,7,1,21,10,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,6,2025-02-02T03:10:32Z,1,1,1,0,0,5202,Mie Honda Heat,19702,Toshiba Brave Lupus Tokyo,02/02/2025,12:10,5,7,12,35,0,0,514,Suzuka Sports Garden,-1,NA,6,2025,10,10,Fly Half,0,,0,,1000990,Toshimasa Sekiya,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001818,Koji Taniguchi,421,Japan Rugby League One D1,Y,L,43682,Azuma Doei,5202,Mie Honda Heat
8,945083,28113,Tony Hunt,5202,Mie Honda Heat,9.04,9.04,9,1,21,10,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-02-02T03:10:30Z,1,1,1,0,0,5202,Mie Honda Heat,19702,Toshiba Brave Lupus Tokyo,02/02/2025,12:10,5,7,12,35,0,0,514,Suzuka Sports Garden,-1,NA,6,2025,07,7,Openside Flanker,0,,0,,1000990,Toshimasa Sekiya,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001818,Koji Taniguchi,421,Japan Rugby League One D1,Y,L,0,,0,
9,945083,25294,Taichi Mano,19702,Toshiba Brave Lupus Tokyo,9.36,9.36,9,1,79,58,0,0,43,Ruck OOA,578,Got Cleaned Out,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-02-02T03:10:30Z,1,1,1,0,0,5202,Mie Honda Heat,19702,Toshiba Brave Lupus Tokyo,02/02/2025,12:10,5,7,12,35,0,0,514,Suzuka Sports Garden,-1,NA,6,2025,12,12,Inside Centre,0,,0,,1000990,Toshimasa Sekiya,1001491,Katsuki Furuse,1001100,Atsushi Yamamoto,1001818,Koji Taniguchi,421,Japan Rugby League One D1,N,W,0,,0,
