ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945084,5207,,5207,Urayasu D-Rocks,0.00,3.88,1,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-08T03:07:26Z,0,0,0,0,0,5207,Urayasu D-Rocks,5202,Mie Honda Heat,08/02/2025,12:05,21,5,31,26,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,7,2025,,,,0,,0,,1001490,Ibuki Tetsuka,1001668,Motonori Mizutani,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,
1,945084,26651,Hikaru Tamura,5207,Urayasu D-Rocks,0.00,3.88,1,1,50,35,81,13,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,32,39,23,0,2025-02-08T03:07:26Z,1,0,1,0,0,5207,Urayasu D-Rocks,5202,Mie Honda Heat,08/02/2025,12:05,21,5,31,26,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,7,2025,10,10,Fly Half,0,,0,,1001490,Ibuki Tetsuka,1001668,Motonori Mizutani,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,0,,0,
2,945084,62200,Kyogo Okano,5202,Mie Honda Heat,3.88,3.88,5,1,19,55,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-08T03:07:29Z,1,1,1,0,0,5207,Urayasu D-Rocks,5202,Mie Honda Heat,08/02/2025,12:05,21,5,31,26,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,7,2025,13,13,Outside Centre,0,,0,,1001490,Ibuki Tetsuka,1001668,Motonori Mizutani,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,0,,0,
3,945084,0,,5202,Mie Honda Heat,3.88,3.88,5,1,19,55,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,21,0,0,0,2025-02-08T03:07:29Z,1,1,1,0,0,5207,Urayasu D-Rocks,5202,Mie Honda Heat,08/02/2025,12:05,21,5,31,26,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,7,2025,,,,0,,0,,1001490,Ibuki Tetsuka,1001668,Motonori Mizutani,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,0,,0,
4,945084,62200,Kyogo Okano,5202,Mie Honda Heat,3.88,7.08,5,1,19,55,26,48,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,7,7,1,1,2025-02-08T03:07:29Z,1,1,1,0,0,5207,Urayasu D-Rocks,5202,Mie Honda Heat,08/02/2025,12:05,21,5,31,26,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,7,2025,13,13,Outside Centre,0,,0,,1001490,Ibuki Tetsuka,1001668,Motonori Mizutani,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,36580,Kim Ryom,5207,Urayasu D-Rocks
5,945084,36580,Kim Ryom,5207,Urayasu D-Rocks,5.76,5.76,7,1,75,17,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-02-08T03:07:31Z,1,1,1,0,0,5207,Urayasu D-Rocks,5202,Mie Honda Heat,08/02/2025,12:05,21,5,31,26,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,7,2025,03,3,Tighthead Prop,0,,0,,1001490,Ibuki Tetsuka,1001668,Motonori Mizutani,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,62200,Kyogo Okano,5202,Mie Honda Heat
6,945084,43566,Ryuji Fujimura,5207,Urayasu D-Rocks,5.92,5.92,7,1,75,17,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-02-08T03:07:31Z,1,1,1,0,0,5207,Urayasu D-Rocks,5202,Mie Honda Heat,08/02/2025,12:05,21,5,31,26,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,7,2025,02,2,Hooker,0,,0,,1001490,Ibuki Tetsuka,1001668,Motonori Mizutani,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,W,62200,Kyogo Okano,5202,Mie Honda Heat
7,945084,20097,Franco Mostert,5202,Mie Honda Heat,6.88,6.88,8,1,25,51,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-08T03:07:32Z,1,1,1,0,0,5207,Urayasu D-Rocks,5202,Mie Honda Heat,08/02/2025,12:05,21,5,31,26,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,7,2025,05,5,Lock (5),0,,0,,1001490,Ibuki Tetsuka,1001668,Motonori Mizutani,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,0,,0,
8,945084,62200,Kyogo Okano,5202,Mie Honda Heat,7.08,12.20,8,1,26,48,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,667,Tight Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,0,2025-02-08T03:07:33Z,1,1,1,0,0,5207,Urayasu D-Rocks,5202,Mie Honda Heat,08/02/2025,12:05,21,5,31,26,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,7,2025,13,13,Outside Centre,0,,0,,1001490,Ibuki Tetsuka,1001668,Motonori Mizutani,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,43685,Taichi Takenaka,5202,Mie Honda Heat
9,945084,19761,Pablo Matera,5202,Mie Honda Heat,7.48,7.48,8,1,26,48,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-02-08T03:07:28Z,1,1,1,0,0,5207,Urayasu D-Rocks,5202,Mie Honda Heat,08/02/2025,12:05,21,5,31,26,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,7,2025,06,6,Blindside Flanker,0,,0,,1001490,Ibuki Tetsuka,1001668,Motonori Mizutani,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,L,0,,0,
