ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945087,19567,,19567,Saitama Wild Knights,0.00,4.64,0,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-09T05:30:41Z,0,0,0,0,0,19567,Saitama Wild Knights,19702,Toshiba Brave Lupus Tokyo,09/02/2025,14:30,16,7,28,28,0,0,505,Kumagaya Rugby Stadium,-1,NA,7,2025,,,,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,D,0,,0,
1,945087,30965,Kyohei Yamasawa,19567,Saitama Wild Knights,0.00,4.64,0,1,50,33,76,68,14,Restart,281,50m Restart,416,Kick in Touch,289,Short,753,Kicked Right,0,,0,,0,,0,,0,,0,,26,44,36,0,2025-02-09T05:30:41Z,1,0,1,0,0,19567,Saitama Wild Knights,19702,Toshiba Brave Lupus Tokyo,09/02/2025,14:30,16,7,28,28,0,0,505,Kumagaya Rugby Stadium,-1,NA,7,2025,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,D,0,,0,
2,945087,0,,19567,Saitama Wild Knights,0.00,4.64,4,1,50,33,76,68,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,26,0,0,0,2025-02-09T05:30:41Z,1,0,1,0,0,19567,Saitama Wild Knights,19702,Toshiba Brave Lupus Tokyo,09/02/2025,14:30,16,7,28,28,0,0,505,Kumagaya Rugby Stadium,-1,NA,7,2025,,,,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,D,0,,0,
3,945087,34483,Mamoru Harada,19702,Toshiba Brave Lupus Tokyo,29.48,30.40,29,1,24,0,24,7,6,Lineout Throw,371,Throw Front,382,Lost Clean,211,Off The Top,0,4+1,676,N/A Movement Lineout,729,4 Players,725,Forward at Halfback (+1),0,,0,,0,,7,0,0,0,2025-02-09T05:31:10Z,1,0,2,0,0,19567,Saitama Wild Knights,19702,Toshiba Brave Lupus Tokyo,09/02/2025,14:30,16,7,28,28,0,0,505,Kumagaya Rugby Stadium,-1,NA,7,2025,02,2,Hooker,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,N,D,26283,Ben Gunter,19567,Saitama Wild Knights
4,945087,26283,Ben Gunter,19567,Saitama Wild Knights,30.40,30.40,30,1,76,61,0,0,27,Lineout Take,391,Lineout Steal Front,382,Lost Clean,211,Off The Top,397,Clean Tap,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-09T05:31:11Z,1,1,2,0,0,19567,Saitama Wild Knights,19702,Toshiba Brave Lupus Tokyo,09/02/2025,14:30,16,7,28,28,0,0,505,Kumagaya Rugby Stadium,-1,NA,7,2025,06,6,Blindside Flanker,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,D,34483,Mamoru Harada,19702,Toshiba Brave Lupus Tokyo
5,945087,26283,Ben Gunter,19567,Saitama Wild Knights,30.40,31.44,30,1,76,61,75,63,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,2,2,1,0,2025-02-09T05:31:11Z,1,1,2,0,0,19567,Saitama Wild Knights,19702,Toshiba Brave Lupus Tokyo,09/02/2025,14:30,16,7,28,28,0,0,505,Kumagaya Rugby Stadium,-1,NA,7,2025,06,6,Blindside Flanker,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,D,28928,Taiki Koyama,19567,Saitama Wild Knights
6,945087,28928,Taiki Koyama,19567,Saitama Wild Knights,31.44,31.44,31,1,75,63,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-09T05:31:11Z,1,1,2,0,0,19567,Saitama Wild Knights,19702,Toshiba Brave Lupus Tokyo,09/02/2025,14:30,16,7,28,28,0,0,505,Kumagaya Rugby Stadium,-1,NA,7,2025,09,9,Scrum Half,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,D,0,,0,
7,945087,28928,Taiki Koyama,19567,Saitama Wild Knights,31.56,33.76,31,1,73,65,66,49,3,Pass,169,Complete,0,,680,Long Pass,681,Left Pass,701,1st Receiver,0,,0,,0,,0,,0,,16,18,7,0,2025-02-09T05:31:12Z,1,1,2,0,0,19567,Saitama Wild Knights,19702,Toshiba Brave Lupus Tokyo,09/02/2025,14:30,16,7,28,28,0,0,505,Kumagaya Rugby Stadium,-1,NA,7,2025,09,9,Scrum Half,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,D,30965,Kyohei Yamasawa,19567,Saitama Wild Knights
8,945087,30965,Kyohei Yamasawa,19567,Saitama Wild Knights,33.76,33.76,33,1,66,49,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-09T05:31:15Z,1,1,2,0,0,19567,Saitama Wild Knights,19702,Toshiba Brave Lupus Tokyo,09/02/2025,14:30,16,7,28,28,0,0,505,Kumagaya Rugby Stadium,-1,NA,7,2025,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,D,0,,0,
9,945087,30965,Kyohei Yamasawa,19567,Saitama Wild Knights,33.80,35.52,33,1,71,48,67,35,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,702,2nd Receiver,0,,0,,0,,0,,0,,13,13,4,0,2025-02-09T05:31:15Z,1,1,2,0,0,19567,Saitama Wild Knights,19702,Toshiba Brave Lupus Tokyo,09/02/2025,14:30,16,7,28,28,0,0,505,Kumagaya Rugby Stadium,-1,NA,7,2025,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001473,Takehito Namekawa,1000581,Noriaki Hashimoto,1000758,Minoru Fuji,421,Japan Rugby League One D1,Y,D,26283,Ben Gunter,19567,Saitama Wild Knights
