ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945108,5207,,5207,Urayasu D-Rocks,0.00,4.88,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-14T10:00:25Z,0,0,0,0,0,5207,Urayasu D-Rocks,5204,Kubota Spears,14/03/2025,19:00,15,0,22,33,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,11,2025,,,,0,,0,,1001505,Tetsuya Hirakawa,1001798,Shuhei Hamada,1001961,Asahi Takara,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,L,0,,0,
1,945108,22158,Otere Black,5207,Urayasu D-Rocks,0.00,4.88,0,1,50,34,86,32,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,754,Kicked Straight,0,,0,,0,,0,,0,,0,,36,36,2,0,2025-03-14T10:00:25Z,1,0,1,0,0,5207,Urayasu D-Rocks,5204,Kubota Spears,14/03/2025,19:00,15,0,22,33,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,11,2025,10,10,Fly Half,0,,0,,1001505,Tetsuya Hirakawa,1001798,Shuhei Hamada,1001961,Asahi Takara,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,L,0,,0,
2,945108,58028,Atsushi Oshikawa,5204,Kubota Spears,4.88,4.88,5,1,14,36,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-14T10:00:30Z,1,1,1,0,0,5207,Urayasu D-Rocks,5204,Kubota Spears,14/03/2025,19:00,15,0,22,33,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,11,2025,15,15,Full Back,0,,0,,1001505,Tetsuya Hirakawa,1001798,Shuhei Hamada,1001961,Asahi Takara,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,N,W,0,,0,
3,945108,0,,5204,Kubota Spears,4.88,4.88,5,1,14,36,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,29,0,0,0,2025-03-14T10:00:30Z,1,1,1,0,0,5207,Urayasu D-Rocks,5204,Kubota Spears,14/03/2025,19:00,15,0,22,33,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,11,2025,,,,0,,0,,1001505,Tetsuya Hirakawa,1001798,Shuhei Hamada,1001961,Asahi Takara,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,N,W,0,,0,
4,945108,58028,Atsushi Oshikawa,5204,Kubota Spears,6.40,9.84,7,1,16,38,43,68,4,Kick,347,Touch Kick,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,0,,0,,0,,0,,0,,0,,28,42,0,0,2025-03-14T10:00:31Z,1,1,1,0,0,5207,Urayasu D-Rocks,5204,Kubota Spears,14/03/2025,19:00,15,0,22,33,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,11,2025,15,15,Full Back,0,,0,,1001505,Tetsuya Hirakawa,1001798,Shuhei Hamada,1001961,Asahi Takara,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,N,W,0,,0,
5,945108,0,,5207,Urayasu D-Rocks,0.00,9.84,10,1,50,34,57,0,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,7,0,0,0,2025-03-14T10:00:25Z,1,1,1,0,0,5207,Urayasu D-Rocks,5204,Kubota Spears,14/03/2025,19:00,15,0,22,33,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,11,2025,,,,0,,0,,1001505,Tetsuya Hirakawa,1001798,Shuhei Hamada,1001961,Asahi Takara,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,L,0,,0,
6,945108,0,,5204,Kubota Spears,4.88,9.84,10,1,14,36,43,68,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,29,0,0,0,2025-03-14T10:00:30Z,1,1,1,0,0,5207,Urayasu D-Rocks,5204,Kubota Spears,14/03/2025,19:00,15,0,22,33,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,11,2025,,,,0,,0,,1001505,Tetsuya Hirakawa,1001798,Shuhei Hamada,1001961,Asahi Takara,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,N,W,0,,0,
7,945108,43566,Ryuji Fujimura,5207,Urayasu D-Rocks,21.56,22.32,22,1,57,0,57,9,6,Lineout Throw,371,Throw Front,376,Won Clean Catch,208,Catch and Pass,0,5,662,Mid Right Open Movement Lineout,730,5 Players,724,Halfback in Position,0,,0,,0,,9,0,0,23,2025-03-14T10:00:48Z,1,2,2,0,0,5207,Urayasu D-Rocks,5204,Kubota Spears,14/03/2025,19:00,15,0,22,33,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,11,2025,02,2,Hooker,0,,0,,1001505,Tetsuya Hirakawa,1001798,Shuhei Hamada,1001961,Asahi Takara,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,L,22735,Lourens Erasmus,5207,Urayasu D-Rocks
8,945108,22735,Lourens Erasmus,5207,Urayasu D-Rocks,22.32,22.32,23,1,57,9,0,0,27,Lineout Take,386,Lineout Win Front,376,Won Clean,208,Catch and Pass,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-14T10:00:49Z,1,2,2,0,0,5207,Urayasu D-Rocks,5204,Kubota Spears,14/03/2025,19:00,15,0,22,33,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,11,2025,05,5,Lock (5),0,,0,,1001505,Tetsuya Hirakawa,1001798,Shuhei Hamada,1001961,Asahi Takara,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,L,43566,Ryuji Fujimura,5207,Urayasu D-Rocks
9,945108,22735,Lourens Erasmus,5207,Urayasu D-Rocks,22.84,24.40,23,1,57,9,52,11,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,2,5,4,0,2025-03-14T10:00:49Z,1,2,2,0,0,5207,Urayasu D-Rocks,5204,Kubota Spears,14/03/2025,19:00,15,0,22,33,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,11,2025,05,5,Lock (5),0,,0,,1001505,Tetsuya Hirakawa,1001798,Shuhei Hamada,1001961,Asahi Takara,1001490,Ibuki Tetsuka,421,Japan Rugby League One D1,Y,L,58178,Ren Iinuma,5207,Urayasu D-Rocks
