ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945142,5212,,5212,Shizuoka BlueRevs,0.00,4.08,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-27T05:00:27Z,0,0,0,0,0,5212,Shizuoka BlueRevs,5200,Yokohama Canon Eagles,27/04/2025,14:00,10,21,38,28,0,0,623,Shizuoka Stadium Ecopa,-1,NA,16,2025,,,,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001807,Teruki Inanishi,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,W,0,,0,
1,945142,22606,Sam Greene,5212,Shizuoka BlueRevs,0.00,4.08,0,1,50,34,72,26,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,0,,0,,0,,0,,0,,0,,22,24,8,0,2025-04-27T05:00:27Z,1,0,1,0,0,5212,Shizuoka BlueRevs,5200,Yokohama Canon Eagles,27/04/2025,14:00,10,21,38,28,0,0,623,Shizuoka Stadium Ecopa,-1,NA,16,2025,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001807,Teruki Inanishi,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,W,0,,0,
2,945142,26244,Kouki Arai,5200,Yokohama Canon Eagles,4.08,4.08,4,1,28,42,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-27T05:00:31Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5200,Yokohama Canon Eagles,27/04/2025,14:00,10,21,38,28,0,0,623,Shizuoka Stadium Ecopa,-1,NA,16,2025,09,9,Scrum Half,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001807,Teruki Inanishi,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,
3,945142,26244,Kouki Arai,5200,Yokohama Canon Eagles,4.08,5.72,4,1,28,42,29,41,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,0,0,2025-04-27T05:00:31Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5200,Yokohama Canon Eagles,27/04/2025,14:00,10,21,38,28,0,0,623,Shizuoka Stadium Ecopa,-1,NA,16,2025,09,9,Scrum Half,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001807,Teruki Inanishi,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,39245,Justin Sangster,5212,Shizuoka BlueRevs
4,945142,24598,Yuya Odo,5212,Shizuoka BlueRevs,5.40,5.40,5,1,71,26,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-27T05:00:31Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5200,Yokohama Canon Eagles,27/04/2025,14:00,10,21,38,28,0,0,623,Shizuoka Stadium Ecopa,-1,NA,16,2025,04,4,Lock (4),0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001807,Teruki Inanishi,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,W,0,,0,
5,945142,39245,Justin Sangster,5212,Shizuoka BlueRevs,5.68,5.68,6,1,71,26,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-04-27T05:00:35Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5200,Yokohama Canon Eagles,27/04/2025,14:00,10,21,38,28,0,0,623,Shizuoka Stadium Ecopa,-1,NA,16,2025,05,5,Lock (5),0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001807,Teruki Inanishi,396,Mayumi Takahashi,421,Japan Rugby League One D1,Y,W,26244,Kouki Arai,5200,Yokohama Canon Eagles
6,945142,26244,Kouki Arai,5200,Yokohama Canon Eagles,5.72,8.48,6,1,29,41,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,7,2025-04-27T05:00:32Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5200,Yokohama Canon Eagles,27/04/2025,14:00,10,21,38,28,0,0,623,Shizuoka Stadium Ecopa,-1,NA,16,2025,09,9,Scrum Half,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001807,Teruki Inanishi,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,28401,Cormac Daly,5200,Yokohama Canon Eagles
7,945142,36584,Tatsuro Sugimoto,5200,Yokohama Canon Eagles,6.56,6.56,6,1,29,41,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-04-27T05:00:30Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5200,Yokohama Canon Eagles,27/04/2025,14:00,10,21,38,28,0,0,623,Shizuoka Stadium Ecopa,-1,NA,16,2025,03,3,Tighthead Prop,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001807,Teruki Inanishi,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,
8,945142,26111,Billy Harmon,5200,Yokohama Canon Eagles,7.20,7.20,7,1,29,41,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-04-27T05:00:31Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5200,Yokohama Canon Eagles,27/04/2025,14:00,10,21,38,28,0,0,623,Shizuoka Stadium Ecopa,-1,NA,16,2025,08,8,Number 8,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001807,Teruki Inanishi,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,
9,945142,38711,Jeandre Labuschagne,5200,Yokohama Canon Eagles,7.60,7.60,8,1,29,41,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-04-27T05:00:31Z,1,1,1,0,0,5212,Shizuoka BlueRevs,5200,Yokohama Canon Eagles,27/04/2025,14:00,10,21,38,28,0,0,623,Shizuoka Stadium Ecopa,-1,NA,16,2025,06,6,Blindside Flanker,0,,0,,1001473,Takehito Namekawa,1001100,Atsushi Yamamoto,1001807,Teruki Inanishi,396,Mayumi Takahashi,421,Japan Rugby League One D1,N,L,0,,0,
