ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943189,2050,,2050,Castres Olympique,0.00,3.08,0,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:30:46Z,0,0,0,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,,,,0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
1,943189,37578,Antoine Aucagne,1650,USAP,0.00,3.08,0,1,50,33,72,64,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,0,,0,,0,,0,,0,,0,,22,39,33,0,2024-09-21T14:30:46Z,1,0,1,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,10,10,Fly Half,0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,
2,943189,31462,Florent Vanverberghe,2050,Castres Olympique,3.08,3.08,3,1,28,4,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:30:49Z,1,1,1,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,05,5,Lock (5),0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
3,943189,31462,Florent Vanverberghe,2050,Castres Olympique,3.08,5.36,3,1,28,4,29,4,1,Carry,105,Restart Return,118,Other,109,Crossed Gain line,0,,500,0 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,0,0,2024-09-21T14:30:49Z,1,1,1,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,05,5,Lock (5),0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
4,943189,31462,Florent Vanverberghe,2050,Castres Olympique,5.36,13.60,5,1,29,4,0,0,24,Maul,0,,401,Won Outright,0,,0,,668,Tight Right Open Movement Maul,0,,0,,0,,0,,0,,0,0,0,2,2024-09-21T14:30:51Z,1,1,1,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,05,5,Lock (5),0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,36344,Jeremy Fernandez,2050,Castres Olympique
5,943189,36344,Jeremy Fernandez,2050,Castres Olympique,13.60,13.60,14,1,28,4,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:01Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,09,9,Scrum Half,0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
6,943189,36344,Jeremy Fernandez,2050,Castres Olympique,13.60,13.60,14,1,28,4,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:01Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,09,9,Scrum Half,0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
7,943189,36344,Jeremy Fernandez,2050,Castres Olympique,15.76,21.04,16,1,27,6,48,14,4,Kick,346,Box,198,Caught Full,185,Kick in Play,0,,0,,0,,0,,0,,0,,0,,21,23,0,0,2024-09-21T14:31:01Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,09,9,Scrum Half,0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
8,943189,0,,2050,Castres Olympique,3.08,21.04,21,1,28,4,48,14,15,Possession,307,50m Restart,351,Kick in Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,20,0,0,0,2024-09-21T14:30:49Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,,,,0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
9,943189,24050,Louis Dupichot,1650,USAP,21.04,21.04,21,1,52,54,0,0,18,Collection,273,Defensive Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:07Z,1,2,1,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,15,15,Full Back,0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,
10,943189,24050,Louis Dupichot,1650,USAP,21.04,21.48,21,1,52,54,53,52,1,Carry,104,Kick Return,124,Penalty Conceded,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,0,0,2024-09-21T14:31:07Z,1,2,1,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,15,15,Full Back,0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,N,L,22293,Jack Goodhue,2050,Castres Olympique
11,943189,22293,Jack Goodhue,2050,Castres Olympique,21.28,21.28,21,1,47,15,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:07Z,1,2,1,0,0,2050,Castres Olympique,1650,USAP,21/09/2024,16:30,10,12,27,12,0,0,92,Stade Pierre Fabre,-1,NA,3,2025,12,12,Inside Centre,0,,0,,1001130,Adrien Marbot,1000328,Stephane Boyer,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,24050,Louis Dupichot,1650,USAP
