ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943192,1600,,1600,Stade Francais Paris,0.00,4.52,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-22T19:07:50Z,0,0,0,0,0,1600,Stade Francais Paris,39,RC Toulon,22/09/2024,21:05,0,8,10,14,0,0,79,Stade Jean Bouin,-1,NA,3,2025,,,,0,,0,,1000545,Pierre Brousset,1001423,Kevin Bralley,1000909,Christophe Gaillardon,192,Philippe Bonhoure,203,TOP 14,Y,L,0,,0,
1,943192,29429,Louis Carbonel,1600,Stade Francais Paris,0.00,4.52,1,1,50,34,79,14,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,29,36,21,0,2024-09-22T19:07:50Z,1,0,1,0,0,1600,Stade Francais Paris,39,RC Toulon,22/09/2024,21:05,0,8,10,14,0,0,79,Stade Jean Bouin,-1,NA,3,2025,10,10,Fly Half,0,,0,,1000545,Pierre Brousset,1001423,Kevin Bralley,1000909,Christophe Gaillardon,192,Philippe Bonhoure,203,TOP 14,Y,L,0,,0,
2,943192,24607,David Ribbans,39,RC Toulon,4.52,4.52,5,1,21,54,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-22T19:07:55Z,1,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,22/09/2024,21:05,0,8,10,14,0,0,79,Stade Jean Bouin,-1,NA,3,2025,05,5,Lock (5),0,,0,,1000545,Pierre Brousset,1001423,Kevin Bralley,1000909,Christophe Gaillardon,192,Philippe Bonhoure,203,TOP 14,N,W,0,,0,
3,943192,0,,39,RC Toulon,4.52,4.52,5,1,21,54,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,36,0,0,0,2024-09-22T19:07:55Z,1,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,22/09/2024,21:05,0,8,10,14,0,0,79,Stade Jean Bouin,-1,NA,3,2025,,,,0,,0,,1000545,Pierre Brousset,1001423,Kevin Bralley,1000909,Christophe Gaillardon,192,Philippe Bonhoure,203,TOP 14,N,W,0,,0,
4,943192,24607,David Ribbans,39,RC Toulon,4.52,8.04,5,1,21,54,31,58,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,503,3 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,10,10,8,8,2024-09-22T19:07:55Z,1,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,22/09/2024,21:05,0,8,10,14,0,0,79,Stade Jean Bouin,-1,NA,3,2025,05,5,Lock (5),0,,0,,1000545,Pierre Brousset,1001423,Kevin Bralley,1000909,Christophe Gaillardon,192,Philippe Bonhoure,203,TOP 14,N,W,22817,Sekou Macalou,1600,Stade Francais Paris
5,943192,22817,Sekou Macalou,1600,Stade Francais Paris,6.28,6.28,7,1,77,11,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-09-22T19:07:56Z,1,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,22/09/2024,21:05,0,8,10,14,0,0,79,Stade Jean Bouin,-1,NA,3,2025,08,8,Number 8,0,,0,,1000545,Pierre Brousset,1001423,Kevin Bralley,1000909,Christophe Gaillardon,192,Philippe Bonhoure,203,TOP 14,Y,L,24607,David Ribbans,39,RC Toulon
6,943192,31088,Pierre Huguet,1600,Stade Francais Paris,6.32,6.32,7,1,77,11,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-09-22T19:07:56Z,1,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,22/09/2024,21:05,0,8,10,14,0,0,79,Stade Jean Bouin,-1,NA,3,2025,06,6,Blindside Flanker,0,,0,,1000545,Pierre Brousset,1001423,Kevin Bralley,1000909,Christophe Gaillardon,192,Philippe Bonhoure,203,TOP 14,Y,L,24607,David Ribbans,39,RC Toulon
7,943192,30219,Julien Delbouis,1600,Stade Francais Paris,6.48,6.48,7,1,77,11,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,710,3rd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-09-22T19:07:57Z,1,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,22/09/2024,21:05,0,8,10,14,0,0,79,Stade Jean Bouin,-1,NA,3,2025,12,12,Inside Centre,0,,0,,1000545,Pierre Brousset,1001423,Kevin Bralley,1000909,Christophe Gaillardon,192,Philippe Bonhoure,203,TOP 14,Y,L,24607,David Ribbans,39,RC Toulon
8,943192,60329,Corentin Mezou,39,RC Toulon,6.72,6.72,7,1,24,57,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-22T19:07:57Z,1,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,22/09/2024,21:05,0,8,10,14,0,0,79,Stade Jean Bouin,-1,NA,3,2025,04,4,Lock (4),0,,0,,1000545,Pierre Brousset,1001423,Kevin Bralley,1000909,Christophe Gaillardon,192,Philippe Bonhoure,203,TOP 14,N,W,0,,0,
9,943192,33828,Gianmarco Lucchesi,39,RC Toulon,7.00,7.00,8,1,24,57,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-22T19:07:57Z,1,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,22/09/2024,21:05,0,8,10,14,0,0,79,Stade Jean Bouin,-1,NA,3,2025,02,2,Hooker,0,,0,,1000545,Pierre Brousset,1001423,Kevin Bralley,1000909,Christophe Gaillardon,192,Philippe Bonhoure,203,TOP 14,N,W,0,,0,
