ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,943193,47,,47,Stade Rochelais,0.00,4.12,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:22Z,0,0,0,0,0,47,Stade Rochelais,3450,Section Paloise,21/09/2024,16:30,23,8,49,25,0,0,211,Stade Marcel-Deflandre,-1,NA,3,2025,,,,0,,0,,1000890,Jeremy Rozier,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
1,943193,39685,Hugo Reus,47,Stade Rochelais,0.00,4.12,0,1,50,34,85,5,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,35,46,30,0,2024-09-21T14:31:22Z,1,0,1,0,0,47,Stade Rochelais,3450,Section Paloise,21/09/2024,16:30,23,8,49,25,0,0,211,Stade Marcel-Deflandre,-1,NA,3,2025,10,10,Fly Half,0,,0,,1000890,Jeremy Rozier,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
2,943193,25275,Remi Picquette,3450,Section Paloise,4.12,4.12,4,1,16,63,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:27Z,1,1,1,0,0,47,Stade Rochelais,3450,Section Paloise,21/09/2024,16:30,23,8,49,25,0,0,211,Stade Marcel-Deflandre,-1,NA,3,2025,04,4,Lock (4),0,,0,,1000890,Jeremy Rozier,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,,
3,943193,0,,3450,Section Paloise,4.12,4.12,4,1,16,63,0,0,45,Defensive Exits,628,Failed Exit From 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:27Z,1,1,1,0,0,47,Stade Rochelais,3450,Section Paloise,21/09/2024,16:30,23,8,49,25,0,0,211,Stade Marcel-Deflandre,-1,NA,3,2025,,,,0,,0,,1000890,Jeremy Rozier,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,,
4,943193,25275,Remi Picquette,3450,Section Paloise,4.12,4.76,4,1,16,63,14,64,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:27Z,1,1,1,0,0,47,Stade Rochelais,3450,Section Paloise,21/09/2024,16:30,23,8,49,25,0,0,211,Stade Marcel-Deflandre,-1,NA,3,2025,04,4,Lock (4),0,,0,,1000890,Jeremy Rozier,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,19869,Dillyn Leyds,47,Stade Rochelais,5
5,943193,19869,Dillyn Leyds,47,Stade Rochelais,4.72,4.72,5,1,84,5,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:27Z,1,1,1,0,0,47,Stade Rochelais,3450,Section Paloise,21/09/2024,16:30,23,8,49,25,0,0,211,Stade Marcel-Deflandre,-1,NA,3,2025,11,11,Left Wing,0,,0,,1000890,Jeremy Rozier,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,Y,W,25275,Remi Picquette,3450,Section Paloise,4
6,943193,25275,Remi Picquette,3450,Section Paloise,4.76,12.20,5,1,14,64,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-4,7,2024-09-21T14:31:27Z,1,1,1,0,0,47,Stade Rochelais,3450,Section Paloise,21/09/2024,16:30,23,8,49,25,0,0,211,Stade Marcel-Deflandre,-1,NA,3,2025,04,4,Lock (4),0,,0,,1000890,Jeremy Rozier,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,21652,Thibault Daubagna,3450,Section Paloise,10
7,943193,37358,Aaron Grandidier-Nkanang,3450,Section Paloise,6.60,6.60,7,1,14,64,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:29Z,1,1,1,0,0,47,Stade Rochelais,3450,Section Paloise,21/09/2024,16:30,23,8,49,25,0,0,211,Stade Marcel-Deflandre,-1,NA,3,2025,14,14,Right Wing,0,,0,,1000890,Jeremy Rozier,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,,
8,943193,30990,Joel Kpoku,3450,Section Paloise,6.64,6.64,7,1,14,64,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:29Z,1,1,1,0,0,47,Stade Rochelais,3450,Section Paloise,21/09/2024,16:30,23,8,49,25,0,0,211,Stade Marcel-Deflandre,-1,NA,3,2025,06,6,Blindside Flanker,0,,0,,1000890,Jeremy Rozier,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,,
9,943193,29460,Lekima Tagitagivalu,3450,Section Paloise,7.08,7.08,7,1,14,64,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2024-09-21T14:31:30Z,1,1,1,0,0,47,Stade Rochelais,3450,Section Paloise,21/09/2024,16:30,23,8,49,25,0,0,211,Stade Marcel-Deflandre,-1,NA,3,2025,05,5,Lock (5),0,,0,,1000890,Jeremy Rozier,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,,
