ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943206,47,,47,Stade Rochelais,0.00,3.80,2,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-10-05T14:30:51Z,0,0,0,0,0,47,Stade Rochelais,45,Lyon,05/10/2024,16:30,14,15,43,22,0,0,211,Stade Marcel-Deflandre,-1,NA,5,2025,,,,0,,0,,1000524,Jonathan Gasnier,1000619,Frederic Chazal,1000570,Flavien Hourquet,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,
1,943206,39515,Martin Meliande,45,Lyon,0.00,3.80,2,1,50,33,91,49,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,41,45,17,0,2024-10-05T14:30:51Z,1,0,1,0,0,47,Stade Rochelais,45,Lyon,05/10/2024,16:30,14,15,43,22,0,0,211,Stade Marcel-Deflandre,-1,NA,5,2025,10,10,Fly Half,0,,0,,1000524,Jonathan Gasnier,1000619,Frederic Chazal,1000570,Flavien Hourquet,1000196,Patrick Dellac,203,TOP 14,N,L,0,,0,
2,943206,39685,Hugo Reus,47,Stade Rochelais,3.80,3.80,6,1,9,19,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-10-05T14:30:55Z,1,1,1,0,0,47,Stade Rochelais,45,Lyon,05/10/2024,16:30,14,15,43,22,0,0,211,Stade Marcel-Deflandre,-1,NA,5,2025,10,10,Fly Half,0,,0,,1000524,Jonathan Gasnier,1000619,Frederic Chazal,1000570,Flavien Hourquet,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,
3,943206,0,,47,Stade Rochelais,3.80,3.80,6,1,9,19,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,31,0,0,0,2024-10-05T14:30:55Z,1,1,1,0,0,47,Stade Rochelais,45,Lyon,05/10/2024,16:30,14,15,43,22,0,0,211,Stade Marcel-Deflandre,-1,NA,5,2025,,,,0,,0,,1000524,Jonathan Gasnier,1000619,Frederic Chazal,1000570,Flavien Hourquet,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,
4,943206,39685,Hugo Reus,47,Stade Rochelais,4.20,5.84,6,1,12,16,40,0,4,Kick,347,Touch Kick,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,0,,0,,0,,0,,0,,0,,28,32,0,0,2024-10-05T14:30:56Z,1,1,1,0,0,47,Stade Rochelais,45,Lyon,05/10/2024,16:30,14,15,43,22,0,0,211,Stade Marcel-Deflandre,-1,NA,5,2025,10,10,Fly Half,0,,0,,1000524,Jonathan Gasnier,1000619,Frederic Chazal,1000570,Flavien Hourquet,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,
5,943206,0,,45,Lyon,0.00,5.84,8,1,50,33,60,68,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,10,0,0,0,2024-10-05T14:30:51Z,1,1,1,0,0,47,Stade Rochelais,45,Lyon,05/10/2024,16:30,14,15,43,22,0,0,211,Stade Marcel-Deflandre,-1,NA,5,2025,,,,0,,0,,1000524,Jonathan Gasnier,1000619,Frederic Chazal,1000570,Flavien Hourquet,1000196,Patrick Dellac,203,TOP 14,N,L,0,,0,
6,943206,0,,47,Stade Rochelais,3.80,5.84,8,1,9,19,40,0,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,31,0,0,0,2024-10-05T14:30:55Z,1,1,1,0,0,47,Stade Rochelais,45,Lyon,05/10/2024,16:30,14,15,43,22,0,0,211,Stade Marcel-Deflandre,-1,NA,5,2025,,,,0,,0,,1000524,Jonathan Gasnier,1000619,Frederic Chazal,1000570,Flavien Hourquet,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,
7,943206,20822,Sam Matavesi,45,Lyon,26.68,27.88,29,1,60,68,60,56,6,Lineout Throw,372,Throw Middle,376,Won Clean Catch,211,Off The Top,0,4,661,Mid Left Open Movement Lineout,729,4 Players,724,Halfback in Position,0,,0,,0,,12,0,-1,16,2024-10-05T14:31:18Z,1,2,2,0,0,47,Stade Rochelais,45,Lyon,05/10/2024,16:30,14,15,43,22,0,0,211,Stade Marcel-Deflandre,-1,NA,5,2025,02,2,Hooker,0,,0,,1000524,Jonathan Gasnier,1000619,Frederic Chazal,1000570,Flavien Hourquet,1000196,Patrick Dellac,203,TOP 14,N,L,28823,Steeve Blanc-Mappaz,45,Lyon
8,943206,28823,Steeve Blanc-Mappaz,45,Lyon,27.88,27.88,30,1,60,56,0,0,27,Lineout Take,387,Lineout Win Middle,376,Won Clean,211,Off The Top,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-10-05T14:31:19Z,1,2,2,0,0,47,Stade Rochelais,45,Lyon,05/10/2024,16:30,14,15,43,22,0,0,211,Stade Marcel-Deflandre,-1,NA,5,2025,06,6,Blindside Flanker,0,,0,,1000524,Jonathan Gasnier,1000619,Frederic Chazal,1000570,Flavien Hourquet,1000196,Patrick Dellac,203,TOP 14,N,L,20822,Sam Matavesi,45,Lyon
9,943206,28823,Steeve Blanc-Mappaz,45,Lyon,28.40,28.92,30,1,60,56,57,57,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,1,4,4,0,2024-10-05T14:31:20Z,1,2,2,0,0,47,Stade Rochelais,45,Lyon,05/10/2024,16:30,14,15,43,22,0,0,211,Stade Marcel-Deflandre,-1,NA,5,2025,06,6,Blindside Flanker,0,,0,,1000524,Jonathan Gasnier,1000619,Frederic Chazal,1000570,Flavien Hourquet,1000196,Patrick Dellac,203,TOP 14,N,L,37288,Martin Page-Relo,45,Lyon
