ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943210,45,,45,Lyon,0.00,3.60,1,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-10-13T19:08:25Z,0,0,0,0,0,45,Lyon,1600,Stade Francais Paris,13/10/2024,21:05,14,3,35,3,0,0,7,Matmut Stadium de Gerland,-1,NA,6,2025,,,,0,,0,,1000567,Ludovic Cayre,1000931,Stephane Coulon,1000911,Fabrice Hand,1000438,Tual Trainini,203,TOP 14,Y,W,0,,0,
1,943210,28272,Leo Berdeu,45,Lyon,0.00,3.60,1,1,49,35,85,54,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,36,41,20,0,2024-10-13T19:08:25Z,1,0,1,0,0,45,Lyon,1600,Stade Francais Paris,13/10/2024,21:05,14,3,35,3,0,0,7,Matmut Stadium de Gerland,-1,NA,6,2025,10,10,Fly Half,0,,0,,1000567,Ludovic Cayre,1000931,Stephane Coulon,1000911,Fabrice Hand,1000438,Tual Trainini,203,TOP 14,Y,W,0,,0,
2,943210,57347,Juan Martin Scelzo,1600,Stade Francais Paris,3.60,3.60,5,1,15,14,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-10-13T19:08:29Z,1,1,1,0,0,45,Lyon,1600,Stade Francais Paris,13/10/2024,21:05,14,3,35,3,0,0,7,Matmut Stadium de Gerland,-1,NA,6,2025,08,8,Number 8,0,,0,,1000567,Ludovic Cayre,1000931,Stephane Coulon,1000911,Fabrice Hand,1000438,Tual Trainini,203,TOP 14,N,L,0,,0,
3,943210,0,,1600,Stade Francais Paris,3.60,3.60,5,1,15,14,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,19,0,0,0,2024-10-13T19:08:29Z,1,1,1,0,0,45,Lyon,1600,Stade Francais Paris,13/10/2024,21:05,14,3,35,3,0,0,7,Matmut Stadium de Gerland,-1,NA,6,2025,,,,0,,0,,1000567,Ludovic Cayre,1000931,Stephane Coulon,1000911,Fabrice Hand,1000438,Tual Trainini,203,TOP 14,N,L,0,,0,
4,943210,57347,Juan Martin Scelzo,1600,Stade Francais Paris,3.60,6.32,5,1,15,14,21,10,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,6,6,1,1,2024-10-13T19:08:29Z,1,1,1,0,0,45,Lyon,1600,Stade Francais Paris,13/10/2024,21:05,14,3,35,3,0,0,7,Matmut Stadium de Gerland,-1,NA,6,2025,08,8,Number 8,0,,0,,1000567,Ludovic Cayre,1000931,Stephane Coulon,1000911,Fabrice Hand,1000438,Tual Trainini,203,TOP 14,N,L,20822,Sam Matavesi,45,Lyon
5,943210,20822,Sam Matavesi,45,Lyon,6.24,6.24,7,1,80,58,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-10-13T19:08:31Z,1,1,1,0,0,45,Lyon,1600,Stade Francais Paris,13/10/2024,21:05,14,3,35,3,0,0,7,Matmut Stadium de Gerland,-1,NA,6,2025,02,2,Hooker,0,,0,,1000567,Ludovic Cayre,1000931,Stephane Coulon,1000911,Fabrice Hand,1000438,Tual Trainini,203,TOP 14,Y,W,57347,Juan Martin Scelzo,1600,Stade Francais Paris
6,943210,27022,Hamza Kaabeche,45,Lyon,6.28,6.28,7,1,80,58,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-10-13T19:08:31Z,1,1,1,0,0,45,Lyon,1600,Stade Francais Paris,13/10/2024,21:05,14,3,35,3,0,0,7,Matmut Stadium de Gerland,-1,NA,6,2025,01,1,Loosehead Prop,0,,0,,1000567,Ludovic Cayre,1000931,Stephane Coulon,1000911,Fabrice Hand,1000438,Tual Trainini,203,TOP 14,Y,W,57347,Juan Martin Scelzo,1600,Stade Francais Paris
7,943210,57347,Juan Martin Scelzo,1600,Stade Francais Paris,6.32,16.16,7,1,21,10,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2024-10-13T19:08:31Z,1,1,1,0,0,45,Lyon,1600,Stade Francais Paris,13/10/2024,21:05,14,3,35,3,0,0,7,Matmut Stadium de Gerland,-1,NA,6,2025,08,8,Number 8,0,,0,,1000567,Ludovic Cayre,1000931,Stephane Coulon,1000911,Fabrice Hand,1000438,Tual Trainini,203,TOP 14,N,L,29465,Jules Gimbert,1600,Stade Francais Paris
8,943210,31386,Romain Briatte,1600,Stade Francais Paris,7.24,7.24,8,1,21,10,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-10-13T19:08:32Z,1,1,1,0,0,45,Lyon,1600,Stade Francais Paris,13/10/2024,21:05,14,3,35,3,0,0,7,Matmut Stadium de Gerland,-1,NA,6,2025,07,7,Openside Flanker,0,,0,,1000567,Ludovic Cayre,1000931,Stephane Coulon,1000911,Fabrice Hand,1000438,Tual Trainini,203,TOP 14,N,L,0,,0,
9,943210,22244,Paul Gabrillagues,1600,Stade Francais Paris,7.72,7.72,9,1,21,10,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-10-13T19:08:33Z,1,1,1,0,0,45,Lyon,1600,Stade Francais Paris,13/10/2024,21:05,14,3,35,3,0,0,7,Matmut Stadium de Gerland,-1,NA,6,2025,04,4,Lock (4),0,,0,,1000567,Ludovic Cayre,1000931,Stephane Coulon,1000911,Fabrice Hand,1000438,Tual Trainini,203,TOP 14,N,L,0,,0,
