ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943217,4850,,4850,Bayonne,0.00,4.32,0,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-10-19T12:30:33Z,0,0,0,0,0,4850,Bayonne,41,Racing 92,19/10/2024,14:30,13,3,32,15,0,0,150,Stade Jean Dauger,-1,NA,7,2025,,,,0,,0,,1000416,Vincent Blasco,1001530,Anthony Lac,1001131,Cyrille le Gall,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,
1,943217,27618,Antoine Gibert,41,Racing 92,0.00,4.32,0,1,50,33,84,56,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,34,42,24,0,2024-10-19T12:30:33Z,1,0,1,0,0,4850,Bayonne,41,Racing 92,19/10/2024,14:30,13,3,32,15,0,0,150,Stade Jean Dauger,-1,NA,7,2025,10,10,Fly Half,0,,0,,1000416,Vincent Blasco,1001530,Anthony Lac,1001131,Cyrille le Gall,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,
2,943217,22097,Uzair Cassiem,4850,Bayonne,4.32,4.32,4,1,16,12,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-10-19T12:30:37Z,1,1,1,0,0,4850,Bayonne,41,Racing 92,19/10/2024,14:30,13,3,32,15,0,0,150,Stade Jean Dauger,-1,NA,7,2025,08,8,Number 8,0,,0,,1000416,Vincent Blasco,1001530,Anthony Lac,1001131,Cyrille le Gall,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,
3,943217,0,,4850,Bayonne,4.32,4.32,4,1,16,12,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,44,0,0,0,2024-10-19T12:30:37Z,1,1,1,0,0,4850,Bayonne,41,Racing 92,19/10/2024,14:30,13,3,32,15,0,0,150,Stade Jean Dauger,-1,NA,7,2025,,,,0,,0,,1000416,Vincent Blasco,1001530,Anthony Lac,1001131,Cyrille le Gall,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,
4,943217,22097,Uzair Cassiem,4850,Bayonne,4.32,6.04,4,1,16,12,20,11,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,1,1,2024-10-19T12:30:37Z,1,1,1,0,0,4850,Bayonne,41,Racing 92,19/10/2024,14:30,13,3,32,15,0,0,150,Stade Jean Dauger,-1,NA,7,2025,08,8,Number 8,0,,0,,1000416,Vincent Blasco,1001530,Anthony Lac,1001131,Cyrille le Gall,192,Philippe Bonhoure,203,TOP 14,Y,W,28351,Ibrahim Diallo,41,Racing 92
5,943217,28351,Ibrahim Diallo,41,Racing 92,5.44,5.44,6,1,81,55,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2024-10-19T12:30:38Z,1,1,1,0,0,4850,Bayonne,41,Racing 92,19/10/2024,14:30,13,3,32,15,0,0,150,Stade Jean Dauger,-1,NA,7,2025,07,7,Openside Flanker,0,,0,,1000416,Vincent Blasco,1001530,Anthony Lac,1001131,Cyrille le Gall,192,Philippe Bonhoure,203,TOP 14,N,L,22097,Uzair Cassiem,4850,Bayonne
6,943217,21153,Josua Tuisova,41,Racing 92,5.56,5.56,6,1,81,55,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-10-19T12:30:38Z,1,1,1,0,0,4850,Bayonne,41,Racing 92,19/10/2024,14:30,13,3,32,15,0,0,150,Stade Jean Dauger,-1,NA,7,2025,14,14,Right Wing,0,,0,,1000416,Vincent Blasco,1001530,Anthony Lac,1001131,Cyrille le Gall,192,Philippe Bonhoure,203,TOP 14,N,L,22097,Uzair Cassiem,4850,Bayonne
7,943217,22097,Uzair Cassiem,4850,Bayonne,6.04,11.12,6,1,20,11,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,1,8,2024-10-19T12:30:39Z,1,1,1,0,0,4850,Bayonne,41,Racing 92,19/10/2024,14:30,13,3,32,15,0,0,150,Stade Jean Dauger,-1,NA,7,2025,08,8,Number 8,0,,0,,1000416,Vincent Blasco,1001530,Anthony Lac,1001131,Cyrille le Gall,192,Philippe Bonhoure,203,TOP 14,Y,W,17312,Maxime Machenaud,4850,Bayonne
8,943217,22476,Baptiste Chouzenoux,4850,Bayonne,6.28,6.28,6,1,20,11,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-10-19T12:30:39Z,1,1,1,0,0,4850,Bayonne,41,Racing 92,19/10/2024,14:30,13,3,32,15,0,0,150,Stade Jean Dauger,-1,NA,7,2025,07,7,Openside Flanker,0,,0,,1000416,Vincent Blasco,1001530,Anthony Lac,1001131,Cyrille le Gall,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,
9,943217,21153,Josua Tuisova,41,Racing 92,6.44,6.44,7,1,80,57,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-10-19T12:30:39Z,1,1,1,0,0,4850,Bayonne,41,Racing 92,19/10/2024,14:30,13,3,32,15,0,0,150,Stade Jean Dauger,-1,NA,7,2025,14,14,Right Wing,0,,0,,1000416,Vincent Blasco,1001530,Anthony Lac,1001131,Cyrille le Gall,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,
