ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943223,45,,45,Lyon,0.00,3.96,0,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:33Z,0,0,0,0,0,45,Lyon,4850,Bayonne,26/10/2024,16:30,7,27,38,49,0,0,7,Matmut Stadium de Gerland,-1,NA,8,2025,,,,0,,0,,1000591,Pierre-Baptiste Nuchy,1000945,David Beun,1001134,Frederic Masse,191,Eric Gauzins,203,TOP 14,Y,L,0,,0,
1,943223,19365,Camille Lopez,4850,Bayonne,0.00,3.96,0,1,49,35,79,50,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,30,34,15,0,2024-10-26T14:31:33Z,1,0,1,0,0,45,Lyon,4850,Bayonne,26/10/2024,16:30,7,27,38,49,0,0,7,Matmut Stadium de Gerland,-1,NA,8,2025,10,10,Fly Half,0,,0,,1000591,Pierre-Baptiste Nuchy,1000945,David Beun,1001134,Frederic Masse,191,Eric Gauzins,203,TOP 14,N,W,0,,0,
2,943223,28272,Leo Berdeu,45,Lyon,3.96,3.96,4,1,21,18,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:37Z,1,1,1,0,0,45,Lyon,4850,Bayonne,26/10/2024,16:30,7,27,38,49,0,0,7,Matmut Stadium de Gerland,-1,NA,8,2025,10,10,Fly Half,0,,0,,1000591,Pierre-Baptiste Nuchy,1000945,David Beun,1001134,Frederic Masse,191,Eric Gauzins,203,TOP 14,Y,L,0,,0,
3,943223,0,,45,Lyon,3.96,3.96,4,1,21,18,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,43,0,0,0,2024-10-26T14:31:37Z,1,1,1,0,0,45,Lyon,4850,Bayonne,26/10/2024,16:30,7,27,38,49,0,0,7,Matmut Stadium de Gerland,-1,NA,8,2025,,,,0,,0,,1000591,Pierre-Baptiste Nuchy,1000945,David Beun,1001134,Frederic Masse,191,Eric Gauzins,203,TOP 14,Y,L,0,,0,
4,943223,28272,Leo Berdeu,45,Lyon,3.96,6.84,4,1,21,18,21,20,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:37Z,1,1,1,0,0,45,Lyon,4850,Bayonne,26/10/2024,16:30,7,27,38,49,0,0,7,Matmut Stadium de Gerland,-1,NA,8,2025,10,10,Fly Half,0,,0,,1000591,Pierre-Baptiste Nuchy,1000945,David Beun,1001134,Frederic Masse,191,Eric Gauzins,203,TOP 14,Y,L,37963,Lucas Martin,4850,Bayonne
5,943223,37963,Lucas Martin,4850,Bayonne,5.80,5.80,6,1,77,50,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:39Z,1,1,1,0,0,45,Lyon,4850,Bayonne,26/10/2024,16:30,7,27,38,49,0,0,7,Matmut Stadium de Gerland,-1,NA,8,2025,02,2,Hooker,0,,0,,1000591,Pierre-Baptiste Nuchy,1000945,David Beun,1001134,Frederic Masse,191,Eric Gauzins,203,TOP 14,N,W,28272,Leo Berdeu,45,Lyon
6,943223,28272,Leo Berdeu,45,Lyon,6.84,11.08,7,1,21,20,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,665,Close Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,0,4,2024-10-26T14:31:40Z,1,1,1,0,0,45,Lyon,4850,Bayonne,26/10/2024,16:30,7,27,38,49,0,0,7,Matmut Stadium de Gerland,-1,NA,8,2025,10,10,Fly Half,0,,0,,1000591,Pierre-Baptiste Nuchy,1000945,David Beun,1001134,Frederic Masse,191,Eric Gauzins,203,TOP 14,Y,L,24594,Baptiste Couilloud,45,Lyon
7,943223,37963,Lucas Martin,4850,Bayonne,8.24,8.24,9,1,79,48,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:37Z,1,1,1,0,0,45,Lyon,4850,Bayonne,26/10/2024,16:30,7,27,38,49,0,0,7,Matmut Stadium de Gerland,-1,NA,8,2025,02,2,Hooker,0,,0,,1000591,Pierre-Baptiste Nuchy,1000945,David Beun,1001134,Frederic Masse,191,Eric Gauzins,203,TOP 14,N,W,0,,0,
8,943223,20822,Sam Matavesi,45,Lyon,8.80,8.80,9,1,21,20,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:42Z,1,1,1,0,0,45,Lyon,4850,Bayonne,26/10/2024,16:30,7,27,38,49,0,0,7,Matmut Stadium de Gerland,-1,NA,8,2025,02,2,Hooker,0,,0,,1000591,Pierre-Baptiste Nuchy,1000945,David Beun,1001134,Frederic Masse,191,Eric Gauzins,203,TOP 14,Y,L,0,,0,
9,943223,23721,Jermaine Ainsley,45,Lyon,9.08,9.08,9,1,21,20,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:42Z,1,1,1,0,0,45,Lyon,4850,Bayonne,26/10/2024,16:30,7,27,38,49,0,0,7,Matmut Stadium de Gerland,-1,NA,8,2025,03,3,Tighthead Prop,0,,0,,1000591,Pierre-Baptiste Nuchy,1000945,David Beun,1001134,Frederic Masse,191,Eric Gauzins,203,TOP 14,Y,L,0,,0,
