ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943224,4950,,4950,Montpellier Herault Rugby,0.00,4.08,3,1,48,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:05Z,0,0,0,0,0,4950,Montpellier Herault Rugby,47,Stade Rochelais,26/10/2024,16:30,13,0,16,0,0,0,131,GGL Stadium,-1,NA,8,2025,,,,0,,0,,1000545,Pierre Brousset,1000910,Ghyslain Elias,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,
1,943224,18622,Stuart Hogg,4950,Montpellier Herault Rugby,0.00,4.08,3,1,48,34,90,55,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,42,47,22,0,2024-10-26T14:31:05Z,1,0,1,0,0,4950,Montpellier Herault Rugby,47,Stade Rochelais,26/10/2024,16:30,13,0,16,0,0,0,131,GGL Stadium,-1,NA,8,2025,10,10,Fly Half,0,,0,,1000545,Pierre Brousset,1000910,Ghyslain Elias,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,
2,943224,29456,Gregory Alldritt,47,Stade Rochelais,4.08,4.08,7,1,10,13,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:06Z,1,1,1,0,0,4950,Montpellier Herault Rugby,47,Stade Rochelais,26/10/2024,16:30,13,0,16,0,0,0,131,GGL Stadium,-1,NA,8,2025,08,8,Number 8,0,,0,,1000545,Pierre Brousset,1000910,Ghyslain Elias,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,N,L,0,,0,
3,943224,0,,47,Stade Rochelais,4.08,4.08,7,1,10,13,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,28,0,0,0,2024-10-26T14:31:06Z,1,1,1,0,0,4950,Montpellier Herault Rugby,47,Stade Rochelais,26/10/2024,16:30,13,0,16,0,0,0,131,GGL Stadium,-1,NA,8,2025,,,,0,,0,,1000545,Pierre Brousset,1000910,Ghyslain Elias,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,N,L,0,,0,
4,943224,29456,Gregory Alldritt,47,Stade Rochelais,4.08,6.36,7,1,10,13,15,20,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,1,1,2024-10-26T14:31:06Z,1,1,1,0,0,4950,Montpellier Herault Rugby,47,Stade Rochelais,26/10/2024,16:30,13,0,16,0,0,0,131,GGL Stadium,-1,NA,8,2025,08,8,Number 8,0,,0,,1000545,Pierre Brousset,1000910,Ghyslain Elias,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,N,L,37326,Mael Moustin,4950,Montpellier Herault Rugby
5,943224,37326,Mael Moustin,4950,Montpellier Herault Rugby,6.08,6.08,9,1,86,49,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:08Z,1,1,1,0,0,4950,Montpellier Herault Rugby,47,Stade Rochelais,26/10/2024,16:30,13,0,16,0,0,0,131,GGL Stadium,-1,NA,8,2025,14,14,Right Wing,0,,0,,1000545,Pierre Brousset,1000910,Ghyslain Elias,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,Y,W,29456,Gregory Alldritt,47,Stade Rochelais
6,943224,29456,Gregory Alldritt,47,Stade Rochelais,6.36,15.40,10,1,15,20,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:09Z,1,1,1,0,0,4950,Montpellier Herault Rugby,47,Stade Rochelais,26/10/2024,16:30,13,0,16,0,0,0,131,GGL Stadium,-1,NA,8,2025,08,8,Number 8,0,,0,,1000545,Pierre Brousset,1000910,Ghyslain Elias,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,N,L,17155,Tawera Kerr-Barlow,47,Stade Rochelais
7,943224,19815,Tolu Latu,47,Stade Rochelais,7.44,7.44,11,1,15,20,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:01Z,1,1,1,0,0,4950,Montpellier Herault Rugby,47,Stade Rochelais,26/10/2024,16:30,13,0,16,0,0,0,131,GGL Stadium,-1,NA,8,2025,02,2,Hooker,0,,0,,1000545,Pierre Brousset,1000910,Ghyslain Elias,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,N,L,0,,0,
8,943224,29828,Thomas Lavault,47,Stade Rochelais,7.92,7.92,11,1,15,20,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:01Z,1,1,1,0,0,4950,Montpellier Herault Rugby,47,Stade Rochelais,26/10/2024,16:30,13,0,16,0,0,0,131,GGL Stadium,-1,NA,8,2025,04,4,Lock (4),0,,0,,1000545,Pierre Brousset,1000910,Ghyslain Elias,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,N,L,0,,0,
9,943224,31662,Reda Wardi,47,Stade Rochelais,8.52,8.52,12,1,15,20,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2024-10-26T14:31:02Z,1,1,1,0,0,4950,Montpellier Herault Rugby,47,Stade Rochelais,26/10/2024,16:30,13,0,16,0,0,0,131,GGL Stadium,-1,NA,8,2025,01,1,Loosehead Prop,0,,0,,1000545,Pierre Brousset,1000910,Ghyslain Elias,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,N,L,0,,0,
