ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943237,2050,,2050,Castres Olympique,0.00,4.40,0,1,49,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-11-23T15:30:20Z,0,0,0,0,0,2050,Castres Olympique,47,Stade Rochelais,23/11/2024,16:30,28,6,28,24,0,0,92,Stade Pierre Fabre,-1,NA,10,2025,,,,0,,0,,1001130,Adrien Marbot,1000570,Flavien Hourquet,1000572,Thierry Mallet,1000564,Jonathan Dufort,203,TOP 14,Y,W,0,,0,
1,943237,37377,Louis Le Brun,2050,Castres Olympique,0.00,4.40,0,1,49,33,85,58,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,35,43,25,0,2024-11-23T15:30:20Z,1,0,1,0,0,2050,Castres Olympique,47,Stade Rochelais,23/11/2024,16:30,28,6,28,24,0,0,92,Stade Pierre Fabre,-1,NA,10,2025,10,10,Fly Half,0,,0,,1001130,Adrien Marbot,1000570,Flavien Hourquet,1000572,Thierry Mallet,1000564,Jonathan Dufort,203,TOP 14,Y,W,0,,0,
2,943237,32294,Jules Favre,47,Stade Rochelais,4.40,4.40,4,1,15,10,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-11-23T15:30:25Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,23/11/2024,16:30,28,6,28,24,0,0,92,Stade Pierre Fabre,-1,NA,10,2025,11,11,Left Wing,0,,0,,1001130,Adrien Marbot,1000570,Flavien Hourquet,1000572,Thierry Mallet,1000564,Jonathan Dufort,203,TOP 14,N,L,0,,0,
3,943237,0,,47,Stade Rochelais,4.40,4.40,4,1,15,10,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,0,0,0,2024-11-23T15:30:25Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,23/11/2024,16:30,28,6,28,24,0,0,92,Stade Pierre Fabre,-1,NA,10,2025,,,,0,,0,,1001130,Adrien Marbot,1000570,Flavien Hourquet,1000572,Thierry Mallet,1000564,Jonathan Dufort,203,TOP 14,N,L,0,,0,
4,943237,32294,Jules Favre,47,Stade Rochelais,4.40,7.68,4,1,15,10,18,11,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2024-11-23T15:30:25Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,23/11/2024,16:30,28,6,28,24,0,0,92,Stade Pierre Fabre,-1,NA,10,2025,11,11,Left Wing,0,,0,,1001130,Adrien Marbot,1000570,Flavien Hourquet,1000572,Thierry Mallet,1000564,Jonathan Dufort,203,TOP 14,N,L,10902,Geoffrey Palis,2050,Castres Olympique
5,943237,10902,Geoffrey Palis,2050,Castres Olympique,6.52,6.52,6,1,83,56,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-11-23T15:30:27Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,23/11/2024,16:30,28,6,28,24,0,0,92,Stade Pierre Fabre,-1,NA,10,2025,14,14,Right Wing,0,,0,,1001130,Adrien Marbot,1000570,Flavien Hourquet,1000572,Thierry Mallet,1000564,Jonathan Dufort,203,TOP 14,Y,W,32294,Jules Favre,47,Stade Rochelais
6,943237,37836,Baptiste Cope,2050,Castres Olympique,6.68,6.68,6,1,83,56,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2024-11-23T15:30:27Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,23/11/2024,16:30,28,6,28,24,0,0,92,Stade Pierre Fabre,-1,NA,10,2025,07,7,Openside Flanker,0,,0,,1001130,Adrien Marbot,1000570,Flavien Hourquet,1000572,Thierry Mallet,1000564,Jonathan Dufort,203,TOP 14,Y,W,32294,Jules Favre,47,Stade Rochelais
7,943237,32294,Jules Favre,47,Stade Rochelais,7.68,11.04,7,1,18,11,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,29,2024-11-23T15:30:28Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,23/11/2024,16:30,28,6,28,24,0,0,92,Stade Pierre Fabre,-1,NA,10,2025,11,11,Left Wing,0,,0,,1001130,Adrien Marbot,1000570,Flavien Hourquet,1000572,Thierry Mallet,1000564,Jonathan Dufort,203,TOP 14,N,L,17155,Tawera Kerr-Barlow,47,Stade Rochelais
8,943237,19815,Tolu Latu,47,Stade Rochelais,8.08,8.08,8,1,18,11,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-11-23T15:30:29Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,23/11/2024,16:30,28,6,28,24,0,0,92,Stade Pierre Fabre,-1,NA,10,2025,02,2,Hooker,0,,0,,1001130,Adrien Marbot,1000570,Flavien Hourquet,1000572,Thierry Mallet,1000564,Jonathan Dufort,203,TOP 14,N,L,0,,0,
9,943237,39719,Alexandre Kaddouri,47,Stade Rochelais,8.12,8.12,8,1,18,11,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-11-23T15:30:29Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,23/11/2024,16:30,28,6,28,24,0,0,92,Stade Pierre Fabre,-1,NA,10,2025,01,1,Loosehead Prop,0,,0,,1001130,Adrien Marbot,1000570,Flavien Hourquet,1000572,Thierry Mallet,1000564,Jonathan Dufort,203,TOP 14,N,L,0,,0,
