ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943256,1600,,1600,Stade Francais Paris,0.00,3.72,0,1,48,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-12-21T15:31:02Z,0,0,0,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,,,,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,
1,943256,29429,Louis Carbonel,1600,Stade Francais Paris,0.00,3.72,0,1,48,34,82,27,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,34,34,8,0,2024-12-21T15:31:02Z,1,0,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,10,10,Fly Half,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,
2,943256,39384,Noe Della Schiava,1650,USAP,3.72,3.72,4,1,18,41,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-12-21T15:31:05Z,1,1,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,07,7,Openside Flanker,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,N,L,0,,0,
3,943256,0,,1650,USAP,3.72,3.72,4,1,18,41,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,17,0,0,0,2024-12-21T15:31:05Z,1,1,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,,,,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,N,L,0,,0,
4,943256,39384,Noe Della Schiava,1650,USAP,3.72,5.08,4,1,18,41,16,42,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2024-12-21T15:31:05Z,1,1,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,07,7,Openside Flanker,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,N,L,45630,Peniasi Dakuwaqa,1600,Stade Francais Paris
5,943256,45630,Peniasi Dakuwaqa,1600,Stade Francais Paris,4.20,4.20,4,1,82,26,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2024-12-21T15:31:06Z,1,1,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,14,14,Right Wing,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,Y,W,39384,Noe Della Schiava,1650,USAP
6,943256,39384,Noe Della Schiava,1650,USAP,5.08,7.68,5,1,16,42,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-12,10,2024-12-21T15:31:07Z,1,1,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,07,7,Openside Flanker,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,N,L,19013,Tom Ecochard,1650,USAP
7,943256,30277,Ryan Chapuis,1600,Stade Francais Paris,5.64,5.64,6,1,84,26,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-12-21T15:31:05Z,1,1,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,07,7,Openside Flanker,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,
8,943256,35691,Lucas Velarte,1650,USAP,5.68,5.68,6,1,16,42,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-12-21T15:31:05Z,1,1,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,06,6,Blindside Flanker,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,N,L,0,,0,
9,943256,34073,Adrien Warion,1650,USAP,6.28,6.28,6,1,16,42,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-12-21T15:31:06Z,1,1,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,05,5,Lock (5),0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,N,L,0,,0,
10,943256,37804,Giacomo Nicotera,1600,Stade Francais Paris,6.40,6.40,7,1,84,26,0,0,43,Ruck OOA,577,Not Clearing,584,Own Team 2nd Entry,604,OOA Entry 2nd Entry- Def,633,Defensive OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-12-21T15:31:06Z,1,1,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,02,2,Hooker,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,
11,943256,37678,Joaquin Oviedo,1650,USAP,6.48,6.48,7,1,16,42,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2024-12-21T15:31:06Z,1,1,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,08,8,Number 8,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,N,L,0,,0,
12,943256,33129,Alivereti Duguivalu,1650,USAP,7.44,7.44,8,1,16,42,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,4,0,,0,,0,,0,,0,,0,0,0,0,2024-12-21T15:31:07Z,1,1,1,0,0,1600,Stade Francais Paris,1650,USAP,21/12/2024,16:30,14,7,24,7,0,0,79,Stade Jean Bouin,-1,NA,12,2025,13,13,Outside Centre,0,,0,,1000565,Luc Ramos,1000551,Laurent Millotte,1000946,Benoit Rousselet,197,Cedric Marchat,203,TOP 14,N,L,0,,0,
