ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,943265,2050,,2050,Castres Olympique,0.00,3.04,1,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-01-04T15:31:34Z,0,0,0,0,0,2050,Castres Olympique,3450,Section Paloise,04/01/2025,16:30,16,9,24,19,0,0,92,Stade Pierre Fabre,-1,NA,14,2025,,,,0,,0,,1001130,Adrien Marbot,1000912,Richard Duhau,1000550,Vivien Praderie,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
1,943265,25274,Pierre Popelin,2050,Castres Olympique,0.00,3.04,1,1,49,34,81,53,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,31,37,20,0,2025-01-04T15:31:34Z,1,0,1,0,0,2050,Castres Olympique,3450,Section Paloise,04/01/2025,16:30,16,9,24,19,0,0,92,Stade Pierre Fabre,-1,NA,14,2025,10,10,Fly Half,0,,0,,1001130,Adrien Marbot,1000912,Richard Duhau,1000550,Vivien Praderie,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
2,943265,23491,Beka Gorgadze,3450,Section Paloise,3.04,3.04,4,1,19,15,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-01-04T15:31:38Z,1,1,1,0,0,2050,Castres Olympique,3450,Section Paloise,04/01/2025,16:30,16,9,24,19,0,0,92,Stade Pierre Fabre,-1,NA,14,2025,08,8,Number 8,0,,0,,1001130,Adrien Marbot,1000912,Richard Duhau,1000550,Vivien Praderie,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
3,943265,0,,3450,Section Paloise,3.04,3.04,4,1,19,15,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,38,0,0,0,2025-01-04T15:31:38Z,1,1,1,0,0,2050,Castres Olympique,3450,Section Paloise,04/01/2025,16:30,16,9,24,19,0,0,92,Stade Pierre Fabre,-1,NA,14,2025,,,,0,,0,,1001130,Adrien Marbot,1000912,Richard Duhau,1000550,Vivien Praderie,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
4,943265,23491,Beka Gorgadze,3450,Section Paloise,3.04,5.92,4,1,19,15,25,16,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,6,6,2,2,2025-01-04T15:31:38Z,1,1,1,0,0,2050,Castres Olympique,3450,Section Paloise,04/01/2025,16:30,16,9,24,19,0,0,92,Stade Pierre Fabre,-1,NA,14,2025,08,8,Number 8,0,,0,,1001130,Adrien Marbot,1000912,Richard Duhau,1000550,Vivien Praderie,1000193,Denis Grenouillet,203,TOP 14,N,L,31462,Florent Vanverberghe,2050,Castres Olympique,5
5,943265,31462,Florent Vanverberghe,2050,Castres Olympique,5.12,5.12,6,1,77,52,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-01-04T15:31:40Z,1,1,1,0,0,2050,Castres Olympique,3450,Section Paloise,04/01/2025,16:30,16,9,24,19,0,0,92,Stade Pierre Fabre,-1,NA,14,2025,05,5,Lock (5),0,,0,,1001130,Adrien Marbot,1000912,Richard Duhau,1000550,Vivien Praderie,1000193,Denis Grenouillet,203,TOP 14,Y,W,23491,Beka Gorgadze,3450,Section Paloise,4
6,943265,23491,Beka Gorgadze,3450,Section Paloise,5.92,14.24,7,1,25,16,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,669,Tight Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-01-04T15:31:40Z,1,1,1,0,0,2050,Castres Olympique,3450,Section Paloise,04/01/2025,16:30,16,9,24,19,0,0,92,Stade Pierre Fabre,-1,NA,14,2025,08,8,Number 8,0,,0,,1001130,Adrien Marbot,1000912,Richard Duhau,1000550,Vivien Praderie,1000193,Denis Grenouillet,203,TOP 14,N,L,21652,Thibault Daubagna,3450,Section Paloise,13
7,943265,19959,Tyler Ardron,2050,Castres Olympique,6.36,6.36,8,1,75,52,0,0,43,Ruck OOA,578,Got Cleaned Out,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-01-04T15:31:32Z,1,1,1,0,0,2050,Castres Olympique,3450,Section Paloise,04/01/2025,16:30,16,9,24,19,0,0,92,Stade Pierre Fabre,-1,NA,14,2025,07,7,Openside Flanker,0,,0,,1001130,Adrien Marbot,1000912,Richard Duhau,1000550,Vivien Praderie,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
8,943265,21764,Ignacio Calles,3450,Section Paloise,7.16,7.16,9,1,25,16,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-01-04T15:31:33Z,1,1,1,0,0,2050,Castres Olympique,3450,Section Paloise,04/01/2025,16:30,16,9,24,19,0,0,92,Stade Pierre Fabre,-1,NA,14,2025,01,1,Loosehead Prop,0,,0,,1001130,Adrien Marbot,1000912,Richard Duhau,1000550,Vivien Praderie,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
9,943265,39711,Hugo Auradou,3450,Section Paloise,7.32,7.32,9,1,25,16,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2025-01-04T15:31:33Z,1,1,1,0,0,2050,Castres Olympique,3450,Section Paloise,04/01/2025,16:30,16,9,24,19,0,0,92,Stade Pierre Fabre,-1,NA,14,2025,04,4,Lock (4),0,,0,,1001130,Adrien Marbot,1000912,Richard Duhau,1000550,Vivien Praderie,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
