ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943269,435,,435,Vannes,0.00,4.08,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-01-05T20:08:10Z,0,0,0,0,0,435,Vannes,2250,ASM Clermont Auvergne,05/01/2025,21:05,10,13,19,20,0,0,245,Stade de la Rabine,-1,NA,14,2025,,,,0,,0,,1000591,Pierre-Baptiste Nuchy,1001293,Sylvain Jaymes,1001477,Evan Urruzmendi,1000396,Mourad Zitouni,203,TOP 14,Y,L,0,,0,
1,943269,23345,Anthony Belleau,2250,ASM Clermont Auvergne,0.00,4.08,2,1,50,34,81,20,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,32,35,14,0,2025-01-05T20:08:10Z,1,0,1,0,0,435,Vannes,2250,ASM Clermont Auvergne,05/01/2025,21:05,10,13,19,20,0,0,245,Stade de la Rabine,-1,NA,14,2025,10,10,Fly Half,0,,0,,1000591,Pierre-Baptiste Nuchy,1001293,Sylvain Jaymes,1001477,Evan Urruzmendi,1000396,Mourad Zitouni,203,TOP 14,N,W,0,,0,
2,943269,36341,Paul Surano,435,Vannes,4.08,4.08,6,1,19,48,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-01-05T20:08:14Z,1,1,1,0,0,435,Vannes,2250,ASM Clermont Auvergne,05/01/2025,21:05,10,13,19,20,0,0,245,Stade de la Rabine,-1,NA,14,2025,15,15,Full Back,0,,0,,1000591,Pierre-Baptiste Nuchy,1001293,Sylvain Jaymes,1001477,Evan Urruzmendi,1000396,Mourad Zitouni,203,TOP 14,Y,L,0,,0,
3,943269,0,,435,Vannes,4.08,4.08,6,1,19,48,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,29,0,0,0,2025-01-05T20:08:14Z,1,1,1,0,0,435,Vannes,2250,ASM Clermont Auvergne,05/01/2025,21:05,10,13,19,20,0,0,245,Stade de la Rabine,-1,NA,14,2025,,,,0,,0,,1000591,Pierre-Baptiste Nuchy,1001293,Sylvain Jaymes,1001477,Evan Urruzmendi,1000396,Mourad Zitouni,203,TOP 14,Y,L,0,,0,
4,943269,36341,Paul Surano,435,Vannes,4.08,5.28,6,1,19,48,18,46,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2025-01-05T20:08:14Z,1,1,1,0,0,435,Vannes,2250,ASM Clermont Auvergne,05/01/2025,21:05,10,13,19,20,0,0,245,Stade de la Rabine,-1,NA,14,2025,15,15,Full Back,0,,0,,1000591,Pierre-Baptiste Nuchy,1001293,Sylvain Jaymes,1001477,Evan Urruzmendi,1000396,Mourad Zitouni,203,TOP 14,Y,L,23989,Alivereti Raka,2250,ASM Clermont Auvergne
5,943269,23989,Alivereti Raka,2250,ASM Clermont Auvergne,4.68,4.68,7,1,82,21,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-01-05T20:08:14Z,1,1,1,0,0,435,Vannes,2250,ASM Clermont Auvergne,05/01/2025,21:05,10,13,19,20,0,0,245,Stade de la Rabine,-1,NA,14,2025,11,11,Left Wing,0,,0,,1000591,Pierre-Baptiste Nuchy,1001293,Sylvain Jaymes,1001477,Evan Urruzmendi,1000396,Mourad Zitouni,203,TOP 14,N,W,36341,Paul Surano,435,Vannes
6,943269,36341,Paul Surano,435,Vannes,5.28,10.84,8,1,18,46,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,666,Close Right Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,-14,2,2025-01-05T20:08:15Z,1,1,1,0,0,435,Vannes,2250,ASM Clermont Auvergne,05/01/2025,21:05,10,13,19,20,0,0,245,Stade de la Rabine,-1,NA,14,2025,15,15,Full Back,0,,0,,1000591,Pierre-Baptiste Nuchy,1001293,Sylvain Jaymes,1001477,Evan Urruzmendi,1000396,Mourad Zitouni,203,TOP 14,Y,L,20301,Michael Ruru,435,Vannes
7,943269,9185,Sione Kalamafoni,435,Vannes,5.64,5.64,8,1,18,46,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-01-05T20:08:15Z,1,1,1,0,0,435,Vannes,2250,ASM Clermont Auvergne,05/01/2025,21:05,10,13,19,20,0,0,245,Stade de la Rabine,-1,NA,14,2025,08,8,Number 8,0,,0,,1000591,Pierre-Baptiste Nuchy,1001293,Sylvain Jaymes,1001477,Evan Urruzmendi,1000396,Mourad Zitouni,203,TOP 14,Y,L,0,,0,
8,943269,33044,Thibaud Lanen,2250,ASM Clermont Auvergne,6.08,6.08,8,1,82,22,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-01-05T20:08:15Z,1,1,1,0,0,435,Vannes,2250,ASM Clermont Auvergne,05/01/2025,21:05,10,13,19,20,0,0,245,Stade de la Rabine,-1,NA,14,2025,04,4,Lock (4),0,,0,,1000591,Pierre-Baptiste Nuchy,1001293,Sylvain Jaymes,1001477,Evan Urruzmendi,1000396,Mourad Zitouni,203,TOP 14,N,W,0,,0,
9,943269,27587,Eric Marks,435,Vannes,6.12,6.12,9,1,18,46,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-01-05T20:08:16Z,1,1,1,0,0,435,Vannes,2250,ASM Clermont Auvergne,05/01/2025,21:05,10,13,19,20,0,0,245,Stade de la Rabine,-1,NA,14,2025,04,4,Lock (4),0,,0,,1000591,Pierre-Baptiste Nuchy,1001293,Sylvain Jaymes,1001477,Evan Urruzmendi,1000396,Mourad Zitouni,203,TOP 14,Y,L,0,,0,
