ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943278,1650,,1650,USAP,0.00,3.80,2,1,48,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-01-25T15:10:55Z,0,0,0,0,0,1650,USAP,4850,Bayonne,25/01/2025,16:00,6,6,16,11,0,0,77,Stade Aime Giral,-1,NA,15,2025,,,,0,,0,,1000545,Pierre Brousset,1000619,Frederic Chazal,1001254,Benjamin Hernandez,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
1,943278,37578,Antoine Aucagne,1650,USAP,0.00,3.80,2,1,48,35,83,59,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,35,43,25,0,2025-01-25T15:10:55Z,1,0,1,0,0,1650,USAP,4850,Bayonne,25/01/2025,16:00,6,6,16,11,0,0,77,Stade Aime Giral,-1,NA,15,2025,15,15,Full Back,0,,0,,1000545,Pierre Brousset,1000619,Frederic Chazal,1001254,Benjamin Hernandez,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
2,943278,21803,Giovanni Habel-Kueffner,4850,Bayonne,3.80,3.80,5,1,17,9,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-01-25T15:10:55Z,1,1,1,0,0,1650,USAP,4850,Bayonne,25/01/2025,16:00,6,6,16,11,0,0,77,Stade Aime Giral,-1,NA,15,2025,08,8,Number 8,0,,0,,1000545,Pierre Brousset,1000619,Frederic Chazal,1001254,Benjamin Hernandez,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,
3,943278,0,,4850,Bayonne,3.80,3.80,5,1,17,9,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,31,0,0,0,2025-01-25T15:10:55Z,1,1,1,0,0,1650,USAP,4850,Bayonne,25/01/2025,16:00,6,6,16,11,0,0,77,Stade Aime Giral,-1,NA,15,2025,,,,0,,0,,1000545,Pierre Brousset,1000619,Frederic Chazal,1001254,Benjamin Hernandez,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,
4,943278,21803,Giovanni Habel-Kueffner,4850,Bayonne,3.80,5.52,5,1,17,9,15,10,1,Carry,105,Restart Return,108,Tackled Neutral,111,Failed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2025-01-25T15:10:57Z,1,1,1,0,0,1650,USAP,4850,Bayonne,25/01/2025,16:00,6,6,16,11,0,0,77,Stade Aime Giral,-1,NA,15,2025,08,8,Number 8,0,,0,,1000545,Pierre Brousset,1000619,Frederic Chazal,1001254,Benjamin Hernandez,1000193,Denis Grenouillet,203,TOP 14,N,L,29826,Giorgi Beria,1650,USAP
5,943278,29826,Giorgi Beria,1650,USAP,5.32,5.32,7,1,85,57,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-01-25T15:10:57Z,1,1,1,0,0,1650,USAP,4850,Bayonne,25/01/2025,16:00,6,6,16,11,0,0,77,Stade Aime Giral,-1,NA,15,2025,01,1,Loosehead Prop,0,,0,,1000545,Pierre Brousset,1000619,Frederic Chazal,1001254,Benjamin Hernandez,1000193,Denis Grenouillet,203,TOP 14,Y,W,21803,Giovanni Habel-Kueffner,4850,Bayonne
6,943278,21803,Giovanni Habel-Kueffner,4850,Bayonne,5.52,14.48,7,1,15,10,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,669,Tight Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-01-25T15:11:06Z,1,1,1,0,0,1650,USAP,4850,Bayonne,25/01/2025,16:00,6,6,16,11,0,0,77,Stade Aime Giral,-1,NA,15,2025,08,8,Number 8,0,,0,,1000545,Pierre Brousset,1000619,Frederic Chazal,1001254,Benjamin Hernandez,1000193,Denis Grenouillet,203,TOP 14,N,L,17312,Maxime Machenaud,4850,Bayonne
7,943278,29827,Baptiste Heguy,4850,Bayonne,8.96,8.96,11,1,15,10,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-01-25T15:11:00Z,1,1,1,0,0,1650,USAP,4850,Bayonne,25/01/2025,16:00,6,6,16,11,0,0,77,Stade Aime Giral,-1,NA,15,2025,07,7,Openside Flanker,0,,0,,1000545,Pierre Brousset,1000619,Frederic Chazal,1001254,Benjamin Hernandez,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,
8,943278,28249,Lucas Paulos,4850,Bayonne,9.24,9.24,11,1,15,10,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-01-25T15:11:00Z,1,1,1,0,0,1650,USAP,4850,Bayonne,25/01/2025,16:00,6,6,16,11,0,0,77,Stade Aime Giral,-1,NA,15,2025,05,5,Lock (5),0,,0,,1000545,Pierre Brousset,1000619,Frederic Chazal,1001254,Benjamin Hernandez,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,
9,943278,28174,Luke Tagi,4850,Bayonne,11.24,11.24,13,1,15,10,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-01-25T15:11:02Z,1,1,1,0,0,1650,USAP,4850,Bayonne,25/01/2025,16:00,6,6,16,11,0,0,77,Stade Aime Giral,-1,NA,15,2025,03,3,Tighthead Prop,0,,0,,1000545,Pierre Brousset,1000619,Frederic Chazal,1001254,Benjamin Hernandez,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,
