ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943281,45,,45,Lyon,0.00,4.48,0,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:31:00Z,0,0,0,0,0,45,Lyon,47,Stade Rochelais,15/02/2025,16:30,22,3,53,17,0,0,7,Matmut Stadium de Gerland,-1,NA,16,2025,,,,0,,0,,1000565,Luc Ramos,1001254,Benjamin Hernandez,1001459,Benoit Lapassade,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,
1,943281,28272,Leo Berdeu,45,Lyon,0.00,4.48,0,1,50,35,75,57,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,0,,0,,0,,0,,0,,0,,25,34,23,0,2025-02-15T15:31:00Z,1,0,1,0,0,45,Lyon,47,Stade Rochelais,15/02/2025,16:30,22,3,53,17,0,0,7,Matmut Stadium de Gerland,-1,NA,16,2025,10,10,Fly Half,0,,0,,1000565,Luc Ramos,1001254,Benjamin Hernandez,1001459,Benoit Lapassade,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,
2,943281,29828,Thomas Lavault,47,Stade Rochelais,4.48,4.48,5,1,25,11,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:31:04Z,1,1,1,0,0,45,Lyon,47,Stade Rochelais,15/02/2025,16:30,22,3,53,17,0,0,7,Matmut Stadium de Gerland,-1,NA,16,2025,07,7,Openside Flanker,0,,0,,1000565,Luc Ramos,1001254,Benjamin Hernandez,1001459,Benoit Lapassade,1000196,Patrick Dellac,203,TOP 14,N,L,0,,0,
3,943281,29828,Thomas Lavault,47,Stade Rochelais,4.48,5.76,5,1,25,11,26,13,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,0,0,2025-02-15T15:31:04Z,1,1,1,0,0,45,Lyon,47,Stade Rochelais,15/02/2025,16:30,22,3,53,17,0,0,7,Matmut Stadium de Gerland,-1,NA,16,2025,07,7,Openside Flanker,0,,0,,1000565,Luc Ramos,1001254,Benjamin Hernandez,1001459,Benoit Lapassade,1000196,Patrick Dellac,203,TOP 14,N,L,27022,Hamza Kaabeche,45,Lyon
4,943281,27022,Hamza Kaabeche,45,Lyon,5.00,5.00,5,1,74,56,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:31:04Z,1,1,1,0,0,45,Lyon,47,Stade Rochelais,15/02/2025,16:30,22,3,53,17,0,0,7,Matmut Stadium de Gerland,-1,NA,16,2025,01,1,Loosehead Prop,0,,0,,1000565,Luc Ramos,1001254,Benjamin Hernandez,1001459,Benoit Lapassade,1000196,Patrick Dellac,203,TOP 14,Y,W,29828,Thomas Lavault,47,Stade Rochelais
5,943281,27021,Dylan Cretin,45,Lyon,5.04,5.04,5,1,74,56,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:31:04Z,1,1,1,0,0,45,Lyon,47,Stade Rochelais,15/02/2025,16:30,22,3,53,17,0,0,7,Matmut Stadium de Gerland,-1,NA,16,2025,06,6,Blindside Flanker,0,,0,,1000565,Luc Ramos,1001254,Benjamin Hernandez,1001459,Benoit Lapassade,1000196,Patrick Dellac,203,TOP 14,Y,W,29828,Thomas Lavault,47,Stade Rochelais
6,943281,29828,Thomas Lavault,47,Stade Rochelais,5.76,14.20,6,1,26,13,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:31:06Z,1,1,1,0,0,45,Lyon,47,Stade Rochelais,15/02/2025,16:30,22,3,53,17,0,0,7,Matmut Stadium de Gerland,-1,NA,16,2025,07,7,Openside Flanker,0,,0,,1000565,Luc Ramos,1001254,Benjamin Hernandez,1001459,Benoit Lapassade,1000196,Patrick Dellac,203,TOP 14,N,L,33163,Thomas Berjon,47,Stade Rochelais
7,943281,19815,Tolu Latu,47,Stade Rochelais,5.80,5.80,6,1,26,13,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:30:58Z,1,1,1,0,0,45,Lyon,47,Stade Rochelais,15/02/2025,16:30,22,3,53,17,0,0,7,Matmut Stadium de Gerland,-1,NA,16,2025,02,2,Hooker,0,,0,,1000565,Luc Ramos,1001254,Benjamin Hernandez,1001459,Benoit Lapassade,1000196,Patrick Dellac,203,TOP 14,N,L,0,,0,
8,943281,31662,Reda Wardi,47,Stade Rochelais,6.88,6.88,7,1,26,13,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:31:06Z,1,1,1,0,0,45,Lyon,47,Stade Rochelais,15/02/2025,16:30,22,3,53,17,0,0,7,Matmut Stadium de Gerland,-1,NA,16,2025,01,1,Loosehead Prop,0,,0,,1000565,Luc Ramos,1001254,Benjamin Hernandez,1001459,Benoit Lapassade,1000196,Patrick Dellac,203,TOP 14,N,L,0,,0,
9,943281,62383,Lucas Andjisseramatchi,47,Stade Rochelais,7.64,7.64,8,1,26,13,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:31:07Z,1,1,1,0,0,45,Lyon,47,Stade Rochelais,15/02/2025,16:30,22,3,53,17,0,0,7,Matmut Stadium de Gerland,-1,NA,16,2025,08,8,Number 8,0,,0,,1000565,Luc Ramos,1001254,Benjamin Hernandez,1001459,Benoit Lapassade,1000196,Patrick Dellac,203,TOP 14,N,L,0,,0,
