ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,943284,1600,,1600,Stade Francais Paris,0.00,3.60,2,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:30:37Z,0,0,0,0,0,1600,Stade Francais Paris,3450,Section Paloise,15/02/2025,16:30,10,20,39,37,0,0,79,Stade Jean Bouin,-1,NA,16,2025,,,,0,,0,,1001130,Adrien Marbot,1000619,Frederic Chazal,1000564,Jonathan Dufort,1000225,Eric Briquet-Campin,203,TOP 14,Y,W,0,,0,,
1,943284,31874,Zack Henry,1600,Stade Francais Paris,0.00,3.60,2,1,50,35,73,6,14,Restart,281,50m Restart,284,Restart Retained,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,23,38,30,0,2025-02-15T15:30:37Z,1,1,1,0,0,1600,Stade Francais Paris,3450,Section Paloise,15/02/2025,16:30,10,20,39,37,0,0,79,Stade Jean Bouin,-1,NA,16,2025,10,10,Fly Half,0,,0,,1001130,Adrien Marbot,1000619,Frederic Chazal,1000564,Jonathan Dufort,1000225,Eric Briquet-Campin,203,TOP 14,Y,W,0,,0,,
2,943284,17151,Luke Whitelock,3450,Section Paloise,3.60,3.60,6,1,28,62,0,0,18,Collection,275,Restart Catch,278,Fail,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:30:40Z,1,1,1,0,0,1600,Stade Francais Paris,3450,Section Paloise,15/02/2025,16:30,10,20,39,37,0,0,79,Stade Jean Bouin,-1,NA,16,2025,07,7,Openside Flanker,0,,0,,1001130,Adrien Marbot,1000619,Frederic Chazal,1000564,Jonathan Dufort,1000225,Eric Briquet-Campin,203,TOP 14,N,L,0,,0,,
3,943284,29791,Samuel Ezeala,1600,Stade Francais Paris,4.72,4.72,7,1,77,5,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:30:41Z,1,1,1,0,0,1600,Stade Francais Paris,3450,Section Paloise,15/02/2025,16:30,10,20,39,37,0,0,79,Stade Jean Bouin,-1,NA,16,2025,11,11,Left Wing,0,,0,,1001130,Adrien Marbot,1000619,Frederic Chazal,1000564,Jonathan Dufort,1000225,Eric Briquet-Campin,203,TOP 14,Y,W,0,,0,,
4,943284,29791,Samuel Ezeala,1600,Stade Francais Paris,4.72,6.68,7,1,77,5,81,6,1,Carry,103,Other Carry,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,1,1,2025-02-15T15:30:41Z,1,1,1,0,0,1600,Stade Francais Paris,3450,Section Paloise,15/02/2025,16:30,10,20,39,37,0,0,79,Stade Jean Bouin,-1,NA,16,2025,11,11,Left Wing,0,,0,,1001130,Adrien Marbot,1000619,Frederic Chazal,1000564,Jonathan Dufort,1000225,Eric Briquet-Campin,203,TOP 14,Y,W,17151,Luke Whitelock,3450,Section Paloise,6
5,943284,0,,1600,Stade Francais Paris,5.60,40.68,8,1,79,5,96,68,46,Attacking 22 Entry,646,22 Entry Outcome - Turnover,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:30:42Z,1,1,1,0,0,1600,Stade Francais Paris,3450,Section Paloise,15/02/2025,16:30,10,20,39,37,0,0,79,Stade Jean Bouin,-1,NA,16,2025,,,,0,,0,,1001130,Adrien Marbot,1000619,Frederic Chazal,1000564,Jonathan Dufort,1000225,Eric Briquet-Campin,203,TOP 14,Y,W,0,,0,,
6,943284,17151,Luke Whitelock,3450,Section Paloise,5.80,5.80,8,1,21,63,0,0,2,Tackle,146,Edge,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:30:42Z,1,1,1,0,0,1600,Stade Francais Paris,3450,Section Paloise,15/02/2025,16:30,10,20,39,37,0,0,79,Stade Jean Bouin,-1,NA,16,2025,07,7,Openside Flanker,0,,0,,1001130,Adrien Marbot,1000619,Frederic Chazal,1000564,Jonathan Dufort,1000225,Eric Briquet-Campin,203,TOP 14,N,L,29791,Samuel Ezeala,1600,Stade Francais Paris,4
7,943284,29791,Samuel Ezeala,1600,Stade Francais Paris,6.68,7.16,9,1,81,6,0,0,23,Ruck,0,,401,Won Outright,548,Over Previous Gainline,552,0-1 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,3,4,2025-02-15T15:30:43Z,1,1,1,0,0,1600,Stade Francais Paris,3450,Section Paloise,15/02/2025,16:30,10,20,39,37,0,0,79,Stade Jean Bouin,-1,NA,16,2025,11,11,Left Wing,0,,0,,1001130,Adrien Marbot,1000619,Frederic Chazal,1000564,Jonathan Dufort,1000225,Eric Briquet-Campin,203,TOP 14,Y,W,22244,Paul Gabrillagues,1600,Stade Francais Paris,10
8,943284,31088,Pierre Huguet,1600,Stade Francais Paris,6.84,6.84,9,1,81,6,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:30:43Z,1,1,1,0,0,1600,Stade Francais Paris,3450,Section Paloise,15/02/2025,16:30,10,20,39,37,0,0,79,Stade Jean Bouin,-1,NA,16,2025,06,6,Blindside Flanker,0,,0,,1001130,Adrien Marbot,1000619,Frederic Chazal,1000564,Jonathan Dufort,1000225,Eric Briquet-Campin,203,TOP 14,Y,W,0,,0,,
9,943284,22817,Sekou Macalou,1600,Stade Francais Paris,7.12,7.12,10,1,81,6,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-02-15T15:30:44Z,1,1,1,0,0,1600,Stade Francais Paris,3450,Section Paloise,15/02/2025,16:30,10,20,39,37,0,0,79,Stade Jean Bouin,-1,NA,16,2025,08,8,Number 8,0,,0,,1001130,Adrien Marbot,1000619,Frederic Chazal,1000564,Jonathan Dufort,1000225,Eric Briquet-Campin,203,TOP 14,Y,W,0,,0,,
