ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943288,435,,435,Vannes,0.00,3.80,2,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:32:19Z,0,0,0,0,0,435,Vannes,4950,Montpellier Herault Rugby,22/02/2025,16:30,27,3,37,24,0,0,245,Stade de la Rabine,-1,NA,17,2025,,,,0,,0,,1000550,Vivien Praderie,1001011,Aurelie Groizeleau,1000551,Laurent Millotte,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
1,943288,39685,Hugo Reus,4950,Montpellier Herault Rugby,0.00,3.80,2,1,49,35,78,6,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,29,42,29,0,2025-02-22T15:32:19Z,1,0,1,0,0,435,Vannes,4950,Montpellier Herault Rugby,22/02/2025,16:30,27,3,37,24,0,0,245,Stade de la Rabine,-1,NA,17,2025,10,10,Fly Half,0,,0,,1000550,Vivien Praderie,1001011,Aurelie Groizeleau,1000551,Laurent Millotte,137,Jean-Luc Rebollal,203,TOP 14,N,L,0,,0,
2,943288,33001,Simon Augry,435,Vannes,3.80,3.80,6,1,22,62,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:32:22Z,1,1,1,0,0,435,Vannes,4950,Montpellier Herault Rugby,22/02/2025,16:30,27,3,37,24,0,0,245,Stade de la Rabine,-1,NA,17,2025,06,6,Blindside Flanker,0,,0,,1000550,Vivien Praderie,1001011,Aurelie Groizeleau,1000551,Laurent Millotte,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
3,943288,0,,435,Vannes,3.80,3.80,6,1,22,62,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,37,0,0,0,2025-02-22T15:32:22Z,1,1,1,0,0,435,Vannes,4950,Montpellier Herault Rugby,22/02/2025,16:30,27,3,37,24,0,0,245,Stade de la Rabine,-1,NA,17,2025,,,,0,,0,,1000550,Vivien Praderie,1001011,Aurelie Groizeleau,1000551,Laurent Millotte,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
4,943288,33001,Simon Augry,435,Vannes,3.80,6.08,6,1,22,62,21,58,1,Carry,105,Restart Return,108,Tackled Neutral,110,Neutral Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:32:22Z,1,1,1,0,0,435,Vannes,4950,Montpellier Herault Rugby,22/02/2025,16:30,27,3,37,24,0,0,245,Stade de la Rabine,-1,NA,17,2025,06,6,Blindside Flanker,0,,0,,1000550,Vivien Praderie,1001011,Aurelie Groizeleau,1000551,Laurent Millotte,137,Jean-Luc Rebollal,203,TOP 14,Y,W,19874,Jan Serfontein,4950,Montpellier Herault Rugby
5,943288,19874,Jan Serfontein,4950,Montpellier Herault Rugby,4.72,4.72,7,1,79,7,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:32:23Z,1,1,1,0,0,435,Vannes,4950,Montpellier Herault Rugby,22/02/2025,16:30,27,3,37,24,0,0,245,Stade de la Rabine,-1,NA,17,2025,12,12,Inside Centre,0,,0,,1000550,Vivien Praderie,1001011,Aurelie Groizeleau,1000551,Laurent Millotte,137,Jean-Luc Rebollal,203,TOP 14,N,L,33001,Simon Augry,435,Vannes
6,943288,33001,Simon Augry,435,Vannes,6.08,14.52,8,1,21,58,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,667,Tight Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,0,2025-02-22T15:32:25Z,1,1,1,0,0,435,Vannes,4950,Montpellier Herault Rugby,22/02/2025,16:30,27,3,37,24,0,0,245,Stade de la Rabine,-1,NA,17,2025,06,6,Blindside Flanker,0,,0,,1000550,Vivien Praderie,1001011,Aurelie Groizeleau,1000551,Laurent Millotte,137,Jean-Luc Rebollal,203,TOP 14,Y,W,20301,Michael Ruru,435,Vannes
7,943288,38616,Thomas Moukoro,435,Vannes,9.20,9.20,11,1,21,58,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:32:20Z,1,1,1,0,0,435,Vannes,4950,Montpellier Herault Rugby,22/02/2025,16:30,27,3,37,24,0,0,245,Stade de la Rabine,-1,NA,17,2025,01,1,Loosehead Prop,0,,0,,1000550,Vivien Praderie,1001011,Aurelie Groizeleau,1000551,Laurent Millotte,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
8,943288,9185,Sione Kalamafoni,435,Vannes,11.80,11.80,14,1,21,58,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:32:23Z,1,1,1,0,0,435,Vannes,4950,Montpellier Herault Rugby,22/02/2025,16:30,27,3,37,24,0,0,245,Stade de la Rabine,-1,NA,17,2025,08,8,Number 8,0,,0,,1000550,Vivien Praderie,1001011,Aurelie Groizeleau,1000551,Laurent Millotte,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
9,943288,19466,Fabrice Metz,435,Vannes,11.84,11.84,14,1,21,58,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:32:23Z,1,1,1,0,0,435,Vannes,4950,Montpellier Herault Rugby,22/02/2025,16:30,27,3,37,24,0,0,245,Stade de la Rabine,-1,NA,17,2025,05,5,Lock (5),0,,0,,1000550,Vivien Praderie,1001011,Aurelie Groizeleau,1000551,Laurent Millotte,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
