ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943290,47,,47,Stade Rochelais,0.00,3.68,1,1,49,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:30:56Z,0,0,0,0,0,47,Stade Rochelais,41,Racing 92,22/02/2025,16:30,0,10,21,26,0,0,211,Stade Marcel-Deflandre,-1,NA,17,2025,,,,0,,0,,1000946,Benoit Rousselet,1000838,Thomas Chereque,1000908,Walter Prache,192,Philippe Bonhoure,203,TOP 14,Y,L,0,,0,
1,943290,24976,Tristan Tedder,41,Racing 92,0.00,3.68,1,1,49,33,77,18,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,28,32,16,0,2025-02-22T15:30:56Z,1,0,1,0,0,47,Stade Rochelais,41,Racing 92,22/02/2025,16:30,0,10,21,26,0,0,211,Stade Marcel-Deflandre,-1,NA,17,2025,10,10,Fly Half,0,,0,,1000946,Benoit Rousselet,1000838,Thomas Chereque,1000908,Walter Prache,192,Philippe Bonhoure,203,TOP 14,N,W,0,,0,
2,943290,34687,Matthias Haddad,47,Stade Rochelais,3.68,3.68,4,1,23,50,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:31:00Z,1,1,1,0,0,47,Stade Rochelais,41,Racing 92,22/02/2025,16:30,0,10,21,26,0,0,211,Stade Marcel-Deflandre,-1,NA,17,2025,08,8,Number 8,0,,0,,1000946,Benoit Rousselet,1000838,Thomas Chereque,1000908,Walter Prache,192,Philippe Bonhoure,203,TOP 14,Y,L,0,,0,
3,943290,34687,Matthias Haddad,47,Stade Rochelais,3.68,5.56,4,1,23,50,24,51,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,0,0,2025-02-22T15:31:00Z,1,1,1,0,0,47,Stade Rochelais,41,Racing 92,22/02/2025,16:30,0,10,21,26,0,0,211,Stade Marcel-Deflandre,-1,NA,17,2025,08,8,Number 8,0,,0,,1000946,Benoit Rousselet,1000838,Thomas Chereque,1000908,Walter Prache,192,Philippe Bonhoure,203,TOP 14,Y,L,61287,Shingarai Manyarara,41,Racing 92
4,943290,61287,Shingarai Manyarara,41,Racing 92,4.48,4.48,5,1,77,19,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:31:00Z,1,1,1,0,0,47,Stade Rochelais,41,Racing 92,22/02/2025,16:30,0,10,21,26,0,0,211,Stade Marcel-Deflandre,-1,NA,17,2025,07,7,Openside Flanker,0,,0,,1000946,Benoit Rousselet,1000838,Thomas Chereque,1000908,Walter Prache,192,Philippe Bonhoure,203,TOP 14,N,W,34687,Matthias Haddad,47,Stade Rochelais
5,943290,34687,Matthias Haddad,47,Stade Rochelais,5.56,11.88,6,1,24,51,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:31:01Z,1,1,1,0,0,47,Stade Rochelais,41,Racing 92,22/02/2025,16:30,0,10,21,26,0,0,211,Stade Marcel-Deflandre,-1,NA,17,2025,08,8,Number 8,0,,0,,1000946,Benoit Rousselet,1000838,Thomas Chereque,1000908,Walter Prache,192,Philippe Bonhoure,203,TOP 14,Y,L,17155,Tawera Kerr-Barlow,47,Stade Rochelais
6,943290,20267,Teddy Thomas,47,Stade Rochelais,5.80,5.80,6,1,24,51,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:30:55Z,1,1,1,0,0,47,Stade Rochelais,41,Racing 92,22/02/2025,16:30,0,10,21,26,0,0,211,Stade Marcel-Deflandre,-1,NA,17,2025,13,13,Outside Centre,0,,0,,1000946,Benoit Rousselet,1000838,Thomas Chereque,1000908,Walter Prache,192,Philippe Bonhoure,203,TOP 14,Y,L,0,,0,
7,943290,20593,Will Skelton,47,Stade Rochelais,6.88,6.88,7,1,24,51,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:30:56Z,1,1,1,0,0,47,Stade Rochelais,41,Racing 92,22/02/2025,16:30,0,10,21,26,0,0,211,Stade Marcel-Deflandre,-1,NA,17,2025,05,5,Lock (5),0,,0,,1000946,Benoit Rousselet,1000838,Thomas Chereque,1000908,Walter Prache,192,Philippe Bonhoure,203,TOP 14,Y,L,0,,0,
8,943290,62383,Lucas Andjisseramatchi,47,Stade Rochelais,7.48,7.48,8,1,24,51,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:30:57Z,1,1,1,0,0,47,Stade Rochelais,41,Racing 92,22/02/2025,16:30,0,10,21,26,0,0,211,Stade Marcel-Deflandre,-1,NA,17,2025,07,7,Openside Flanker,0,,0,,1000946,Benoit Rousselet,1000838,Thomas Chereque,1000908,Walter Prache,192,Philippe Bonhoure,203,TOP 14,Y,L,0,,0,
9,943290,27075,Joel Sclavi,47,Stade Rochelais,8.76,8.76,9,1,24,51,0,0,43,Ruck OOA,575,Attended,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,4,0,,0,,0,,0,,0,,0,0,0,0,2025-02-22T15:30:58Z,1,1,1,0,0,47,Stade Rochelais,41,Racing 92,22/02/2025,16:30,0,10,21,26,0,0,211,Stade Marcel-Deflandre,-1,NA,17,2025,03,3,Tighthead Prop,0,,0,,1000946,Benoit Rousselet,1000838,Thomas Chereque,1000908,Walter Prache,192,Philippe Bonhoure,203,TOP 14,Y,L,0,,0,
