ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943293,4850,,4850,Bayonne,0.00,4.00,0,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-02T20:08:06Z,0,0,0,0,0,4850,Bayonne,2250,ASM Clermont Auvergne,02/03/2025,21:05,18,6,31,18,0,0,150,Stade Jean Dauger,-1,NA,18,2025,,,,0,,0,,1000565,Luc Ramos,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,
1,943293,31724,Joris Segonds,4850,Bayonne,0.00,4.00,0,1,50,33,92,60,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,42,50,28,0,2025-03-02T20:08:06Z,1,0,1,0,0,4850,Bayonne,2250,ASM Clermont Auvergne,02/03/2025,21:05,18,6,31,18,0,0,150,Stade Jean Dauger,-1,NA,18,2025,10,10,Fly Half,0,,0,,1000565,Luc Ramos,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,
2,943293,22265,Folau Fainga'a,2250,ASM Clermont Auvergne,4.00,4.00,4,1,8,8,0,0,18,Collection,275,Restart Catch,278,Fail,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-02T20:08:10Z,1,0,1,0,0,4850,Bayonne,2250,ASM Clermont Auvergne,02/03/2025,21:05,18,6,31,18,0,0,150,Stade Jean Dauger,-1,NA,18,2025,02,2,Hooker,0,,0,,1000565,Luc Ramos,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,
3,943293,22265,Folau Fainga'a,2250,ASM Clermont Auvergne,5.12,5.12,5,1,11,13,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-02T20:08:11Z,1,1,1,0,0,4850,Bayonne,2250,ASM Clermont Auvergne,02/03/2025,21:05,18,6,31,18,0,0,150,Stade Jean Dauger,-1,NA,18,2025,02,2,Hooker,0,,0,,1000565,Luc Ramos,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,
4,943293,0,,2250,ASM Clermont Auvergne,5.12,5.12,5,1,11,13,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,34,0,0,0,2025-03-02T20:08:11Z,1,1,1,0,0,4850,Bayonne,2250,ASM Clermont Auvergne,02/03/2025,21:05,18,6,31,18,0,0,150,Stade Jean Dauger,-1,NA,18,2025,,,,0,,0,,1000565,Luc Ramos,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,
5,943293,22265,Folau Fainga'a,2250,ASM Clermont Auvergne,5.12,6.04,5,1,11,13,11,16,1,Carry,105,Restart Return,409,Tackled Ineffective,109,Crossed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,0,0,2025-03-02T20:08:11Z,1,1,1,0,0,4850,Bayonne,2250,ASM Clermont Auvergne,02/03/2025,21:05,18,6,31,18,0,0,150,Stade Jean Dauger,-1,NA,18,2025,02,2,Hooker,0,,0,,1000565,Luc Ramos,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,39354,Esteban Capilla,4850,Bayonne
6,943293,39354,Esteban Capilla,4850,Bayonne,6.00,6.00,6,1,89,55,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-03-02T20:08:12Z,1,1,1,0,0,4850,Bayonne,2250,ASM Clermont Auvergne,02/03/2025,21:05,18,6,31,18,0,0,150,Stade Jean Dauger,-1,NA,18,2025,07,7,Openside Flanker,0,,0,,1000565,Luc Ramos,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,Y,W,22265,Folau Fainga'a,2250,ASM Clermont Auvergne
7,943293,22265,Folau Fainga'a,2250,ASM Clermont Auvergne,6.04,17.52,6,1,11,16,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,669,Tight Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-03-02T20:08:12Z,1,1,1,0,0,4850,Bayonne,2250,ASM Clermont Auvergne,02/03/2025,21:05,18,6,31,18,0,0,150,Stade Jean Dauger,-1,NA,18,2025,02,2,Hooker,0,,0,,1000565,Luc Ramos,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,N,L,20320,Sebastien Bezy,2250,ASM Clermont Auvergne
8,943293,22375,Facundo Bosch,4850,Bayonne,7.44,7.44,7,1,89,52,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-03-02T20:08:02Z,1,1,1,0,0,4850,Bayonne,2250,ASM Clermont Auvergne,02/03/2025,21:05,18,6,31,18,0,0,150,Stade Jean Dauger,-1,NA,18,2025,02,2,Hooker,0,,0,,1000565,Luc Ramos,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,
9,943293,21582,Arthur Iturria,4850,Bayonne,8.28,8.28,8,1,89,52,0,0,43,Ruck OOA,577,Not Clearing,584,Own Team 2nd Entry,604,OOA Entry 2nd Entry- Def,633,Defensive OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-03-02T20:08:03Z,1,1,1,0,0,4850,Bayonne,2250,ASM Clermont Auvergne,02/03/2025,21:05,18,6,31,18,0,0,150,Stade Jean Dauger,-1,NA,18,2025,04,4,Lock (4),0,,0,,1000565,Luc Ramos,1001250,Benoit Albert,1000550,Vivien Praderie,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,
