ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943301,45,,45,Lyon,0.00,3.20,0,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:31:58Z,0,0,0,0,0,45,Lyon,435,Vannes,22/03/2025,16:30,19,14,36,21,0,0,7,Matmut Stadium de Gerland,-1,NA,19,2025,,,,0,,0,,1001423,Kevin Bralley,1000572,Thierry Mallet,1001130,Adrien Marbot,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
1,943301,28272,Leo Berdeu,45,Lyon,0.00,3.20,0,1,50,33,81,56,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,31,39,24,0,2025-03-22T15:31:58Z,1,0,1,0,0,45,Lyon,435,Vannes,22/03/2025,16:30,19,14,36,21,0,0,7,Matmut Stadium de Gerland,-1,NA,19,2025,10,10,Fly Half,0,,0,,1001423,Kevin Bralley,1000572,Thierry Mallet,1001130,Adrien Marbot,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
2,943301,27072,Salesi Rayasi,435,Vannes,3.20,3.20,3,1,19,12,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:32:02Z,1,1,1,0,0,45,Lyon,435,Vannes,22/03/2025,16:30,19,14,36,21,0,0,7,Matmut Stadium de Gerland,-1,NA,19,2025,14,14,Right Wing,0,,0,,1001423,Kevin Bralley,1000572,Thierry Mallet,1001130,Adrien Marbot,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,
3,943301,0,,435,Vannes,3.20,3.20,3,1,19,12,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,38,0,0,0,2025-03-22T15:32:02Z,1,1,1,0,0,45,Lyon,435,Vannes,22/03/2025,16:30,19,14,36,21,0,0,7,Matmut Stadium de Gerland,-1,NA,19,2025,,,,0,,0,,1001423,Kevin Bralley,1000572,Thierry Mallet,1001130,Adrien Marbot,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,
4,943301,27072,Salesi Rayasi,435,Vannes,4.32,4.64,4,1,21,12,17,17,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,4,6,4,0,2025-03-22T15:32:03Z,1,1,1,0,0,45,Lyon,435,Vannes,22/03/2025,16:30,19,14,36,21,0,0,7,Matmut Stadium de Gerland,-1,NA,19,2025,14,14,Right Wing,0,,0,,1001423,Kevin Bralley,1000572,Thierry Mallet,1001130,Adrien Marbot,1000193,Denis Grenouillet,203,TOP 14,N,L,9185,Sione Kalamafoni,435,Vannes
5,943301,9185,Sione Kalamafoni,435,Vannes,4.64,4.64,5,1,17,17,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:32:03Z,1,1,1,0,0,45,Lyon,435,Vannes,22/03/2025,16:30,19,14,36,21,0,0,7,Matmut Stadium de Gerland,-1,NA,19,2025,08,8,Number 8,0,,0,,1001423,Kevin Bralley,1000572,Thierry Mallet,1001130,Adrien Marbot,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,
6,943301,9185,Sione Kalamafoni,435,Vannes,4.64,7.20,5,1,17,17,25,16,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,4,8,2,2,2025-03-22T15:32:03Z,1,1,1,0,0,45,Lyon,435,Vannes,22/03/2025,16:30,19,14,36,21,0,0,7,Matmut Stadium de Gerland,-1,NA,19,2025,08,8,Number 8,0,,0,,1001423,Kevin Bralley,1000572,Thierry Mallet,1001130,Adrien Marbot,1000193,Denis Grenouillet,203,TOP 14,N,L,23308,Cedate Gomes Sa,45,Lyon
7,943301,23308,Cedate Gomes Sa,45,Lyon,5.32,5.32,5,1,77,52,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:32:04Z,1,1,1,0,0,45,Lyon,435,Vannes,22/03/2025,16:30,19,14,36,21,0,0,7,Matmut Stadium de Gerland,-1,NA,19,2025,03,3,Tighthead Prop,0,,0,,1001423,Kevin Bralley,1000572,Thierry Mallet,1001130,Adrien Marbot,1000193,Denis Grenouillet,203,TOP 14,Y,W,9185,Sione Kalamafoni,435,Vannes
8,943301,21584,Felix Lambey,45,Lyon,5.44,5.44,5,1,77,52,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:32:04Z,1,1,1,0,0,45,Lyon,435,Vannes,22/03/2025,16:30,19,14,36,21,0,0,7,Matmut Stadium de Gerland,-1,NA,19,2025,04,4,Lock (4),0,,0,,1001423,Kevin Bralley,1000572,Thierry Mallet,1001130,Adrien Marbot,1000193,Denis Grenouillet,203,TOP 14,Y,W,9185,Sione Kalamafoni,435,Vannes
9,943301,9185,Sione Kalamafoni,435,Vannes,7.20,14.32,7,1,25,16,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,668,Tight Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:32:06Z,1,1,1,0,0,45,Lyon,435,Vannes,22/03/2025,16:30,19,14,36,21,0,0,7,Matmut Stadium de Gerland,-1,NA,19,2025,08,8,Number 8,0,,0,,1001423,Kevin Bralley,1000572,Thierry Mallet,1001130,Adrien Marbot,1000193,Denis Grenouillet,203,TOP 14,N,L,20301,Michael Ruru,435,Vannes
