ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,943304,1600,,1600,Stade Francais Paris,0.00,5.16,0,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:30:50Z,0,0,0,0,0,1600,Stade Francais Paris,4850,Bayonne,22/03/2025,16:30,18,17,31,27,0,0,79,Stade Jean Bouin,-1,NA,19,2025,,,,0,,0,,1000438,Tual Trainini,1001258,Pierre Bru,1001211,Stephane Crapoix,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
1,943304,31724,Joris Segonds,4850,Bayonne,0.00,5.16,0,1,49,34,85,7,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,37,46,27,0,2025-03-22T15:30:50Z,1,0,1,0,0,1600,Stade Francais Paris,4850,Bayonne,22/03/2025,16:30,18,17,31,27,0,0,79,Stade Jean Bouin,-1,NA,19,2025,10,10,Fly Half,0,,0,,1000438,Tual Trainini,1001258,Pierre Bru,1001211,Stephane Crapoix,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
2,943304,30219,Julien Delbouis,1600,Stade Francais Paris,5.16,5.16,5,1,15,61,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:30:55Z,1,1,1,0,0,1600,Stade Francais Paris,4850,Bayonne,22/03/2025,16:30,18,17,31,27,0,0,79,Stade Jean Bouin,-1,NA,19,2025,12,12,Inside Centre,0,,0,,1000438,Tual Trainini,1001258,Pierre Bru,1001211,Stephane Crapoix,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
3,943304,0,,1600,Stade Francais Paris,5.16,5.16,5,1,15,61,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,0,0,0,2025-03-22T15:30:55Z,1,1,1,0,0,1600,Stade Francais Paris,4850,Bayonne,22/03/2025,16:30,18,17,31,27,0,0,79,Stade Jean Bouin,-1,NA,19,2025,,,,0,,0,,1000438,Tual Trainini,1001258,Pierre Bru,1001211,Stephane Crapoix,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
4,943304,30219,Julien Delbouis,1600,Stade Francais Paris,5.16,7.36,5,1,15,61,18,54,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,2,2,2025-03-22T15:30:55Z,1,1,1,0,0,1600,Stade Francais Paris,4850,Bayonne,22/03/2025,16:30,18,17,31,27,0,0,79,Stade Jean Bouin,-1,NA,19,2025,12,12,Inside Centre,0,,0,,1000438,Tual Trainini,1001258,Pierre Bru,1001211,Stephane Crapoix,192,Philippe Bonhoure,203,TOP 14,Y,W,21582,Arthur Iturria,4850,Bayonne,8
5,943304,30911,Mateo Carreras,4850,Bayonne,6.28,6.28,6,1,85,10,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:30:57Z,1,1,1,0,0,1600,Stade Francais Paris,4850,Bayonne,22/03/2025,16:30,18,17,31,27,0,0,79,Stade Jean Bouin,-1,NA,19,2025,11,11,Left Wing,0,,0,,1000438,Tual Trainini,1001258,Pierre Bru,1001211,Stephane Crapoix,192,Philippe Bonhoure,203,TOP 14,N,L,30219,Julien Delbouis,1600,Stade Francais Paris,4
6,943304,30911,Mateo Carreras,4850,Bayonne,6.28,6.28,6,1,85,10,0,0,12,Missed Tackle,163,Stepped,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:30:57Z,1,1,1,0,0,1600,Stade Francais Paris,4850,Bayonne,22/03/2025,16:30,18,17,31,27,0,0,79,Stade Jean Bouin,-1,NA,19,2025,11,11,Left Wing,0,,0,,1000438,Tual Trainini,1001258,Pierre Bru,1001211,Stephane Crapoix,192,Philippe Bonhoure,203,TOP 14,N,L,30219,Julien Delbouis,1600,Stade Francais Paris,4
7,943304,30219,Julien Delbouis,1600,Stade Francais Paris,6.40,6.40,6,1,16,58,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:30:56Z,1,1,1,0,0,1600,Stade Francais Paris,4850,Bayonne,22/03/2025,16:30,18,17,31,27,0,0,79,Stade Jean Bouin,-1,NA,19,2025,12,12,Inside Centre,0,,0,,1000438,Tual Trainini,1001258,Pierre Bru,1001211,Stephane Crapoix,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
8,943304,21582,Arthur Iturria,4850,Bayonne,6.88,6.88,7,1,84,13,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-03-22T15:30:57Z,1,1,1,0,0,1600,Stade Francais Paris,4850,Bayonne,22/03/2025,16:30,18,17,31,27,0,0,79,Stade Jean Bouin,-1,NA,19,2025,04,4,Lock (4),0,,0,,1000438,Tual Trainini,1001258,Pierre Bru,1001211,Stephane Crapoix,192,Philippe Bonhoure,203,TOP 14,N,L,30219,Julien Delbouis,1600,Stade Francais Paris,4
9,943304,30219,Julien Delbouis,1600,Stade Francais Paris,7.36,16.52,7,1,18,54,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,670,Tight Right Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,1,2025-03-22T15:30:58Z,1,1,1,0,0,1600,Stade Francais Paris,4850,Bayonne,22/03/2025,16:30,18,17,31,27,0,0,79,Stade Jean Bouin,-1,NA,19,2025,12,12,Inside Centre,0,,0,,1000438,Tual Trainini,1001258,Pierre Bru,1001211,Stephane Crapoix,192,Philippe Bonhoure,203,TOP 14,Y,W,23837,Paul Abadie,1600,Stade Francais Paris,16
