ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943310,4950,,4950,Montpellier Herault Rugby,0.00,3.40,0,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-29T15:30:29Z,0,0,0,0,0,4950,Montpellier Herault Rugby,1600,Stade Francais Paris,29/03/2025,16:30,3,22,38,32,0,0,131,GGL Stadium,-1,NA,20,2025,,,,0,,0,,1000946,Benoit Rousselet,1001471,Cyrille Boulay,1000572,Thierry Mallet,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
1,943310,29429,Louis Carbonel,1600,Stade Francais Paris,0.00,3.40,0,1,50,35,74,38,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,754,Kicked Straight,0,,0,,0,,0,,0,,0,,24,24,3,0,2025-03-29T15:30:29Z,1,0,1,0,0,4950,Montpellier Herault Rugby,1600,Stade Francais Paris,29/03/2025,16:30,3,22,38,32,0,0,131,GGL Stadium,-1,NA,20,2025,10,10,Fly Half,0,,0,,1000946,Benoit Rousselet,1001471,Cyrille Boulay,1000572,Thierry Mallet,137,Jean-Luc Rebollal,203,TOP 14,N,L,0,,0,
2,943310,20507,Yacouba Camara,4950,Montpellier Herault Rugby,3.40,3.40,3,1,27,30,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-29T15:30:33Z,1,1,1,0,0,4950,Montpellier Herault Rugby,1600,Stade Francais Paris,29/03/2025,16:30,3,22,38,32,0,0,131,GGL Stadium,-1,NA,20,2025,06,6,Blindside Flanker,0,,0,,1000946,Benoit Rousselet,1001471,Cyrille Boulay,1000572,Thierry Mallet,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
3,943310,20507,Yacouba Camara,4950,Montpellier Herault Rugby,3.40,5.12,3,1,27,30,23,26,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2025-03-29T15:30:33Z,1,1,1,0,0,4950,Montpellier Herault Rugby,1600,Stade Francais Paris,29/03/2025,16:30,3,22,38,32,0,0,131,GGL Stadium,-1,NA,20,2025,06,6,Blindside Flanker,0,,0,,1000946,Benoit Rousselet,1001471,Cyrille Boulay,1000572,Thierry Mallet,137,Jean-Luc Rebollal,203,TOP 14,Y,W,57351,Charles Laloi,1600,Stade Francais Paris
4,943310,57351,Charles Laloi,1600,Stade Francais Paris,4.24,4.24,4,1,74,38,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-03-29T15:30:33Z,1,1,1,0,0,4950,Montpellier Herault Rugby,1600,Stade Francais Paris,29/03/2025,16:30,3,22,38,32,0,0,131,GGL Stadium,-1,NA,20,2025,14,14,Right Wing,0,,0,,1000946,Benoit Rousselet,1001471,Cyrille Boulay,1000572,Thierry Mallet,137,Jean-Luc Rebollal,203,TOP 14,N,L,20507,Yacouba Camara,4950,Montpellier Herault Rugby
5,943310,20507,Yacouba Camara,4950,Montpellier Herault Rugby,5.12,10.48,5,1,23,26,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,7,2025-03-29T15:30:34Z,1,1,1,0,0,4950,Montpellier Herault Rugby,1600,Stade Francais Paris,29/03/2025,16:30,3,22,38,32,0,0,131,GGL Stadium,-1,NA,20,2025,06,6,Blindside Flanker,0,,0,,1000946,Benoit Rousselet,1001471,Cyrille Boulay,1000572,Thierry Mallet,137,Jean-Luc Rebollal,203,TOP 14,Y,W,33647,Leo Coly,4950,Montpellier Herault Rugby
6,943310,37265,Baptiste Erdocio,4950,Montpellier Herault Rugby,8.04,8.04,8,1,23,26,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-03-29T15:30:37Z,1,1,1,0,0,4950,Montpellier Herault Rugby,1600,Stade Francais Paris,29/03/2025,16:30,3,22,38,32,0,0,131,GGL Stadium,-1,NA,20,2025,01,1,Loosehead Prop,0,,0,,1000946,Benoit Rousselet,1001471,Cyrille Boulay,1000572,Thierry Mallet,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
7,943310,31448,Wilfrid Hounkpatin,4950,Montpellier Herault Rugby,8.36,8.36,8,1,23,26,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-03-29T15:30:37Z,1,1,1,0,0,4950,Montpellier Herault Rugby,1600,Stade Francais Paris,29/03/2025,16:30,3,22,38,32,0,0,131,GGL Stadium,-1,NA,20,2025,03,3,Tighthead Prop,0,,0,,1000946,Benoit Rousselet,1001471,Cyrille Boulay,1000572,Thierry Mallet,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
8,943310,33647,Leo Coly,4950,Montpellier Herault Rugby,10.48,10.48,10,1,21,26,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-29T15:30:40Z,2,1,1,0,0,4950,Montpellier Herault Rugby,1600,Stade Francais Paris,29/03/2025,16:30,3,22,38,32,0,0,131,GGL Stadium,-1,NA,20,2025,09,9,Scrum Half,0,,0,,1000946,Benoit Rousselet,1001471,Cyrille Boulay,1000572,Thierry Mallet,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
9,943310,0,,4950,Montpellier Herault Rugby,10.48,10.48,10,1,21,26,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,0,0,0,2025-03-29T15:30:40Z,2,1,1,0,0,4950,Montpellier Herault Rugby,1600,Stade Francais Paris,29/03/2025,16:30,3,22,38,32,0,0,131,GGL Stadium,-1,NA,20,2025,,,,0,,0,,1000946,Benoit Rousselet,1001471,Cyrille Boulay,1000572,Thierry Mallet,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,
