ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943334,1650,,1650,USAP,0.00,4.12,2,1,49,37,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-10T14:31:30Z,0,0,0,0,0,1650,USAP,1600,Stade Francais Paris,10/05/2025,16:30,3,10,20,18,0,0,77,Stade Aime Giral,-1,NA,23,2025,,,,0,,0,,1000545,Pierre Brousset,1000328,Stephane Boyer,1000564,Jonathan Dufort,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
1,943334,31874,Zack Henry,1600,Stade Francais Paris,0.00,4.12,2,1,49,37,87,6,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,38,50,32,0,2025-05-10T14:31:30Z,1,0,1,0,0,1650,USAP,1600,Stade Francais Paris,10/05/2025,16:30,3,10,20,18,0,0,77,Stade Aime Giral,-1,NA,23,2025,10,10,Fly Half,0,,0,,1000545,Pierre Brousset,1000328,Stephane Boyer,1000564,Jonathan Dufort,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,
2,943334,33129,Alivereti Duguivalu,1650,USAP,4.12,4.12,6,1,13,62,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-10T14:31:34Z,1,1,1,0,0,1650,USAP,1600,Stade Francais Paris,10/05/2025,16:30,3,10,20,18,0,0,77,Stade Aime Giral,-1,NA,23,2025,11,11,Left Wing,0,,0,,1000545,Pierre Brousset,1000328,Stephane Boyer,1000564,Jonathan Dufort,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
3,943334,0,,1650,USAP,4.12,4.12,6,1,13,62,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,32,0,0,0,2025-05-10T14:31:34Z,1,1,1,0,0,1650,USAP,1600,Stade Francais Paris,10/05/2025,16:30,3,10,20,18,0,0,77,Stade Aime Giral,-1,NA,23,2025,,,,0,,0,,1000545,Pierre Brousset,1000328,Stephane Boyer,1000564,Jonathan Dufort,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
4,943334,33129,Alivereti Duguivalu,1650,USAP,5.12,6.40,7,1,14,63,13,56,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,7,7,0,0,2025-05-10T14:31:35Z,1,1,1,0,0,1650,USAP,1600,Stade Francais Paris,10/05/2025,16:30,3,10,20,18,0,0,77,Stade Aime Giral,-1,NA,23,2025,11,11,Left Wing,0,,0,,1000545,Pierre Brousset,1000328,Stephane Boyer,1000564,Jonathan Dufort,1000193,Denis Grenouillet,203,TOP 14,Y,W,35691,Lucas Velarte,1650,USAP
5,943334,35691,Lucas Velarte,1650,USAP,6.40,6.40,8,1,13,56,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-10T14:31:37Z,1,1,1,0,0,1650,USAP,1600,Stade Francais Paris,10/05/2025,16:30,3,10,20,18,0,0,77,Stade Aime Giral,-1,NA,23,2025,08,8,Number 8,0,,0,,1000545,Pierre Brousset,1000328,Stephane Boyer,1000564,Jonathan Dufort,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,
6,943334,35691,Lucas Velarte,1650,USAP,6.40,7.12,8,1,13,56,19,55,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,5,5,3,3,2025-05-10T14:31:37Z,1,1,1,0,0,1650,USAP,1600,Stade Francais Paris,10/05/2025,16:30,3,10,20,18,0,0,77,Stade Aime Giral,-1,NA,23,2025,08,8,Number 8,0,,0,,1000545,Pierre Brousset,1000328,Stephane Boyer,1000564,Jonathan Dufort,1000193,Denis Grenouillet,203,TOP 14,Y,W,31386,Romain Briatte,1600,Stade Francais Paris
7,943334,31386,Romain Briatte,1600,Stade Francais Paris,6.48,6.48,8,1,84,12,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-10T14:31:36Z,1,1,1,0,0,1650,USAP,1600,Stade Francais Paris,10/05/2025,16:30,3,10,20,18,0,0,77,Stade Aime Giral,-1,NA,23,2025,07,7,Openside Flanker,0,,0,,1000545,Pierre Brousset,1000328,Stephane Boyer,1000564,Jonathan Dufort,1000193,Denis Grenouillet,203,TOP 14,N,L,35691,Lucas Velarte,1650,USAP
8,943334,22244,Paul Gabrillagues,1600,Stade Francais Paris,6.72,6.72,8,1,84,12,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-05-10T14:31:37Z,1,1,1,0,0,1650,USAP,1600,Stade Francais Paris,10/05/2025,16:30,3,10,20,18,0,0,77,Stade Aime Giral,-1,NA,23,2025,04,4,Lock (4),0,,0,,1000545,Pierre Brousset,1000328,Stephane Boyer,1000564,Jonathan Dufort,1000193,Denis Grenouillet,203,TOP 14,N,L,35691,Lucas Velarte,1650,USAP
9,943334,35691,Lucas Velarte,1650,USAP,7.12,16.64,9,1,19,55,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-05-10T14:31:37Z,1,1,1,0,0,1650,USAP,1600,Stade Francais Paris,10/05/2025,16:30,3,10,20,18,0,0,77,Stade Aime Giral,-1,NA,23,2025,08,8,Number 8,0,,0,,1000545,Pierre Brousset,1000328,Stephane Boyer,1000564,Jonathan Dufort,1000193,Denis Grenouillet,203,TOP 14,Y,W,24449,James Hall,1650,USAP
