ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,943350,45,,45,Lyon,0.00,3.20,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-06-07T19:05:20Z,0,0,0,0,0,45,Lyon,41,Racing 92,07/06/2025,21:05,24,14,34,47,0,0,7,Matmut Stadium de Gerland,-1,NA,26,2025,,,,0,,0,,1000946,Benoit Rousselet,1001530,Anthony Lac,1000551,Laurent Millotte,197,Cedric Marchat,203,TOP 14,Y,L,0,,0,
1,943350,28272,Leo Berdeu,45,Lyon,0.00,3.20,1,1,50,34,80,51,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,30,35,18,0,2025-06-07T19:05:20Z,1,0,1,0,0,45,Lyon,41,Racing 92,07/06/2025,21:05,24,14,34,47,0,0,7,Matmut Stadium de Gerland,-1,NA,26,2025,10,10,Fly Half,0,,0,,1000946,Benoit Rousselet,1001530,Anthony Lac,1000551,Laurent Millotte,197,Cedric Marchat,203,TOP 14,Y,L,0,,0,
2,943350,38611,Maxime Baudonne,41,Racing 92,3.20,3.20,5,1,20,17,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-06-07T19:05:23Z,1,1,1,0,0,45,Lyon,41,Racing 92,07/06/2025,21:05,24,14,34,47,0,0,7,Matmut Stadium de Gerland,-1,NA,26,2025,08,8,Number 8,0,,0,,1000946,Benoit Rousselet,1001530,Anthony Lac,1000551,Laurent Millotte,197,Cedric Marchat,203,TOP 14,N,W,0,,0,
3,943350,0,,41,Racing 92,3.20,3.20,5,1,20,17,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,34,0,0,0,2025-06-07T19:05:23Z,1,1,1,0,0,45,Lyon,41,Racing 92,07/06/2025,21:05,24,14,34,47,0,0,7,Matmut Stadium de Gerland,-1,NA,26,2025,,,,0,,0,,1000946,Benoit Rousselet,1001530,Anthony Lac,1000551,Laurent Millotte,197,Cedric Marchat,203,TOP 14,N,W,0,,0,
4,943350,38611,Maxime Baudonne,41,Racing 92,3.20,5.92,5,1,20,17,27,23,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,7,7,1,1,2025-06-07T19:05:23Z,1,1,1,0,0,45,Lyon,41,Racing 92,07/06/2025,21:05,24,14,34,47,0,0,7,Matmut Stadium de Gerland,-1,NA,26,2025,08,8,Number 8,0,,0,,1000946,Benoit Rousselet,1001530,Anthony Lac,1000551,Laurent Millotte,197,Cedric Marchat,203,TOP 14,N,W,36858,Theo William,45,Lyon
5,943350,36858,Theo William,45,Lyon,5.24,5.24,7,1,75,45,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-06-07T19:05:25Z,1,1,1,0,0,45,Lyon,41,Racing 92,07/06/2025,21:05,24,14,34,47,0,0,7,Matmut Stadium de Gerland,-1,NA,26,2025,07,7,Openside Flanker,0,,0,,1000946,Benoit Rousselet,1001530,Anthony Lac,1000551,Laurent Millotte,197,Cedric Marchat,203,TOP 14,Y,L,38611,Maxime Baudonne,41,Racing 92
6,943350,36653,Mickael Guillard,45,Lyon,5.40,5.40,7,1,75,45,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-06-07T19:05:25Z,1,1,1,0,0,45,Lyon,41,Racing 92,07/06/2025,21:05,24,14,34,47,0,0,7,Matmut Stadium de Gerland,-1,NA,26,2025,05,5,Lock (5),0,,0,,1000946,Benoit Rousselet,1001530,Anthony Lac,1000551,Laurent Millotte,197,Cedric Marchat,203,TOP 14,Y,L,38611,Maxime Baudonne,41,Racing 92
7,943350,38611,Maxime Baudonne,41,Racing 92,5.92,14.72,7,1,27,23,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,668,Tight Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,1,2025-06-07T19:05:26Z,1,1,1,0,0,45,Lyon,41,Racing 92,07/06/2025,21:05,24,14,34,47,0,0,7,Matmut Stadium de Gerland,-1,NA,26,2025,08,8,Number 8,0,,0,,1000946,Benoit Rousselet,1001530,Anthony Lac,1000551,Laurent Millotte,197,Cedric Marchat,203,TOP 14,N,W,60714,Kleo Labarbe,41,Racing 92
8,943350,28295,Guram Gogichashvili,41,Racing 92,8.52,8.52,10,1,27,23,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-06-07T19:05:20Z,1,1,1,0,0,45,Lyon,41,Racing 92,07/06/2025,21:05,24,14,34,47,0,0,7,Matmut Stadium de Gerland,-1,NA,26,2025,01,1,Loosehead Prop,0,,0,,1000946,Benoit Rousselet,1001530,Anthony Lac,1000551,Laurent Millotte,197,Cedric Marchat,203,TOP 14,N,W,0,,0,
9,943350,64492,Soumaila Camara,41,Racing 92,8.84,8.84,10,1,27,23,0,0,43,Ruck OOA,572,Cleaned Out,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-06-07T19:05:20Z,1,1,1,0,0,45,Lyon,41,Racing 92,07/06/2025,21:05,24,14,34,47,0,0,7,Matmut Stadium de Gerland,-1,NA,26,2025,06,6,Blindside Flanker,0,,0,,1000946,Benoit Rousselet,1001530,Anthony Lac,1000551,Laurent Millotte,197,Cedric Marchat,203,TOP 14,N,W,0,,0,
