ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945072,5204,,5204,Kubota Spears,0.00,3.84,3,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-01-18T03:00:29Z,0,0,0,0,0,5204,Kubota Spears,5208,BlackRams Tokyo,18/01/2025,12:00,11,15,26,18,0,0,729,Edogawa Stadium,-1,NA,5,2025,,,,0,,0,,1001473,Takehito Namekawa,1000631,Teruhisa Kajiwara,1001115,Kohei Osawa,1001819,Kazuhito Taniguchi,421,Japan Rugby League One D1,Y,W,0,,0,
1,945072,19015,Bernard Foley,5204,Kubota Spears,0.00,3.84,3,1,49,34,76,9,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,0,,0,,0,,0,,0,,0,,27,37,25,0,2025-01-18T03:00:29Z,1,0,1,0,0,5204,Kubota Spears,5208,BlackRams Tokyo,18/01/2025,12:00,11,15,26,18,0,0,729,Edogawa Stadium,-1,NA,5,2025,10,10,Fly Half,0,,0,,1001473,Takehito Namekawa,1000631,Teruhisa Kajiwara,1001115,Kohei Osawa,1001819,Kazuhito Taniguchi,421,Japan Rugby League One D1,Y,W,0,,0,
2,945072,36500,Amato Fakatava,5208,BlackRams Tokyo,3.84,3.84,7,1,24,59,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-01-18T03:00:33Z,1,1,1,0,0,5204,Kubota Spears,5208,BlackRams Tokyo,18/01/2025,12:00,11,15,26,18,0,0,729,Edogawa Stadium,-1,NA,5,2025,08,8,Number 8,0,,0,,1001473,Takehito Namekawa,1000631,Teruhisa Kajiwara,1001115,Kohei Osawa,1001819,Kazuhito Taniguchi,421,Japan Rugby League One D1,N,L,0,,0,
3,945072,36500,Amato Fakatava,5208,BlackRams Tokyo,3.84,5.92,7,1,24,59,23,62,1,Carry,105,Restart Return,108,Tackled Neutral,110,Neutral Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,1,1,2025-01-18T03:00:33Z,1,1,1,0,0,5204,Kubota Spears,5208,BlackRams Tokyo,18/01/2025,12:00,11,15,26,18,0,0,729,Edogawa Stadium,-1,NA,5,2025,08,8,Number 8,0,,0,,1001473,Takehito Namekawa,1000631,Teruhisa Kajiwara,1001115,Kohei Osawa,1001819,Kazuhito Taniguchi,421,Japan Rugby League One D1,N,L,10205,Gerhard van den Heever,5204,Kubota Spears
4,945072,10205,Gerhard van den Heever,5204,Kubota Spears,4.24,4.24,8,1,77,9,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-01-18T03:00:33Z,1,1,1,0,0,5204,Kubota Spears,5208,BlackRams Tokyo,18/01/2025,12:00,11,15,26,18,0,0,729,Edogawa Stadium,-1,NA,5,2025,11,11,Left Wing,0,,0,,1001473,Takehito Namekawa,1000631,Teruhisa Kajiwara,1001115,Kohei Osawa,1001819,Kazuhito Taniguchi,421,Japan Rugby League One D1,Y,W,36500,Amato Fakatava,5208,BlackRams Tokyo
5,945072,36500,Amato Fakatava,5208,BlackRams Tokyo,5.92,9.72,9,1,23,62,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,16,2025-01-18T03:00:35Z,1,1,1,0,0,5204,Kubota Spears,5208,BlackRams Tokyo,18/01/2025,12:00,11,15,26,18,0,0,729,Edogawa Stadium,-1,NA,5,2025,08,8,Number 8,0,,0,,1001473,Takehito Namekawa,1000631,Teruhisa Kajiwara,1001115,Kohei Osawa,1001819,Kazuhito Taniguchi,421,Japan Rugby League One D1,N,L,26625,Toshiya Takahashi,5208,BlackRams Tokyo
6,945072,22169,Michael Stolberg,5208,BlackRams Tokyo,7.40,7.40,11,1,23,62,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-01-18T03:00:33Z,1,1,1,0,0,5204,Kubota Spears,5208,BlackRams Tokyo,18/01/2025,12:00,11,15,26,18,0,0,729,Edogawa Stadium,-1,NA,5,2025,06,6,Blindside Flanker,0,,0,,1001473,Takehito Namekawa,1000631,Teruhisa Kajiwara,1001115,Kohei Osawa,1001819,Kazuhito Taniguchi,421,Japan Rugby League One D1,N,L,0,,0,
7,945072,30970,Shohei Oyama,5208,BlackRams Tokyo,8.16,8.16,11,1,23,62,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-01-18T03:00:34Z,1,1,1,0,0,5204,Kubota Spears,5208,BlackRams Tokyo,18/01/2025,12:00,11,15,26,18,0,0,729,Edogawa Stadium,-1,NA,5,2025,03,3,Tighthead Prop,0,,0,,1001473,Takehito Namekawa,1000631,Teruhisa Kajiwara,1001115,Kohei Osawa,1001819,Kazuhito Taniguchi,421,Japan Rugby League One D1,N,L,0,,0,
8,945072,26625,Toshiya Takahashi,5208,BlackRams Tokyo,9.72,9.72,13,1,23,62,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-01-18T03:00:39Z,2,1,1,0,0,5204,Kubota Spears,5208,BlackRams Tokyo,18/01/2025,12:00,11,15,26,18,0,0,729,Edogawa Stadium,-1,NA,5,2025,09,9,Scrum Half,0,,0,,1001473,Takehito Namekawa,1000631,Teruhisa Kajiwara,1001115,Kohei Osawa,1001819,Kazuhito Taniguchi,421,Japan Rugby League One D1,N,L,0,,0,
9,945072,26625,Toshiya Takahashi,5208,BlackRams Tokyo,9.72,9.72,13,1,23,62,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-01-18T03:00:39Z,2,1,1,0,0,5204,Kubota Spears,5208,BlackRams Tokyo,18/01/2025,12:00,11,15,26,18,0,0,729,Edogawa Stadium,-1,NA,5,2025,09,9,Scrum Half,0,,0,,1001473,Takehito Namekawa,1000631,Teruhisa Kajiwara,1001115,Kohei Osawa,1001819,Kazuhito Taniguchi,421,Japan Rugby League One D1,N,L,0,,0,
