ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945159,19567,,19567,Saitama Wild Knights,0.00,4.28,0,1,50,31,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-25T05:30:28Z,0,0,0,0,0,19567,Saitama Wild Knights,5204,Kubota Spears,25/05/2025,14:30,10,22,24,28,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,20,2025,,,,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1000990,Toshimasa Sekiya,-1,,421,Japan Rugby League One D1,Y,L,0,,0,
1,945159,19015,Bernard Foley,5204,Kubota Spears,0.00,4.28,0,1,50,31,80,13,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,30,35,18,0,2025-05-25T05:30:28Z,1,0,1,0,0,19567,Saitama Wild Knights,5204,Kubota Spears,25/05/2025,14:30,10,22,24,28,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,20,2025,10,10,Fly Half,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1000990,Toshimasa Sekiya,-1,,421,Japan Rugby League One D1,N,W,0,,0,
2,945159,36589,Koki Takeyama,19567,Saitama Wild Knights,4.28,4.28,4,1,20,55,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-25T05:30:32Z,1,1,1,0,0,19567,Saitama Wild Knights,5204,Kubota Spears,25/05/2025,14:30,10,22,24,28,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,20,2025,14,14,Right Wing,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1000990,Toshimasa Sekiya,-1,,421,Japan Rugby League One D1,Y,L,0,,0,
3,945159,0,,19567,Saitama Wild Knights,4.28,4.28,4,1,20,55,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,32,0,0,0,2025-05-25T05:30:32Z,1,1,1,0,0,19567,Saitama Wild Knights,5204,Kubota Spears,25/05/2025,14:30,10,22,24,28,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,20,2025,,,,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1000990,Toshimasa Sekiya,-1,,421,Japan Rugby League One D1,Y,L,0,,0,
4,945159,0,,19567,Saitama Wild Knights,4.28,4.28,4,1,20,55,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,32,0,0,0,2025-05-25T05:30:32Z,1,1,1,0,0,19567,Saitama Wild Knights,5204,Kubota Spears,25/05/2025,14:30,10,22,24,28,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,20,2025,,,,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1000990,Toshimasa Sekiya,-1,,421,Japan Rugby League One D1,Y,L,0,,0,
5,945159,36589,Koki Takeyama,19567,Saitama Wild Knights,4.28,6.64,4,1,20,55,26,55,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,2,2,2025-05-25T05:30:32Z,1,1,1,0,0,19567,Saitama Wild Knights,5204,Kubota Spears,25/05/2025,14:30,10,22,24,28,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,20,2025,14,14,Right Wing,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1000990,Toshimasa Sekiya,-1,,421,Japan Rugby League One D1,Y,L,28985,Takeo Suenaga,5204,Kubota Spears
6,945159,28985,Takeo Suenaga,5204,Kubota Spears,5.20,5.20,5,1,77,15,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-05-25T05:30:33Z,1,1,1,0,0,19567,Saitama Wild Knights,5204,Kubota Spears,25/05/2025,14:30,10,22,24,28,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,20,2025,07,7,Openside Flanker,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1000990,Toshimasa Sekiya,-1,,421,Japan Rugby League One D1,N,W,36589,Koki Takeyama,19567,Saitama Wild Knights
7,945159,19740,Ruan Botha,5204,Kubota Spears,5.64,5.64,5,1,77,15,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-25T05:30:33Z,1,1,1,0,0,19567,Saitama Wild Knights,5204,Kubota Spears,25/05/2025,14:30,10,22,24,28,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,20,2025,04,4,Lock (4),0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1000990,Toshimasa Sekiya,-1,,421,Japan Rugby League One D1,N,W,36589,Koki Takeyama,19567,Saitama Wild Knights
8,945159,36589,Koki Takeyama,19567,Saitama Wild Knights,6.64,9.36,6,1,26,55,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-8,17,2025-05-25T05:30:34Z,1,1,1,0,0,19567,Saitama Wild Knights,5204,Kubota Spears,25/05/2025,14:30,10,22,24,28,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,20,2025,14,14,Right Wing,0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1000990,Toshimasa Sekiya,-1,,421,Japan Rugby League One D1,Y,L,28928,Taiki Koyama,19567,Saitama Wild Knights
9,945159,20524,Lood de Jager,19567,Saitama Wild Knights,6.80,6.80,6,1,26,55,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-05-25T05:30:31Z,1,1,1,0,0,19567,Saitama Wild Knights,5204,Kubota Spears,25/05/2025,14:30,10,22,24,28,0,0,69,Prince Chichibu Memorial Stadium,-1,NA,20,2025,05,5,Lock (5),0,,0,,1001491,Katsuki Furuse,1001500,Koki Yamauchi,1000990,Toshimasa Sekiya,-1,,421,Japan Rugby League One D1,Y,L,0,,0,
