ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945280,441,,441,Fijian Drua,0.00,2.88,7,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-08T03:38:44Z,0,0,0,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,,,,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
1,945280,35870,Isaiah Armstrong-Ravula,441,Fijian Drua,0.00,2.88,7,1,50,33,91,60,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,41,50,28,0,2025-03-08T03:38:44Z,1,0,1,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,10,10,Fly Half,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
2,945280,33031,Emoni Narawa,91,Chiefs,2.88,2.88,10,1,9,8,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-08T03:38:47Z,1,1,1,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,15,15,Full Back,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,
3,945280,0,,91,Chiefs,2.88,2.88,10,1,9,8,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,27,0,0,0,2025-03-08T03:38:47Z,1,1,1,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,,,,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,
4,945280,33031,Emoni Narawa,91,Chiefs,3.88,7.12,11,1,12,10,38,0,4,Kick,347,Touch Kick,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,26,28,0,0,2025-03-08T03:38:48Z,1,1,1,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,15,15,Full Back,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,
5,945280,0,,441,Fijian Drua,0.00,7.12,15,1,50,33,62,68,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,12,0,0,0,2025-03-08T03:38:44Z,1,1,1,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,,,,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
6,945280,0,,91,Chiefs,2.88,7.12,15,1,9,8,38,0,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,30,0,0,0,2025-03-08T03:38:47Z,1,1,1,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,,,,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,
7,945280,34982,Zuriel Togiatama,441,Fijian Drua,20.52,23.84,28,1,64,68,64,55,6,Lineout Throw,373,Throw Back,381,Lost Not Straight,211,Off The Top,0,6,676,N/A Movement Lineout,731,6 Players,724,Halfback in Position,0,,0,,0,,13,0,0,0,2025-03-08T03:39:04Z,1,1,2,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,02,2,Hooker,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
8,945280,0,,441,Fijian Drua,20.52,23.84,31,1,64,68,64,55,26,Sequences,348,Lineout Steal,320,Other,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-08T03:39:04Z,1,1,2,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,,,,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
9,945280,39084,Josh Jacomb,91,Chiefs,50.12,50.12,58,1,33,17,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-08T03:39:30Z,1,1,3,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,10,10,Fly Half,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,
10,945280,39084,Josh Jacomb,91,Chiefs,50.16,53.68,58,1,33,16,72,11,4,Kick,187,Bomb,198,Caught Full,185,Kick in Play,0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,39,40,0,0,2025-03-08T03:39:33Z,1,1,3,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,10,10,Fly Half,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,
11,945280,35870,Isaiah Armstrong-Ravula,441,Fijian Drua,53.68,53.68,101,1,28,57,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-08T03:39:37Z,1,2,3,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,10,10,Fly Half,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
12,945280,35870,Isaiah Armstrong-Ravula,441,Fijian Drua,53.68,58.80,101,1,28,57,37,52,1,Carry,104,Kick Return,409,Tackled Ineffective,109,Crossed Gain line,462,Ineffective Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,8,8,0,0,2025-03-08T03:39:37Z,1,2,3,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,10,10,Fly Half,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,Y,W,34444,Samipeni Finau,91,Chiefs
13,945280,34444,Samipeni Finau,91,Chiefs,56.40,56.40,104,1,62,12,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-03-08T03:39:43Z,1,2,3,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,06,6,Blindside Flanker,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,N,L,35870,Isaiah Armstrong-Ravula,441,Fijian Drua
14,945280,19799,Jimmy Tupou,91,Chiefs,56.56,56.56,104,1,62,12,0,0,2,Tackle,142,Chase,159,Sack,441,Assist,473,Dominant Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-03-08T03:39:43Z,1,2,3,0,0,441,Fijian Drua,91,Chiefs,08/03/2025,15:35,6,12,28,24,0,0,72,Churchill Park,-1,NA,4,2025,08,8,Number 8,0,,0,,1000642,Damon Murphy,1001545,George Myers,1001109,Jordan Kaminski,123,James Leckie,205,Super Rugby Pacific,N,L,35870,Isaiah Armstrong-Ravula,441,Fijian Drua
