ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945296,96,,96,Crusaders,0.00,3.60,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-29T06:07:44Z,0,0,0,0,0,96,Crusaders,3600,Moana Pasifika,29/03/2025,19:05,10,28,29,45,0,0,242,Apollo Projects Stadium,-1,NA,7,2025,,,,0,,0,,271,Angus Gardner,1000688,Michael Winter,1001718,Jeremy Markey,1000498,Angus Mabey,205,Super Rugby Pacific,Y,L,0,,0,
1,945296,9680,James O'Connor,96,Crusaders,0.00,3.60,1,1,50,34,93,51,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,43,47,18,0,2025-03-29T06:07:44Z,1,0,1,0,0,96,Crusaders,3600,Moana Pasifika,29/03/2025,19:05,10,28,29,45,0,0,242,Apollo Projects Stadium,-1,NA,7,2025,10,10,Fly Half,0,,0,,271,Angus Gardner,1000688,Michael Winter,1001718,Jeremy Markey,1000498,Angus Mabey,205,Super Rugby Pacific,Y,L,0,,0,
2,945296,20064,Ardie Savea,3600,Moana Pasifika,3.60,3.60,4,1,7,17,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-03-29T06:07:47Z,1,1,1,0,0,96,Crusaders,3600,Moana Pasifika,29/03/2025,19:05,10,28,29,45,0,0,242,Apollo Projects Stadium,-1,NA,7,2025,08,8,Number 8,0,,0,,271,Angus Gardner,1000688,Michael Winter,1001718,Jeremy Markey,1000498,Angus Mabey,205,Super Rugby Pacific,N,W,0,,0,
3,945296,0,,3600,Moana Pasifika,3.60,3.60,4,1,7,17,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,18,0,0,0,2025-03-29T06:07:47Z,1,1,1,0,0,96,Crusaders,3600,Moana Pasifika,29/03/2025,19:05,10,28,29,45,0,0,242,Apollo Projects Stadium,-1,NA,7,2025,,,,0,,0,,271,Angus Gardner,1000688,Michael Winter,1001718,Jeremy Markey,1000498,Angus Mabey,205,Super Rugby Pacific,N,W,0,,0,
4,945296,20064,Ardie Savea,3600,Moana Pasifika,3.60,7.68,4,1,7,17,17,13,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,10,10,5,5,2025-03-29T06:07:47Z,1,1,1,0,0,96,Crusaders,3600,Moana Pasifika,29/03/2025,19:05,10,28,29,45,0,0,242,Apollo Projects Stadium,-1,NA,7,2025,08,8,Number 8,0,,0,,271,Angus Gardner,1000688,Michael Winter,1001718,Jeremy Markey,1000498,Angus Mabey,205,Super Rugby Pacific,N,W,22539,Levi Aumua,96,Crusaders
5,945296,22539,Levi Aumua,96,Crusaders,6.28,6.28,7,1,88,54,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-03-29T06:07:50Z,1,1,1,0,0,96,Crusaders,3600,Moana Pasifika,29/03/2025,19:05,10,28,29,45,0,0,242,Apollo Projects Stadium,-1,NA,7,2025,13,13,Outside Centre,0,,0,,271,Angus Gardner,1000688,Michael Winter,1001718,Jeremy Markey,1000498,Angus Mabey,205,Super Rugby Pacific,Y,L,20064,Ardie Savea,3600,Moana Pasifika
6,945296,35714,Jamie Hannah,96,Crusaders,6.72,6.72,7,1,88,54,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-03-29T06:07:51Z,1,1,1,0,0,96,Crusaders,3600,Moana Pasifika,29/03/2025,19:05,10,28,29,45,0,0,242,Apollo Projects Stadium,-1,NA,7,2025,05,5,Lock (5),0,,0,,271,Angus Gardner,1000688,Michael Winter,1001718,Jeremy Markey,1000498,Angus Mabey,205,Super Rugby Pacific,Y,L,20064,Ardie Savea,3600,Moana Pasifika
7,945296,20064,Ardie Savea,3600,Moana Pasifika,7.68,11.40,8,1,17,13,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-11,3,2025-03-29T06:07:52Z,1,1,1,0,0,96,Crusaders,3600,Moana Pasifika,29/03/2025,19:05,10,28,29,45,0,0,242,Apollo Projects Stadium,-1,NA,7,2025,08,8,Number 8,0,,0,,271,Angus Gardner,1000688,Michael Winter,1001718,Jeremy Markey,1000498,Angus Mabey,205,Super Rugby Pacific,N,W,23399,Jonathan Taumateine,3600,Moana Pasifika
8,945296,39310,Semisi Paea,3600,Moana Pasifika,7.84,7.84,8,1,17,13,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-03-29T06:07:48Z,1,1,1,0,0,96,Crusaders,3600,Moana Pasifika,29/03/2025,19:05,10,28,29,45,0,0,242,Apollo Projects Stadium,-1,NA,7,2025,07,7,Openside Flanker,0,,0,,271,Angus Gardner,1000688,Michael Winter,1001718,Jeremy Markey,1000498,Angus Mabey,205,Super Rugby Pacific,N,W,0,,0,
9,945296,22539,Levi Aumua,96,Crusaders,8.32,8.32,9,1,83,55,0,0,43,Ruck OOA,578,Got Cleaned Out,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-03-29T06:07:48Z,1,1,1,0,0,96,Crusaders,3600,Moana Pasifika,29/03/2025,19:05,10,28,29,45,0,0,242,Apollo Projects Stadium,-1,NA,7,2025,13,13,Outside Centre,0,,0,,271,Angus Gardner,1000688,Michael Winter,1001718,Jeremy Markey,1000498,Angus Mabey,205,Super Rugby Pacific,Y,L,0,,0,
