ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945299,3600,,3600,Moana Pasifika,0.00,4.00,0,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-05T01:06:43Z,0,0,0,0,0,3600,Moana Pasifika,200,NSW Waratahs,05/04/2025,14:05,7,21,45,28,0,0,102,North Harbour Stadium,-1,NA,8,2025,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
1,945299,30667,Lawson Creighton,200,NSW Waratahs,0.00,4.00,0,1,50,35,93,7,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,43,52,29,0,2025-04-05T01:06:43Z,1,0,1,0,0,3600,Moana Pasifika,200,NSW Waratahs,05/04/2025,14:05,7,21,45,28,0,0,102,North Harbour Stadium,-1,NA,8,2025,10,10,Fly Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
2,945299,37085,Patrick Pellegrini,3600,Moana Pasifika,4.00,4.00,4,1,7,61,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-05T01:06:46Z,1,1,1,0,0,3600,Moana Pasifika,200,NSW Waratahs,05/04/2025,14:05,7,21,45,28,0,0,102,North Harbour Stadium,-1,NA,8,2025,10,10,Fly Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
3,945299,0,,3600,Moana Pasifika,4.00,4.00,4,1,7,61,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,20,0,0,0,2025-04-05T01:06:46Z,1,1,1,0,0,3600,Moana Pasifika,200,NSW Waratahs,05/04/2025,14:05,7,21,45,28,0,0,102,North Harbour Stadium,-1,NA,8,2025,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
4,945299,37085,Patrick Pellegrini,3600,Moana Pasifika,4.72,9.32,4,1,9,62,27,68,4,Kick,347,Touch Kick,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,18,19,0,0,2025-04-05T01:06:47Z,1,1,1,0,0,3600,Moana Pasifika,200,NSW Waratahs,05/04/2025,14:05,7,21,45,28,0,0,102,North Harbour Stadium,-1,NA,8,2025,10,10,Fly Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
5,945299,0,,200,NSW Waratahs,0.00,9.32,9,1,50,35,73,0,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,23,0,0,0,2025-04-05T01:06:43Z,1,1,1,0,0,3600,Moana Pasifika,200,NSW Waratahs,05/04/2025,14:05,7,21,45,28,0,0,102,North Harbour Stadium,-1,NA,8,2025,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
6,945299,0,,3600,Moana Pasifika,4.00,9.32,9,1,7,61,27,68,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,20,0,0,0,2025-04-05T01:06:46Z,1,1,1,0,0,3600,Moana Pasifika,200,NSW Waratahs,05/04/2025,14:05,7,21,45,28,0,0,102,North Harbour Stadium,-1,NA,8,2025,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
7,945299,25569,Ethan Dobbins,200,NSW Waratahs,20.80,21.68,21,1,73,0,73,6,6,Lineout Throw,371,Throw Front,380,Won Other,211,Off The Top,0,7,676,N/A Movement Lineout,732,7 Players,724,Halfback in Position,0,,0,,0,,6,0,0,0,2025-04-05T01:07:04Z,1,2,2,0,0,3600,Moana Pasifika,200,NSW Waratahs,05/04/2025,14:05,7,21,45,28,0,0,102,North Harbour Stadium,-1,NA,8,2025,02,2,Hooker,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
8,945299,36008,Allan Craig,3600,Moana Pasifika,21.68,21.68,21,1,27,62,0,0,8,Turnover,254,Dropped Ball Unforced,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-05T01:07:04Z,1,2,2,0,0,3600,Moana Pasifika,200,NSW Waratahs,05/04/2025,14:05,7,21,45,28,0,0,102,North Harbour Stadium,-1,NA,8,2025,05,5,Lock (5),0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
9,945299,35848,Teddy Wilson,200,NSW Waratahs,23.24,23.24,23,1,69,8,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-05T01:07:06Z,1,2,2,0,0,3600,Moana Pasifika,200,NSW Waratahs,05/04/2025,14:05,7,21,45,28,0,0,102,North Harbour Stadium,-1,NA,8,2025,09,9,Scrum Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
