ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945305,93,,93,Blues,0.00,4.12,0,1,50,32,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T04:37:24Z,0,0,0,0,0,93,Blues,3600,Moana Pasifika,12/04/2025,16:35,24,5,36,17,0,0,58,Eden Park,-1,NA,9,2025,,,,0,,0,,1000504,Paul Williams,1000688,Michael Winter,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
1,945305,11612,Beauden Barrett,93,Blues,0.00,4.12,0,1,50,32,76,5,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,796,Kick Receipt Contested,0,,0,,0,,0,,0,,26,38,29,0,2025-04-12T04:37:24Z,1,0,1,0,0,93,Blues,3600,Moana Pasifika,12/04/2025,16:35,24,5,36,17,0,0,58,Eden Park,-1,NA,9,2025,10,10,Fly Half,0,,0,,1000504,Paul Williams,1000688,Michael Winter,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
2,945305,28156,Caleb Clarke,93,Blues,4.08,4.08,4,1,76,6,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T04:37:24Z,1,0,1,0,0,93,Blues,3600,Moana Pasifika,12/04/2025,16:35,24,5,36,17,0,0,58,Eden Park,-1,NA,9,2025,11,11,Left Wing,0,,0,,1000504,Paul Williams,1000688,Michael Winter,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
3,945305,58501,Kyren Taumoefolau,3600,Moana Pasifika,4.12,4.12,4,1,24,63,0,0,18,Collection,275,Restart Catch,278,Fail,798,Kick Receipt Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T04:37:28Z,1,0,1,0,0,93,Blues,3600,Moana Pasifika,12/04/2025,16:35,24,5,36,17,0,0,58,Eden Park,-1,NA,9,2025,14,14,Right Wing,0,,0,,1000504,Paul Williams,1000688,Michael Winter,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
4,945305,58501,Kyren Taumoefolau,3600,Moana Pasifika,5.32,5.32,5,1,22,60,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T04:37:29Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,12/04/2025,16:35,24,5,36,17,0,0,58,Eden Park,-1,NA,9,2025,14,14,Right Wing,0,,0,,1000504,Paul Williams,1000688,Michael Winter,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
5,945305,58501,Kyren Taumoefolau,3600,Moana Pasifika,5.32,7.80,5,1,22,60,23,58,1,Carry,105,Restart Return,108,Tackled Neutral,110,Neutral Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2025-04-12T04:37:29Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,12/04/2025,16:35,24,5,36,17,0,0,58,Eden Park,-1,NA,9,2025,14,14,Right Wing,0,,0,,1000504,Paul Williams,1000688,Michael Winter,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,N,L,56225,Josh Beehre,93,Blues
6,945305,56225,Josh Beehre,93,Blues,5.92,5.92,6,1,77,10,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-04-12T04:37:30Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,12/04/2025,16:35,24,5,36,17,0,0,58,Eden Park,-1,NA,9,2025,05,5,Lock (5),0,,0,,1000504,Paul Williams,1000688,Michael Winter,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,W,58501,Kyren Taumoefolau,3600,Moana Pasifika
7,945305,58501,Kyren Taumoefolau,3600,Moana Pasifika,7.80,12.40,8,1,23,58,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,10,2025-04-12T04:37:31Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,12/04/2025,16:35,24,5,36,17,0,0,58,Eden Park,-1,NA,9,2025,14,14,Right Wing,0,,0,,1000504,Paul Williams,1000688,Michael Winter,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,N,L,23395,Melani Matavao,3600,Moana Pasifika
8,945305,28164,Samuel Slade,3600,Moana Pasifika,7.84,7.84,8,1,23,58,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T04:37:26Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,12/04/2025,16:35,24,5,36,17,0,0,58,Eden Park,-1,NA,9,2025,04,4,Lock (4),0,,0,,1000504,Paul Williams,1000688,Michael Winter,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
9,945305,60120,Feleti Sae-Ta'ufo'ou,3600,Moana Pasifika,8.96,8.96,9,1,23,58,0,0,43,Ruck OOA,575,Attended,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T04:37:27Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,12/04/2025,16:35,24,5,36,17,0,0,58,Eden Park,-1,NA,9,2025,03,3,Tighthead Prop,0,,0,,1000504,Paul Williams,1000688,Michael Winter,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
