ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945306,95,,95,Highlanders,0.00,4.20,2,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T07:06:02Z,0,0,0,0,0,95,Highlanders,441,Fijian Drua,12/04/2025,19:05,17,3,43,20,0,0,224,Forsyth Barr Stadium,-1,NA,9,2025,,,,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
1,945306,40107,Cameron Millar,95,Highlanders,0.00,4.20,2,1,50,33,76,58,14,Restart,281,50m Restart,285,Restart Opp Error,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,26,37,26,0,2025-04-12T07:06:02Z,1,1,1,0,0,95,Highlanders,441,Fijian Drua,12/04/2025,19:05,17,3,43,20,0,0,224,Forsyth Barr Stadium,-1,NA,9,2025,10,10,Fly Half,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
2,945306,35147,Joseva Tamani,441,Fijian Drua,4.20,4.20,6,1,24,10,0,0,18,Collection,275,Restart Catch,278,Fail,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T07:06:06Z,1,1,1,0,0,95,Highlanders,441,Fijian Drua,12/04/2025,19:05,17,3,43,20,0,0,224,Forsyth Barr Stadium,-1,NA,9,2025,06,6,Blindside Flanker,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
3,945306,35147,Joseva Tamani,441,Fijian Drua,4.36,4.36,6,1,24,10,0,0,8,Turnover,254,Dropped Ball Unforced,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T07:06:06Z,1,1,1,0,0,95,Highlanders,441,Fijian Drua,12/04/2025,19:05,17,3,43,20,0,0,224,Forsyth Barr Stadium,-1,NA,9,2025,06,6,Blindside Flanker,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
4,945306,0,,95,Highlanders,0.00,7.72,10,1,50,33,76,58,15,Possession,350,50m Restart Retained,317,Scrum,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,26,0,0,0,2025-04-12T07:06:02Z,1,1,1,0,0,95,Highlanders,441,Fijian Drua,12/04/2025,19:05,17,3,43,20,0,0,224,Forsyth Barr Stadium,-1,NA,9,2025,,,,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
5,945306,0,,95,Highlanders,0.00,7.72,10,1,50,33,76,58,26,Sequences,307,50m Restart,317,Scrum,0,,0,,0,,0,,0,,0,,0,,0,,26,0,0,0,2025-04-12T07:06:02Z,1,1,1,0,0,95,Highlanders,441,Fijian Drua,12/04/2025,19:05,17,3,43,20,0,0,224,Forsyth Barr Stadium,-1,NA,9,2025,,,,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
6,945306,31430,Folau Fakatava,95,Highlanders,53.00,55.60,55,1,76,58,0,0,5,Scrum,369,Scrum Half Run,353,Won Outright,365,Neutral,0,,659,Wide Left Open Movement Scrum,0,,0,,0,,0,,0,,0,0,10,54,2025-04-12T07:06:55Z,1,2,2,0,0,95,Highlanders,441,Fijian Drua,12/04/2025,19:05,17,3,43,20,0,0,224,Forsyth Barr Stadium,-1,NA,9,2025,09,9,Scrum Half,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
7,945306,32694,Ethan de Groot,95,Highlanders,53.00,55.60,55,1,76,58,0,0,28,,369,Scrum Half Run,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T07:06:55Z,1,2,2,0,0,95,Highlanders,441,Fijian Drua,12/04/2025,19:05,17,3,43,20,0,0,224,Forsyth Barr Stadium,-1,NA,9,2025,01,1,Loosehead Prop,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
8,945306,37602,Henry Bell,95,Highlanders,53.00,55.60,55,1,76,58,0,0,28,,369,Scrum Half Run,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T07:06:55Z,1,2,2,0,0,95,Highlanders,441,Fijian Drua,12/04/2025,19:05,17,3,43,20,0,0,224,Forsyth Barr Stadium,-1,NA,9,2025,02,2,Hooker,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
9,945306,24997,Sefo Kautai,95,Highlanders,53.00,55.60,55,1,76,58,0,0,28,,369,Scrum Half Run,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T07:06:55Z,1,2,2,0,0,95,Highlanders,441,Fijian Drua,12/04/2025,19:05,17,3,43,20,0,0,224,Forsyth Barr Stadium,-1,NA,9,2025,03,3,Tighthead Prop,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
