ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945307,250,,250,Queensland Reds,0.00,4.08,4,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T09:36:19Z,0,0,0,0,0,250,Queensland Reds,150,ACT Brumbies,12/04/2025,19:35,14,21,26,39,0,0,49,Suncorp Stadium,-1,NA,9,2025,,,,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000642,Damon Murphy,1000499,Graham Cooper,205,Super Rugby Pacific,Y,L,0,,0,
1,945307,26101,Noah Lolesio,150,ACT Brumbies,0.00,4.08,4,1,50,34,82,61,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,32,42,28,0,2025-04-12T09:36:19Z,1,0,1,0,0,250,Queensland Reds,150,ACT Brumbies,12/04/2025,19:35,14,21,26,39,0,0,49,Suncorp Stadium,-1,NA,9,2025,10,10,Fly Half,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000642,Damon Murphy,1000499,Graham Cooper,205,Super Rugby Pacific,N,W,0,,0,
2,945307,35572,Joe Brial,250,Queensland Reds,4.08,4.08,8,1,18,7,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T09:36:23Z,1,1,1,0,0,250,Queensland Reds,150,ACT Brumbies,12/04/2025,19:35,14,21,26,39,0,0,49,Suncorp Stadium,-1,NA,9,2025,08,8,Number 8,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000642,Damon Murphy,1000499,Graham Cooper,205,Super Rugby Pacific,Y,L,0,,0,
3,945307,0,,250,Queensland Reds,4.08,4.08,8,1,18,7,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,22,0,0,0,2025-04-12T09:36:23Z,1,1,1,0,0,250,Queensland Reds,150,ACT Brumbies,12/04/2025,19:35,14,21,26,39,0,0,49,Suncorp Stadium,-1,NA,9,2025,,,,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000642,Damon Murphy,1000499,Graham Cooper,205,Super Rugby Pacific,Y,L,0,,0,
4,945307,35572,Joe Brial,250,Queensland Reds,4.08,5.24,8,1,18,7,20,9,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2025-04-12T09:36:23Z,1,1,1,0,0,250,Queensland Reds,150,ACT Brumbies,12/04/2025,19:35,14,21,26,39,0,0,49,Suncorp Stadium,-1,NA,9,2025,08,8,Number 8,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000642,Damon Murphy,1000499,Graham Cooper,205,Super Rugby Pacific,Y,L,21988,Andy Muirhead,150,ACT Brumbies
5,945307,21988,Andy Muirhead,150,ACT Brumbies,4.96,4.96,9,1,81,61,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-04-12T09:36:24Z,1,1,1,0,0,250,Queensland Reds,150,ACT Brumbies,12/04/2025,19:35,14,21,26,39,0,0,49,Suncorp Stadium,-1,NA,9,2025,14,14,Right Wing,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000642,Damon Murphy,1000499,Graham Cooper,205,Super Rugby Pacific,N,W,35572,Joe Brial,250,Queensland Reds
6,945307,35572,Joe Brial,250,Queensland Reds,5.24,12.00,9,1,20,9,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,3,2025-04-12T09:36:25Z,1,1,1,0,0,250,Queensland Reds,150,ACT Brumbies,12/04/2025,19:35,14,21,26,39,0,0,49,Suncorp Stadium,-1,NA,9,2025,08,8,Number 8,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000642,Damon Murphy,1000499,Graham Cooper,205,Super Rugby Pacific,Y,L,27376,Tate McDermott,250,Queensland Reds
7,945307,23334,Lukhan Salakaia-Loto,250,Queensland Reds,5.96,5.96,10,1,20,9,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T09:36:19Z,1,1,1,0,0,250,Queensland Reds,150,ACT Brumbies,12/04/2025,19:35,14,21,26,39,0,0,49,Suncorp Stadium,-1,NA,9,2025,05,5,Lock (5),0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000642,Damon Murphy,1000499,Graham Cooper,205,Super Rugby Pacific,Y,L,0,,0,
8,945307,59762,Tim Ryan,250,Queensland Reds,6.24,6.24,10,1,20,9,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T09:36:19Z,1,1,1,0,0,250,Queensland Reds,150,ACT Brumbies,12/04/2025,19:35,14,21,26,39,0,0,49,Suncorp Stadium,-1,NA,9,2025,11,11,Left Wing,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000642,Damon Murphy,1000499,Graham Cooper,205,Super Rugby Pacific,Y,L,0,,0,
9,945307,11161,James Slipper,150,ACT Brumbies,6.40,6.40,10,1,80,59,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-04-12T09:36:19Z,1,1,1,0,0,250,Queensland Reds,150,ACT Brumbies,12/04/2025,19:35,14,21,26,39,0,0,49,Suncorp Stadium,-1,NA,9,2025,01,1,Loosehead Prop,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000642,Damon Murphy,1000499,Graham Cooper,205,Super Rugby Pacific,N,W,0,,0,
