ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945318,93,,93,Blues,0.00,4.00,1,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-02T07:06:15Z,0,0,0,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,,,,0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
1,945318,31305,Ben Donaldson,73,Western Force,0.00,4.00,1,1,49,34,85,19,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,36,39,16,0,2025-05-02T07:06:15Z,1,0,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
2,945318,23535,Rieko Ioane,93,Blues,4.00,4.00,5,1,15,49,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-02T07:06:19Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,13,13,Outside Centre,0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
3,945318,0,,93,Blues,4.00,4.00,5,1,15,49,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,38,0,0,0,2025-05-02T07:06:19Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,,,,0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
4,945318,23535,Rieko Ioane,93,Blues,4.00,6.80,5,1,15,49,21,51,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,6,6,2,2,2025-05-02T07:06:19Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,13,13,Outside Centre,0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,Y,W,21779,Tom Robertson,73,Western Force
5,945318,21779,Tom Robertson,73,Western Force,6.04,6.04,7,1,80,17,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-02T07:06:21Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,03,3,Tighthead Prop,0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,N,L,23535,Rieko Ioane,93,Blues
6,945318,32101,Jeremy Williams,73,Western Force,6.08,6.08,7,1,80,17,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-02T07:06:21Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,04,4,Lock (4),0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,N,L,23535,Rieko Ioane,93,Blues
7,945318,23535,Rieko Ioane,93,Blues,6.80,16.52,8,1,21,51,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,670,Tight Right Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,1,2025-05-02T07:06:22Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,13,13,Outside Centre,0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,Y,W,32986,Taufa Funaki,93,Blues
8,945318,24952,Dalton Papali'i,93,Blues,8.68,8.68,10,1,21,51,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-05-02T07:06:14Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,07,7,Openside Flanker,0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
9,945318,23342,Ricky Riccitelli,93,Blues,8.72,8.72,10,1,21,51,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-05-02T07:06:14Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,02,2,Hooker,0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
10,945318,32101,Jeremy Williams,73,Western Force,9.04,9.04,10,1,79,17,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-05-02T07:06:14Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,04,4,Lock (4),0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
11,945318,21779,Tom Robertson,73,Western Force,9.72,9.72,11,1,79,17,0,0,43,Ruck OOA,577,Not Clearing,584,Own Team 2nd Entry,604,OOA Entry 2nd Entry- Def,633,Defensive OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-05-02T07:06:15Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,03,3,Tighthead Prop,0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
12,945318,20765,Patrick Tuipulotu,93,Blues,10.64,10.64,12,1,21,51,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-05-02T07:06:16Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,04,4,Lock (4),0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,
13,945318,26784,Darcy Swain,73,Western Force,11.16,11.16,12,1,79,17,0,0,43,Ruck OOA,577,Not Clearing,585,Own Team 3rd Entry,605,OOA Entry 3rd Entry- Def,633,Defensive OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-05-02T07:06:17Z,1,1,1,0,0,93,Blues,73,Western Force,02/05/2025,19:05,12,7,40,19,0,0,58,Eden Park,-1,NA,12,2025,05,5,Lock (5),0,,0,,1000428,Ben O'Keeffe,1001127,Stu Curran,1001401,Jackson Henshaw,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,
