ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945321,150,,150,ACT Brumbies,0.00,3.92,0,1,49,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:20Z,0,0,0,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,,,,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
1,945321,30667,Lawson Creighton,200,NSW Waratahs,0.00,3.92,0,1,49,33,58,54,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,9,23,22,0,2025-05-03T09:35:20Z,1,0,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,10,10,Fly Half,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,
2,945321,34524,Nick Frost,150,ACT Brumbies,3.92,3.92,3,1,42,14,0,0,18,Collection,275,Restart Catch,278,Fail,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:23Z,1,0,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,04,4,Lock (4),0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
3,945321,27287,Ryan Lonergan,150,ACT Brumbies,6.96,6.96,7,1,38,14,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:26Z,1,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
4,945321,27287,Ryan Lonergan,150,ACT Brumbies,6.96,8.68,7,1,38,14,39,17,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,1,1,2025-05-03T09:35:26Z,1,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,25569,Ethan Dobbins,200,NSW Waratahs
5,945321,25569,Ethan Dobbins,200,NSW Waratahs,7.40,7.40,7,1,62,52,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:27Z,1,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,02,2,Hooker,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,N,L,27287,Ryan Lonergan,150,ACT Brumbies
6,945321,27287,Ryan Lonergan,150,ACT Brumbies,8.68,13.84,8,1,39,17,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,665,Close Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,2,3,2025-05-03T09:35:28Z,1,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,26101,Noah Lolesio,150,ACT Brumbies
7,945321,11161,James Slipper,150,ACT Brumbies,8.76,8.76,8,1,39,17,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:23Z,1,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,01,1,Loosehead Prop,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
8,945321,25569,Ethan Dobbins,200,NSW Waratahs,9.04,9.04,9,1,61,51,0,0,43,Ruck OOA,578,Got Cleaned Out,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:23Z,1,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,02,2,Hooker,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,
9,945321,32158,Rory Scott,150,ACT Brumbies,10.24,10.24,10,1,39,17,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:24Z,1,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,07,7,Openside Flanker,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
10,945321,32078,Billy Pollard,150,ACT Brumbies,11.36,11.36,11,1,39,17,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:25Z,1,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,02,2,Hooker,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
11,945321,19813,Allan Alaalatoa,150,ACT Brumbies,11.48,11.48,11,1,39,17,0,0,43,Ruck OOA,575,Attended,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,4,0,,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:25Z,1,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,03,3,Tighthead Prop,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
12,945321,26101,Noah Lolesio,150,ACT Brumbies,13.84,13.84,13,1,39,17,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:33Z,2,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,10,10,Fly Half,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
13,945321,26101,Noah Lolesio,150,ACT Brumbies,13.84,13.84,13,1,39,17,0,0,47,Playmaker Options,672,Acting Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:33Z,2,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,10,10,Fly Half,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
14,945321,26101,Noah Lolesio,150,ACT Brumbies,14.24,14.92,14,1,39,17,38,13,3,Pass,169,Complete,0,,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,4,4,1,0,2025-05-03T09:35:34Z,2,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,10,10,Fly Half,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,26989,Rob Valetini,150,ACT Brumbies
15,945321,26989,Rob Valetini,150,ACT Brumbies,14.92,14.92,14,1,38,13,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-03T09:35:34Z,2,1,1,0,0,150,ACT Brumbies,200,NSW Waratahs,03/05/2025,19:35,19,12,40,17,0,0,43,GIO Stadium,-1,NA,12,2025,06,6,Blindside Flanker,0,,0,,271,Angus Gardner,1000613,Matthew Kellahan,1000499,Graham Cooper,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,
