ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945324,200,,200,NSW Waratahs,0.00,3.44,0,1,48,32,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-09T09:35:37Z,0,0,0,0,0,200,NSW Waratahs,250,Queensland Reds,09/05/2025,19:35,14,14,21,28,0,0,41,Allianz Stadium,-1,NA,13,2025,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,
1,945324,40527,Tom Lynagh,250,Queensland Reds,0.00,3.44,0,1,48,32,79,40,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,31,32,8,0,2025-05-09T09:35:37Z,1,0,1,0,0,200,NSW Waratahs,250,Queensland Reds,09/05/2025,19:35,14,14,21,28,0,0,41,Allianz Stadium,-1,NA,13,2025,10,10,Fly Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,N,W,0,,0,
2,945324,32086,Tane Edmed,200,NSW Waratahs,3.44,3.44,3,1,21,28,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-09T09:35:41Z,1,1,1,0,0,200,NSW Waratahs,250,Queensland Reds,09/05/2025,19:35,14,14,21,28,0,0,41,Allianz Stadium,-1,NA,13,2025,10,10,Fly Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,
3,945324,0,,200,NSW Waratahs,3.44,3.44,3,1,21,28,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,44,0,0,0,2025-05-09T09:35:41Z,1,1,1,0,0,200,NSW Waratahs,250,Queensland Reds,09/05/2025,19:35,14,14,21,28,0,0,41,Allianz Stadium,-1,NA,13,2025,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,
4,945324,32086,Tane Edmed,200,NSW Waratahs,3.44,6.24,3,1,21,28,30,30,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,10,10,2,2,2025-05-09T09:35:41Z,1,1,1,0,0,200,NSW Waratahs,250,Queensland Reds,09/05/2025,19:35,14,14,21,28,0,0,41,Allianz Stadium,-1,NA,13,2025,10,10,Fly Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,L,31908,Zane Nonggorr,250,Queensland Reds
5,945324,31908,Zane Nonggorr,250,Queensland Reds,4.84,4.84,4,1,72,36,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-09T09:35:42Z,1,1,1,0,0,200,NSW Waratahs,250,Queensland Reds,09/05/2025,19:35,14,14,21,28,0,0,41,Allianz Stadium,-1,NA,13,2025,03,3,Tighthead Prop,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,N,W,32086,Tane Edmed,200,NSW Waratahs
6,945324,24968,Richie Asiata,250,Queensland Reds,5.40,5.40,5,1,72,36,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-09T09:35:43Z,1,1,1,0,0,200,NSW Waratahs,250,Queensland Reds,09/05/2025,19:35,14,14,21,28,0,0,41,Allianz Stadium,-1,NA,13,2025,02,2,Hooker,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,N,W,32086,Tane Edmed,200,NSW Waratahs
7,945324,34265,Charlie Gamble,200,NSW Waratahs,5.56,5.56,5,1,28,32,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-09T09:35:43Z,1,1,1,0,0,200,NSW Waratahs,250,Queensland Reds,09/05/2025,19:35,14,14,21,28,0,0,41,Allianz Stadium,-1,NA,13,2025,07,7,Openside Flanker,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,
8,945324,22344,Dave Porecki,200,NSW Waratahs,5.96,5.96,6,1,28,32,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-09T09:35:43Z,1,1,1,0,0,200,NSW Waratahs,250,Queensland Reds,09/05/2025,19:35,14,14,21,28,0,0,41,Allianz Stadium,-1,NA,13,2025,02,2,Hooker,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,
9,945324,32086,Tane Edmed,200,NSW Waratahs,6.24,10.28,6,1,30,30,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,14,2025-05-09T09:35:43Z,1,1,1,0,0,200,NSW Waratahs,250,Queensland Reds,09/05/2025,19:35,14,14,21,28,0,0,41,Allianz Stadium,-1,NA,13,2025,10,10,Fly Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,260,Richard Kelly,205,Super Rugby Pacific,Y,L,22275,Jake Gordon,200,NSW Waratahs
