ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945325,96,,96,Crusaders,0.00,4.00,1,1,49,32,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-10T07:06:06Z,0,0,0,0,0,96,Crusaders,91,Chiefs,10/05/2025,19:05,19,10,19,35,0,0,242,Apollo Projects Stadium,-1,NA,13,2025,,,,0,,0,,1000428,Ben O'Keeffe,1001401,Jackson Henshaw,1001775,Warwick Lahmert,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,
1,945325,21740,Damian McKenzie,91,Chiefs,0.00,4.00,1,1,49,32,73,48,14,Restart,281,50m Restart,285,Restart Opp Error,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,24,29,17,0,2025-05-10T07:06:06Z,1,1,1,0,0,96,Crusaders,91,Chiefs,10/05/2025,19:05,19,10,19,35,0,0,242,Apollo Projects Stadium,-1,NA,13,2025,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1001401,Jackson Henshaw,1001775,Warwick Lahmert,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,
2,945325,34997,Antonio Shalfoon,96,Crusaders,4.00,4.00,5,1,28,20,0,0,18,Collection,275,Restart Catch,278,Fail,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-10T07:06:10Z,1,1,1,0,0,96,Crusaders,91,Chiefs,10/05/2025,19:05,19,10,19,35,0,0,242,Apollo Projects Stadium,-1,NA,13,2025,05,5,Lock (5),0,,0,,1000428,Ben O'Keeffe,1001401,Jackson Henshaw,1001775,Warwick Lahmert,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,
3,945325,34997,Antonio Shalfoon,96,Crusaders,4.24,4.24,5,1,30,19,0,0,8,Turnover,254,Dropped Ball Unforced,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-10T07:06:10Z,1,1,1,0,0,96,Crusaders,91,Chiefs,10/05/2025,19:05,19,10,19,35,0,0,242,Apollo Projects Stadium,-1,NA,13,2025,05,5,Lock (5),0,,0,,1000428,Ben O'Keeffe,1001401,Jackson Henshaw,1001775,Warwick Lahmert,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,
4,945325,34441,Naitoa Ah Kuoi,91,Chiefs,5.32,5.32,6,1,68,50,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-10T07:06:11Z,1,1,1,0,0,96,Crusaders,91,Chiefs,10/05/2025,19:05,19,10,19,35,0,0,242,Apollo Projects Stadium,-1,NA,13,2025,04,4,Lock (4),0,,0,,1000428,Ben O'Keeffe,1001401,Jackson Henshaw,1001775,Warwick Lahmert,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,
5,945325,34441,Naitoa Ah Kuoi,91,Chiefs,5.32,7.60,6,1,68,50,74,57,1,Carry,103,Other Carry,122,Off Load,109,Crossed Gain line,460,Dominant Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,7,7,1,1,2025-05-10T07:06:11Z,1,1,1,0,0,96,Crusaders,91,Chiefs,10/05/2025,19:05,19,10,19,35,0,0,242,Apollo Projects Stadium,-1,NA,13,2025,04,4,Lock (4),0,,0,,1000428,Ben O'Keeffe,1001401,Jackson Henshaw,1001775,Warwick Lahmert,227,Glenn Newman,205,Super Rugby Pacific,N,W,32982,Tamaiti Williams,96,Crusaders
6,945325,0,,91,Chiefs,5.56,5.56,6,1,68,50,0,0,20,Ref Review,245,Advantage,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-10T07:06:09Z,1,1,1,0,0,96,Crusaders,91,Chiefs,10/05/2025,19:05,19,10,19,35,0,0,242,Apollo Projects Stadium,-1,NA,13,2025,,,,0,,0,,1000428,Ben O'Keeffe,1001401,Jackson Henshaw,1001775,Warwick Lahmert,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,
7,945325,32982,Tamaiti Williams,96,Crusaders,7.28,7.28,8,1,26,11,0,0,2,Tackle,147,Other,155,Offload Allowed,0,,475,Ineffective Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-05-10T07:06:13Z,1,1,1,0,0,96,Crusaders,91,Chiefs,10/05/2025,19:05,19,10,19,35,0,0,242,Apollo Projects Stadium,-1,NA,13,2025,01,1,Loosehead Prop,0,,0,,1000428,Ben O'Keeffe,1001401,Jackson Henshaw,1001775,Warwick Lahmert,227,Glenn Newman,205,Super Rugby Pacific,Y,L,34441,Naitoa Ah Kuoi,91,Chiefs
8,945325,34441,Naitoa Ah Kuoi,91,Chiefs,7.60,8.00,8,1,74,57,70,55,3,Pass,151,Offload,128,Own Player,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,2,5,5,0,2025-05-10T07:06:14Z,1,1,1,0,0,96,Crusaders,91,Chiefs,10/05/2025,19:05,19,10,19,35,0,0,242,Apollo Projects Stadium,-1,NA,13,2025,04,4,Lock (4),0,,0,,1000428,Ben O'Keeffe,1001401,Jackson Henshaw,1001775,Warwick Lahmert,227,Glenn Newman,205,Super Rugby Pacific,N,W,37742,Daniel Rona,91,Chiefs
9,945325,37742,Daniel Rona,91,Chiefs,8.00,8.00,9,1,70,55,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-10T07:06:14Z,1,1,1,0,0,96,Crusaders,91,Chiefs,10/05/2025,19:05,19,10,19,35,0,0,242,Apollo Projects Stadium,-1,NA,13,2025,13,13,Outside Centre,0,,0,,1000428,Ben O'Keeffe,1001401,Jackson Henshaw,1001775,Warwick Lahmert,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,
10,945325,37742,Daniel Rona,91,Chiefs,8.24,9.92,9,1,69,57,59,47,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,701,1st Receiver,0,,0,,0,,0,,0,,10,14,10,0,2025-05-10T07:06:14Z,1,1,1,0,0,96,Crusaders,91,Chiefs,10/05/2025,19:05,19,10,19,35,0,0,242,Apollo Projects Stadium,-1,NA,13,2025,13,13,Outside Centre,0,,0,,1000428,Ben O'Keeffe,1001401,Jackson Henshaw,1001775,Warwick Lahmert,227,Glenn Newman,205,Super Rugby Pacific,N,W,21740,Damian McKenzie,91,Chiefs
