ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945336,95,,95,Highlanders,0.00,4.04,4,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-30T07:05:49Z,0,0,0,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,,,,0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,
1,945336,40107,Cameron Millar,95,Highlanders,0.00,4.04,4,1,50,35,84,59,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,34,42,25,0,2025-05-30T07:05:49Z,1,0,1,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,
2,945336,21740,Damian McKenzie,91,Chiefs,4.04,4.04,8,1,16,9,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-30T07:05:53Z,1,1,1,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,
3,945336,0,,91,Chiefs,4.04,4.04,8,1,16,9,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,30,0,0,0,2025-05-30T07:05:53Z,1,1,1,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,,,,0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,
4,945336,21740,Damian McKenzie,91,Chiefs,4.04,6.04,8,1,16,9,19,18,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,0,0,2025-05-30T07:05:53Z,1,1,1,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,N,W,37605,Sean Withy,95,Highlanders
5,945336,37605,Sean Withy,95,Highlanders,5.92,5.92,10,1,81,51,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-05-30T07:05:55Z,1,1,1,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,08,8,Number 8,0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,Y,L,21740,Damian McKenzie,91,Chiefs
6,945336,39086,Fabian Holland,95,Highlanders,5.96,5.96,10,1,81,51,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-30T07:05:55Z,1,1,1,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,04,4,Lock (4),0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,Y,L,21740,Damian McKenzie,91,Chiefs
7,945336,21740,Damian McKenzie,91,Chiefs,6.04,8.32,10,1,19,18,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,0,10,2025-05-30T07:05:55Z,1,1,1,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,N,W,30788,Xavier Roe,91,Chiefs
8,945336,23853,Jared Proffit,91,Chiefs,7.28,7.28,11,1,19,18,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-05-30T07:05:54Z,1,1,1,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,01,1,Loosehead Prop,0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,
9,945336,32984,Josh Lord,91,Chiefs,7.32,7.32,11,1,19,18,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-05-30T07:05:54Z,1,1,1,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,04,4,Lock (4),0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,
10,945336,34444,Samipeni Finau,91,Chiefs,7.44,7.44,11,1,19,18,0,0,43,Ruck OOA,572,Cleaned Out,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-05-30T07:05:54Z,1,1,1,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,06,6,Blindside Flanker,0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,
11,945336,39086,Fabian Holland,95,Highlanders,7.48,7.48,11,1,81,50,0,0,43,Ruck OOA,578,Got Cleaned Out,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-05-30T07:05:54Z,1,1,1,0,0,95,Highlanders,91,Chiefs,30/05/2025,19:05,14,19,24,41,0,0,224,Forsyth Barr Stadium,-1,NA,16,2025,04,4,Lock (4),0,,0,,1000428,Ben O'Keeffe,1000968,Marcus Playle,1001401,Jackson Henshaw,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,
