ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947929,38,,38,Union Bordeaux-Begles,0.00,4.24,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-06T19:05:13Z,0,0,0,0,0,38,Union Bordeaux-Begles,47,Stade Rochelais,06/09/2025,21:05,6,3,23,18,0,0,3,Stade Chaban-Delmas,-1,NA,1,2026,,,,0,,0,,1001423,Kevin Bralley,1001471,Cyrille Boulay,1000489,Thomas Charabas,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
1,947929,28275,Matthieu Jalibert,38,Union Bordeaux-Begles,0.00,4.24,0,1,50,34,80,66,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,30,44,33,0,2025-09-06T19:05:13Z,1,0,1,0,0,38,Union Bordeaux-Begles,47,Stade Rochelais,06/09/2025,21:05,6,3,23,18,0,0,3,Stade Chaban-Delmas,-1,NA,1,2026,10,10,Fly Half,0,,0,,1001423,Kevin Bralley,1001471,Cyrille Boulay,1000489,Thomas Charabas,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
2,947929,19869,Dillyn Leyds,47,Stade Rochelais,4.24,4.24,4,1,20,2,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-06T19:05:17Z,1,1,1,0,0,38,Union Bordeaux-Begles,47,Stade Rochelais,06/09/2025,21:05,6,3,23,18,0,0,3,Stade Chaban-Delmas,-1,NA,1,2026,11,11,Left Wing,0,,0,,1001423,Kevin Bralley,1001471,Cyrille Boulay,1000489,Thomas Charabas,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
3,947929,0,,47,Stade Rochelais,4.24,4.24,4,1,20,2,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,27,0,0,0,2025-09-06T19:05:17Z,1,1,1,0,0,38,Union Bordeaux-Begles,47,Stade Rochelais,06/09/2025,21:05,6,3,23,18,0,0,3,Stade Chaban-Delmas,-1,NA,1,2026,,,,0,,0,,1001423,Kevin Bralley,1001471,Cyrille Boulay,1000489,Thomas Charabas,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
4,947929,19869,Dillyn Leyds,47,Stade Rochelais,4.24,6.32,4,1,20,2,22,2,1,Carry,105,Restart Return,118,Other,109,Crossed Gain line,0,,500,0 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,0,0,2025-09-06T19:05:17Z,1,1,1,0,0,38,Union Bordeaux-Begles,47,Stade Rochelais,06/09/2025,21:05,6,3,23,18,0,0,3,Stade Chaban-Delmas,-1,NA,1,2026,11,11,Left Wing,0,,0,,1001423,Kevin Bralley,1001471,Cyrille Boulay,1000489,Thomas Charabas,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
5,947929,19869,Dillyn Leyds,47,Stade Rochelais,6.32,10.44,6,1,22,2,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,9,2025-09-06T19:05:19Z,1,1,1,0,0,38,Union Bordeaux-Begles,47,Stade Rochelais,06/09/2025,21:05,6,3,23,18,0,0,3,Stade Chaban-Delmas,-1,NA,1,2026,11,11,Left Wing,0,,0,,1001423,Kevin Bralley,1001471,Cyrille Boulay,1000489,Thomas Charabas,1000193,Denis Grenouillet,203,TOP 14,N,L,36660,Nolann Le Garrec,47,Stade Rochelais,10
6,947929,29456,Gregory Alldritt,47,Stade Rochelais,6.36,6.36,6,1,22,2,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-09-06T19:05:15Z,1,1,1,0,0,38,Union Bordeaux-Begles,47,Stade Rochelais,06/09/2025,21:05,6,3,23,18,0,0,3,Stade Chaban-Delmas,-1,NA,1,2026,08,8,Number 8,0,,0,,1001423,Kevin Bralley,1001471,Cyrille Boulay,1000489,Thomas Charabas,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
7,947929,24593,Pierre Bourgarit,47,Stade Rochelais,6.52,6.52,6,1,22,2,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-09-06T19:05:15Z,1,1,1,0,0,38,Union Bordeaux-Begles,47,Stade Rochelais,06/09/2025,21:05,6,3,23,18,0,0,3,Stade Chaban-Delmas,-1,NA,1,2026,02,2,Hooker,0,,0,,1001423,Kevin Bralley,1001471,Cyrille Boulay,1000489,Thomas Charabas,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
8,947929,39723,Louis Penverne,47,Stade Rochelais,7.80,7.80,7,1,22,2,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2025-09-06T19:05:16Z,1,1,1,0,0,38,Union Bordeaux-Begles,47,Stade Rochelais,06/09/2025,21:05,6,3,23,18,0,0,3,Stade Chaban-Delmas,-1,NA,1,2026,01,1,Loosehead Prop,0,,0,,1001423,Kevin Bralley,1001471,Cyrille Boulay,1000489,Thomas Charabas,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
9,947929,19430,Jefferson Poirot,38,Union Bordeaux-Begles,9.00,9.00,9,1,78,66,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,4,0,,0,,0,,0,,0,0,0,0,2025-09-06T19:05:17Z,1,1,1,0,0,38,Union Bordeaux-Begles,47,Stade Rochelais,06/09/2025,21:05,6,3,23,18,0,0,3,Stade Chaban-Delmas,-1,NA,1,2026,01,1,Loosehead Prop,0,,0,,1001423,Kevin Bralley,1001471,Cyrille Boulay,1000489,Thomas Charabas,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
