ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,947932,41,,41,Racing 92,0.00,3.32,2,1,50,37,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-14T19:07:12Z,0,0,0,0,0,41,Racing 92,38,Union Bordeaux-Begles,14/09/2025,21:05,34,8,44,32,0,0,607,Paris La Defense Arena,-1,NA,2,2026,,,,0,,0,,1000890,Jeremy Rozier,1000524,Jonathan Gasnier,1000570,Flavien Hourquet,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,
1,947932,64609,Ugo Seunes,41,Racing 92,0.00,3.32,2,1,50,37,75,62,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,26,36,26,0,2025-09-14T19:07:12Z,1,0,1,0,0,41,Racing 92,38,Union Bordeaux-Begles,14/09/2025,21:05,34,8,44,32,0,0,607,Paris La Defense Arena,-1,NA,2,2026,10,10,Fly Half,0,,0,,1000890,Jeremy Rozier,1000524,Jonathan Gasnier,1000570,Flavien Hourquet,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,
2,947932,27642,Cameron Woki,38,Union Bordeaux-Begles,3.32,3.32,6,1,25,6,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-14T19:07:15Z,1,1,1,0,0,41,Racing 92,38,Union Bordeaux-Begles,14/09/2025,21:05,34,8,44,32,0,0,607,Paris La Defense Arena,-1,NA,2,2026,07,7,Openside Flanker,0,,0,,1000890,Jeremy Rozier,1000524,Jonathan Gasnier,1000570,Flavien Hourquet,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,
3,947932,27642,Cameron Woki,38,Union Bordeaux-Begles,3.32,5.72,6,1,25,6,25,6,1,Carry,105,Restart Return,108,Tackled Neutral,110,Neutral Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2025-09-14T19:07:15Z,1,1,1,0,0,41,Racing 92,38,Union Bordeaux-Begles,14/09/2025,21:05,34,8,44,32,0,0,607,Paris La Defense Arena,-1,NA,2,2026,07,7,Openside Flanker,0,,0,,1000890,Jeremy Rozier,1000524,Jonathan Gasnier,1000570,Flavien Hourquet,1000568,Julien Castaignede,203,TOP 14,N,L,64492,Soumaila Camara,41,Racing 92
4,947932,64492,Soumaila Camara,41,Racing 92,4.96,4.96,7,1,75,63,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-09-14T19:07:17Z,1,1,1,0,0,41,Racing 92,38,Union Bordeaux-Begles,14/09/2025,21:05,34,8,44,32,0,0,607,Paris La Defense Arena,-1,NA,2,2026,06,6,Blindside Flanker,0,,0,,1000890,Jeremy Rozier,1000524,Jonathan Gasnier,1000570,Flavien Hourquet,1000568,Julien Castaignede,203,TOP 14,Y,W,27642,Cameron Woki,38,Union Bordeaux-Begles
5,947932,27642,Cameron Woki,38,Union Bordeaux-Begles,5.72,9.40,8,1,25,6,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-15,12,2025-09-14T19:07:18Z,1,1,1,0,0,41,Racing 92,38,Union Bordeaux-Begles,14/09/2025,21:05,34,8,44,32,0,0,607,Paris La Defense Arena,-1,NA,2,2026,07,7,Openside Flanker,0,,0,,1000890,Jeremy Rozier,1000524,Jonathan Gasnier,1000570,Flavien Hourquet,1000568,Julien Castaignede,203,TOP 14,N,L,37288,Martin Page-Relo,38,Union Bordeaux-Begles
6,947932,29706,Sipili Falatea,38,Union Bordeaux-Begles,6.08,6.08,8,1,25,6,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-09-14T19:07:15Z,1,1,1,0,0,41,Racing 92,38,Union Bordeaux-Begles,14/09/2025,21:05,34,8,44,32,0,0,607,Paris La Defense Arena,-1,NA,2,2026,03,3,Tighthead Prop,0,,0,,1000890,Jeremy Rozier,1000524,Jonathan Gasnier,1000570,Flavien Hourquet,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,
7,947932,22815,Cyril Cazeaux,38,Union Bordeaux-Begles,6.76,6.76,9,1,25,6,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-09-14T19:07:16Z,1,1,1,0,0,41,Racing 92,38,Union Bordeaux-Begles,14/09/2025,21:05,34,8,44,32,0,0,607,Paris La Defense Arena,-1,NA,2,2026,05,5,Lock (5),0,,0,,1000890,Jeremy Rozier,1000524,Jonathan Gasnier,1000570,Flavien Hourquet,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,
8,947932,32799,Gaetan Barlot,38,Union Bordeaux-Begles,7.16,7.16,9,1,25,6,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2025-09-14T19:07:16Z,1,1,1,0,0,41,Racing 92,38,Union Bordeaux-Begles,14/09/2025,21:05,34,8,44,32,0,0,607,Paris La Defense Arena,-1,NA,2,2026,02,2,Hooker,0,,0,,1000890,Jeremy Rozier,1000524,Jonathan Gasnier,1000570,Flavien Hourquet,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,
9,947932,29774,Demba Bamba,41,Racing 92,8.00,8.00,10,1,76,62,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,4,0,,0,,0,,0,,0,0,0,0,2025-09-14T19:07:17Z,1,1,1,0,0,41,Racing 92,38,Union Bordeaux-Begles,14/09/2025,21:05,34,8,44,32,0,0,607,Paris La Defense Arena,-1,NA,2,2026,03,3,Tighthead Prop,0,,0,,1000890,Jeremy Rozier,1000524,Jonathan Gasnier,1000570,Flavien Hourquet,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,
