ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,947939,2050,,2050,Castres Olympique,0.00,4.04,1,1,50,36,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-20T16:30:44Z,0,0,0,0,0,2050,Castres Olympique,4850,Bayonne,20/09/2025,18:30,19,3,48,17,0,0,92,Stade Pierre Fabre,-1,NA,3,2026,,,,0,,0,,1001130,Adrien Marbot,1001250,Benoit Albert,1000705,Ludovic Carrillo,1000358,Laurent Sclafer,203,TOP 14,Y,W,0,,0,
1,947939,37377,Louis Le Brun,2050,Castres Olympique,0.00,4.04,1,1,50,36,92,11,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,42,49,25,0,2025-09-20T16:30:44Z,1,0,1,0,0,2050,Castres Olympique,4850,Bayonne,20/09/2025,18:30,19,3,48,17,0,0,92,Stade Pierre Fabre,-1,NA,3,2026,10,10,Fly Half,0,,0,,1001130,Adrien Marbot,1001250,Benoit Albert,1000705,Ludovic Carrillo,1000358,Laurent Sclafer,203,TOP 14,Y,W,0,,0,
2,947939,32292,Alexandre Fischer,4850,Bayonne,4.04,4.04,5,1,8,57,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-20T16:30:48Z,1,1,1,0,0,2050,Castres Olympique,4850,Bayonne,20/09/2025,18:30,19,3,48,17,0,0,92,Stade Pierre Fabre,-1,NA,3,2026,06,6,Blindside Flanker,0,,0,,1001130,Adrien Marbot,1001250,Benoit Albert,1000705,Ludovic Carrillo,1000358,Laurent Sclafer,203,TOP 14,N,L,0,,0,
3,947939,0,,4850,Bayonne,4.04,4.04,5,1,8,57,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,31,0,0,0,2025-09-20T16:30:48Z,1,1,1,0,0,2050,Castres Olympique,4850,Bayonne,20/09/2025,18:30,19,3,48,17,0,0,92,Stade Pierre Fabre,-1,NA,3,2026,,,,0,,0,,1001130,Adrien Marbot,1001250,Benoit Albert,1000705,Ludovic Carrillo,1000358,Laurent Sclafer,203,TOP 14,N,L,0,,0,
4,947939,32292,Alexandre Fischer,4850,Bayonne,4.04,6.24,5,1,8,57,19,48,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,503,3 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,11,11,3,3,2025-09-20T16:30:48Z,1,1,1,0,0,2050,Castres Olympique,4850,Bayonne,20/09/2025,18:30,19,3,48,17,0,0,92,Stade Pierre Fabre,-1,NA,3,2026,06,6,Blindside Flanker,0,,0,,1001130,Adrien Marbot,1001250,Benoit Albert,1000705,Ludovic Carrillo,1000358,Laurent Sclafer,203,TOP 14,N,L,19959,Tyler Ardron,2050,Castres Olympique
5,947939,19959,Tyler Ardron,2050,Castres Olympique,5.12,5.12,6,1,84,19,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-09-20T16:30:49Z,1,1,1,0,0,2050,Castres Olympique,4850,Bayonne,20/09/2025,18:30,19,3,48,17,0,0,92,Stade Pierre Fabre,-1,NA,3,2026,07,7,Openside Flanker,0,,0,,1001130,Adrien Marbot,1001250,Benoit Albert,1000705,Ludovic Carrillo,1000358,Laurent Sclafer,203,TOP 14,Y,W,32292,Alexandre Fischer,4850,Bayonne
6,947939,57305,Lois Guerois-Galisson,2050,Castres Olympique,6.08,6.08,7,1,84,19,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-09-20T16:30:50Z,1,1,1,0,0,2050,Castres Olympique,4850,Bayonne,20/09/2025,18:30,19,3,48,17,0,0,92,Stade Pierre Fabre,-1,NA,3,2026,01,1,Loosehead Prop,0,,0,,1001130,Adrien Marbot,1001250,Benoit Albert,1000705,Ludovic Carrillo,1000358,Laurent Sclafer,203,TOP 14,Y,W,32292,Alexandre Fischer,4850,Bayonne
7,947939,34244,Teddy Durand,2050,Castres Olympique,6.20,6.20,7,1,84,19,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,710,3rd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-09-20T16:30:50Z,1,1,1,0,0,2050,Castres Olympique,4850,Bayonne,20/09/2025,18:30,19,3,48,17,0,0,92,Stade Pierre Fabre,-1,NA,3,2026,02,2,Hooker,0,,0,,1001130,Adrien Marbot,1001250,Benoit Albert,1000705,Ludovic Carrillo,1000358,Laurent Sclafer,203,TOP 14,Y,W,32292,Alexandre Fischer,4850,Bayonne
8,947939,32292,Alexandre Fischer,4850,Bayonne,6.24,17.64,7,1,19,48,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-09-20T16:30:51Z,1,1,1,0,0,2050,Castres Olympique,4850,Bayonne,20/09/2025,18:30,19,3,48,17,0,0,92,Stade Pierre Fabre,-1,NA,3,2026,06,6,Blindside Flanker,0,,0,,1001130,Adrien Marbot,1001250,Benoit Albert,1000705,Ludovic Carrillo,1000358,Laurent Sclafer,203,TOP 14,N,L,25242,Herschel Jantjies,4850,Bayonne
9,947939,37963,Lucas Martin,4850,Bayonne,8.16,8.16,9,1,19,48,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-09-20T16:30:52Z,1,1,1,0,0,2050,Castres Olympique,4850,Bayonne,20/09/2025,18:30,19,3,48,17,0,0,92,Stade Pierre Fabre,-1,NA,3,2026,02,2,Hooker,0,,0,,1001130,Adrien Marbot,1001250,Benoit Albert,1000705,Ludovic Carrillo,1000358,Laurent Sclafer,203,TOP 14,N,L,0,,0,
