ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947942,39,,39,RC Toulon,0.00,3.12,1,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-08T15:32:26Z,0,0,0,0,0,39,RC Toulon,47,Stade Rochelais,08/11/2025,16:30,17,7,39,14,0,0,139,Stade Mayol,-1,NA,3,2026,,,,0,,0,,1001130,Adrien Marbot,1000489,Thomas Charabas,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
1,947942,37347,Mateo Garcia,39,RC Toulon,0.00,3.12,1,1,49,34,64,54,14,Restart,281,50m Restart,287,Restart Own Error,289,Short,753,Kicked Right,796,Kick Receipt Contested,0,,0,,0,,0,,0,,15,26,21,0,2025-11-08T15:32:26Z,1,0,1,0,0,39,RC Toulon,47,Stade Rochelais,08/11/2025,16:30,17,7,39,14,0,0,139,Stade Mayol,-1,NA,3,2026,10,10,Fly Half,0,,0,,1001130,Adrien Marbot,1000489,Thomas Charabas,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
2,947942,23347,Quentin Lespiaucq,47,Stade Rochelais,3.00,3.00,4,1,38,17,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-08T15:32:26Z,1,0,1,0,0,39,RC Toulon,47,Stade Rochelais,08/11/2025,16:30,17,7,39,14,0,0,139,Stade Mayol,-1,NA,3,2026,02,2,Hooker,0,,0,,1001130,Adrien Marbot,1000489,Thomas Charabas,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
3,947942,30676,Esteban Abadie,39,RC Toulon,3.12,3.12,5,1,64,54,0,0,18,Collection,275,Restart Catch,278,Fail,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-08T15:32:29Z,1,0,1,0,0,39,RC Toulon,47,Stade Rochelais,08/11/2025,16:30,17,7,39,14,0,0,139,Stade Mayol,-1,NA,3,2026,07,7,Openside Flanker,0,,0,,1001130,Adrien Marbot,1000489,Thomas Charabas,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
4,947942,30676,Esteban Abadie,39,RC Toulon,3.36,3.36,5,1,65,55,0,0,8,Turnover,254,Dropped Ball Unforced,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-08T15:32:29Z,1,0,1,0,0,39,RC Toulon,47,Stade Rochelais,08/11/2025,16:30,17,7,39,14,0,0,139,Stade Mayol,-1,NA,3,2026,07,7,Openside Flanker,0,,0,,1001130,Adrien Marbot,1000489,Thomas Charabas,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
5,947942,29828,Thomas Lavault,47,Stade Rochelais,3.68,3.68,5,1,34,13,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-08T15:32:29Z,1,1,1,0,0,39,RC Toulon,47,Stade Rochelais,08/11/2025,16:30,17,7,39,14,0,0,139,Stade Mayol,-1,NA,3,2026,04,4,Lock (4),0,,0,,1001130,Adrien Marbot,1000489,Thomas Charabas,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
6,947942,29828,Thomas Lavault,47,Stade Rochelais,3.68,5.76,5,1,34,13,39,16,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,2,2,2025-11-08T15:32:29Z,1,1,1,0,0,39,RC Toulon,47,Stade Rochelais,08/11/2025,16:30,17,7,39,14,0,0,139,Stade Mayol,-1,NA,3,2026,04,4,Lock (4),0,,0,,1001130,Adrien Marbot,1000489,Thomas Charabas,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,N,L,27318,Daniel Brennan,39,RC Toulon,8
7,947942,0,,47,Stade Rochelais,3.88,3.88,5,1,40,16,0,0,20,Ref Review,245,Advantage,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-08T15:32:27Z,1,1,1,0,0,39,RC Toulon,47,Stade Rochelais,08/11/2025,16:30,17,7,39,14,0,0,139,Stade Mayol,-1,NA,3,2026,,,,0,,0,,1001130,Adrien Marbot,1000489,Thomas Charabas,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
8,947942,27318,Daniel Brennan,39,RC Toulon,4.84,4.84,6,1,63,52,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-11-08T15:32:31Z,1,1,1,0,0,39,RC Toulon,47,Stade Rochelais,08/11/2025,16:30,17,7,39,14,0,0,139,Stade Mayol,-1,NA,3,2026,01,1,Loosehead Prop,0,,0,,1001130,Adrien Marbot,1000489,Thomas Charabas,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,29828,Thomas Lavault,47,Stade Rochelais,6
9,947942,29828,Thomas Lavault,47,Stade Rochelais,5.76,9.20,7,1,39,16,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-14,5,2025-11-08T15:32:32Z,1,1,1,0,0,39,RC Toulon,47,Stade Rochelais,08/11/2025,16:30,17,7,39,14,0,0,139,Stade Mayol,-1,NA,3,2026,04,4,Lock (4),0,,0,,1001130,Adrien Marbot,1000489,Thomas Charabas,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,N,L,33163,Thomas Berjon,47,Stade Rochelais,13
