ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,947948,1600,,1600,Stade Francais Paris,0.00,2.96,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-27T12:29:51Z,0,0,0,0,0,1600,Stade Francais Paris,38,Union Bordeaux-Begles,27/09/2025,14:30,18,0,28,7,0,0,79,Stade Jean Bouin,-1,NA,4,2026,,,,0,,0,,1000565,Luc Ramos,1000931,Stephane Coulon,1001211,Stephane Crapoix,86,Christophe Berdos,203,TOP 14,Y,W,0,,0,
1,947948,29429,Louis Carbonel,1600,Stade Francais Paris,0.00,2.96,1,1,50,34,79,15,14,Restart,281,50m Restart,285,Restart Opp Error,288,Long,752,Kicked Left,796,Kick Receipt Contested,0,,0,,0,,0,,0,,29,35,20,0,2025-09-27T12:29:51Z,1,1,1,0,0,1600,Stade Francais Paris,38,Union Bordeaux-Begles,27/09/2025,14:30,18,0,28,7,0,0,79,Stade Jean Bouin,-1,NA,4,2026,10,10,Fly Half,0,,0,,1000565,Luc Ramos,1000931,Stephane Coulon,1001211,Stephane Crapoix,86,Christophe Berdos,203,TOP 14,Y,W,0,,0,
2,947948,0,,1600,Stade Francais Paris,0.00,2.16,3,1,50,34,50,34,15,Possession,350,50m Restart Retained,351,Kick in Play,0,,683,Enters into Opposition 22,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-27T12:29:51Z,12,2,1,0,0,1600,Stade Francais Paris,38,Union Bordeaux-Begles,27/09/2025,14:30,18,0,28,7,0,0,79,Stade Jean Bouin,-1,NA,4,2026,,,,0,,0,,1000565,Luc Ramos,1000931,Stephane Coulon,1001211,Stephane Crapoix,86,Christophe Berdos,203,TOP 14,Y,W,0,,0,
3,947948,28883,Yoan Tanga,1600,Stade Francais Paris,2.92,2.92,4,1,78,16,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-27T12:29:52Z,1,1,1,0,0,1600,Stade Francais Paris,38,Union Bordeaux-Begles,27/09/2025,14:30,18,0,28,7,0,0,79,Stade Jean Bouin,-1,NA,4,2026,08,8,Number 8,0,,0,,1000565,Luc Ramos,1000931,Stephane Coulon,1001211,Stephane Crapoix,86,Christophe Berdos,203,TOP 14,Y,W,0,,0,
4,947948,24987,Boris Palu,38,Union Bordeaux-Begles,2.96,2.96,4,1,21,53,0,0,18,Collection,275,Restart Catch,278,Fail,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-27T12:29:53Z,1,1,1,0,0,1600,Stade Francais Paris,38,Union Bordeaux-Begles,27/09/2025,14:30,18,0,28,7,0,0,79,Stade Jean Bouin,-1,NA,4,2026,04,4,Lock (4),0,,0,,1000565,Luc Ramos,1000931,Stephane Coulon,1001211,Stephane Crapoix,86,Christophe Berdos,203,TOP 14,N,L,0,,0,
5,947948,24987,Boris Palu,38,Union Bordeaux-Begles,3.00,3.00,4,1,23,52,0,0,8,Turnover,254,Dropped Ball Unforced,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-27T12:29:54Z,1,1,1,0,0,1600,Stade Francais Paris,38,Union Bordeaux-Begles,27/09/2025,14:30,18,0,28,7,0,0,79,Stade Jean Bouin,-1,NA,4,2026,04,4,Lock (4),0,,0,,1000565,Luc Ramos,1000931,Stephane Coulon,1001211,Stephane Crapoix,86,Christophe Berdos,203,TOP 14,N,L,0,,0,
6,947948,37804,Giacomo Nicotera,1600,Stade Francais Paris,4.84,4.84,6,1,79,16,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-27T12:29:55Z,1,2,1,0,0,1600,Stade Francais Paris,38,Union Bordeaux-Begles,27/09/2025,14:30,18,0,28,7,0,0,79,Stade Jean Bouin,-1,NA,4,2026,02,2,Hooker,0,,0,,1000565,Luc Ramos,1000931,Stephane Coulon,1001211,Stephane Crapoix,86,Christophe Berdos,203,TOP 14,Y,W,0,,0,
7,947948,0,,1600,Stade Francais Paris,4.84,64.92,6,1,79,16,75,45,46,Attacking 22 Entry,639,22 Entry Outcome - Kick Turnover,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-09-27T12:29:55Z,1,2,1,0,0,1600,Stade Francais Paris,38,Union Bordeaux-Begles,27/09/2025,14:30,18,0,28,7,0,0,79,Stade Jean Bouin,-1,NA,4,2026,,,,0,,0,,1000565,Luc Ramos,1000931,Stephane Coulon,1001211,Stephane Crapoix,86,Christophe Berdos,203,TOP 14,Y,W,0,,0,
8,947948,37804,Giacomo Nicotera,1600,Stade Francais Paris,4.88,9.56,6,1,77,15,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,665,Close Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,5,8,2025-09-27T12:29:55Z,1,2,1,0,0,1600,Stade Francais Paris,38,Union Bordeaux-Begles,27/09/2025,14:30,18,0,28,7,0,0,79,Stade Jean Bouin,-1,NA,4,2026,02,2,Hooker,0,,0,,1000565,Luc Ramos,1000931,Stephane Coulon,1001211,Stephane Crapoix,86,Christophe Berdos,203,TOP 14,Y,W,22244,Paul Gabrillagues,1600,Stade Francais Paris
9,947948,22057,Joe Marchant,1600,Stade Francais Paris,8.72,8.72,10,1,77,15,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-09-27T12:29:54Z,1,2,1,0,0,1600,Stade Francais Paris,38,Union Bordeaux-Begles,27/09/2025,14:30,18,0,28,7,0,0,79,Stade Jean Bouin,-1,NA,4,2026,11,11,Left Wing,0,,0,,1000565,Luc Ramos,1000931,Stephane Coulon,1001211,Stephane Crapoix,86,Christophe Berdos,203,TOP 14,Y,W,0,,0,
