ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947953,4850,,4850,Bayonne,0.00,1.92,0,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:26Z,0,0,0,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,,,,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
1,947953,31724,Joris Segonds,4850,Bayonne,0.00,1.92,0,1,49,35,66,48,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,17,21,13,0,2025-10-05T19:08:26Z,1,0,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,10,10,Fly Half,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
2,947953,18936,Pita Ahki,2350,Stade Toulousain,1.92,1.92,2,1,34,20,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:28Z,1,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,12,12,Inside Centre,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
3,947953,18936,Pita Ahki,2350,Stade Toulousain,1.92,4.68,2,1,34,20,34,21,1,Carry,105,Restart Return,108,Tackled Neutral,111,Failed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:28Z,1,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,12,12,Inside Centre,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,N,L,39354,Esteban Capilla,4850,Bayonne,4
4,947953,39354,Esteban Capilla,4850,Bayonne,2.96,2.96,3,1,66,48,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:29Z,1,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,07,7,Openside Flanker,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,Y,W,18936,Pita Ahki,2350,Stade Toulousain,3
5,947953,18936,Pita Ahki,2350,Stade Toulousain,4.68,7.28,5,1,34,21,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,9,2025-10-05T19:08:31Z,1,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,12,12,Inside Centre,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,N,L,31876,Paul Graou,2350,Stade Toulousain,10
6,947953,56890,Thomas Lacombre,2350,Stade Toulousain,4.72,4.72,5,1,34,21,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:31Z,1,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,02,2,Hooker,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
7,947953,21185,Dorian Aldegheri,2350,Stade Toulousain,5.32,5.32,5,1,34,21,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:31Z,1,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,03,3,Tighthead Prop,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
8,947953,22375,Facundo Bosch,4850,Bayonne,5.40,5.40,5,1,66,47,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,3,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:31Z,1,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,02,2,Hooker,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
9,947953,24490,Alexandre Roumat,2350,Stade Toulousain,5.44,5.44,5,1,34,21,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:31Z,1,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,07,7,Openside Flanker,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
10,947953,31876,Paul Graou,2350,Stade Toulousain,7.28,7.28,7,1,32,21,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:33Z,2,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,09,9,Scrum Half,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
11,947953,31876,Paul Graou,2350,Stade Toulousain,7.28,7.28,7,1,32,21,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:33Z,2,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,09,9,Scrum Half,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
12,947953,31876,Paul Graou,2350,Stade Toulousain,8.28,9.72,8,1,32,21,30,29,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,8,8,2,0,2025-10-05T19:08:34Z,2,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,09,9,Scrum Half,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,N,L,62467,Benjamin Bertrand,2350,Stade Toulousain,13
13,947953,62467,Benjamin Bertrand,2350,Stade Toulousain,9.72,9.72,10,1,30,29,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:36Z,2,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,01,1,Loosehead Prop,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
14,947953,62467,Benjamin Bertrand,2350,Stade Toulousain,9.72,9.72,10,1,30,29,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-05T19:08:36Z,2,1,1,0,0,4850,Bayonne,2350,Stade Toulousain,05/10/2025,21:05,16,16,40,26,0,0,150,Stade Jean Dauger,-1,NA,5,2026,01,1,Loosehead Prop,0,,0,,1000890,Jeremy Rozier,1001471,Cyrille Boulay,1000564,Jonathan Dufort,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
