ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947954,2050,,2050,Castres Olympique,0.00,4.88,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-04T14:36:43Z,0,0,0,0,0,2050,Castres Olympique,41,Racing 92,04/10/2025,16:35,6,6,20,16,0,0,92,Stade Pierre Fabre,-1,NA,5,2026,,,,0,,0,,1000489,Thomas Charabas,1000945,David Beun,1001254,Benjamin Hernandez,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
1,947954,60302,Louka Guilhot,2050,Castres Olympique,0.00,4.88,1,1,50,34,78,59,14,Restart,281,50m Restart,285,Restart Opp Error,288,Long,753,Kicked Right,796,Kick Receipt Contested,0,,0,,0,,0,,0,,29,38,25,0,2025-10-04T14:36:43Z,1,1,1,0,0,2050,Castres Olympique,41,Racing 92,04/10/2025,16:35,6,6,20,16,0,0,92,Stade Pierre Fabre,-1,NA,5,2026,10,10,Fly Half,0,,0,,1000489,Thomas Charabas,1000945,David Beun,1001254,Benjamin Hernandez,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
2,947954,35279,Christian Ambadiang,2050,Castres Olympique,4.36,4.36,6,1,78,57,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-04T14:36:42Z,1,1,1,0,0,2050,Castres Olympique,41,Racing 92,04/10/2025,16:35,6,6,20,16,0,0,92,Stade Pierre Fabre,-1,NA,5,2026,14,14,Right Wing,0,,0,,1000489,Thomas Charabas,1000945,David Beun,1001254,Benjamin Hernandez,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
3,947954,38611,Maxime Baudonne,41,Racing 92,4.88,4.88,6,1,22,9,0,0,18,Collection,275,Restart Catch,278,Fail,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-04T14:36:47Z,1,1,1,0,0,2050,Castres Olympique,41,Racing 92,04/10/2025,16:35,6,6,20,16,0,0,92,Stade Pierre Fabre,-1,NA,5,2026,06,6,Blindside Flanker,0,,0,,1000489,Thomas Charabas,1000945,David Beun,1001254,Benjamin Hernandez,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
4,947954,19126,Nathan Hughes,41,Racing 92,5.00,5.00,6,1,21,9,0,0,18,Collection,274,Defensive Loose Ball,278,Fail,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-04T14:36:48Z,1,1,1,0,0,2050,Castres Olympique,41,Racing 92,04/10/2025,16:35,6,6,20,16,0,0,92,Stade Pierre Fabre,-1,NA,5,2026,08,8,Number 8,0,,0,,1000489,Thomas Charabas,1000945,David Beun,1001254,Benjamin Hernandez,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
5,947954,19126,Nathan Hughes,41,Racing 92,5.04,5.04,6,1,21,9,0,0,8,Turnover,254,Dropped Ball Unforced,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-04T14:36:48Z,1,1,1,0,0,2050,Castres Olympique,41,Racing 92,04/10/2025,16:35,6,6,20,16,0,0,92,Stade Pierre Fabre,-1,NA,5,2026,08,8,Number 8,0,,0,,1000489,Thomas Charabas,1000945,David Beun,1001254,Benjamin Hernandez,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
6,947954,37417,Adam Vargas,2050,Castres Olympique,5.60,5.60,7,1,79,58,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-04T14:36:49Z,1,1,1,0,0,2050,Castres Olympique,41,Racing 92,04/10/2025,16:35,6,6,20,16,0,0,92,Stade Pierre Fabre,-1,NA,5,2026,11,11,Left Wing,0,,0,,1000489,Thomas Charabas,1000945,David Beun,1001254,Benjamin Hernandez,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
7,947954,0,,2050,Castres Olympique,5.60,142.16,7,1,79,58,77,51,46,Attacking 22 Entry,642,22 Entry Outcome - Penalty Goal Attempt,648,22 Entry Points - Penalty Goal,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-04T14:36:49Z,1,1,1,0,0,2050,Castres Olympique,41,Racing 92,04/10/2025,16:35,6,6,20,16,0,0,92,Stade Pierre Fabre,-1,NA,5,2026,,,,0,,0,,1000489,Thomas Charabas,1000945,David Beun,1001254,Benjamin Hernandez,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
8,947954,37417,Adam Vargas,2050,Castres Olympique,6.36,9.00,8,1,81,58,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,6,2025-10-04T14:36:50Z,1,1,1,0,0,2050,Castres Olympique,41,Racing 92,04/10/2025,16:35,6,6,20,16,0,0,92,Stade Pierre Fabre,-1,NA,5,2026,11,11,Left Wing,0,,0,,1000489,Thomas Charabas,1000945,David Beun,1001254,Benjamin Hernandez,192,Philippe Bonhoure,203,TOP 14,Y,W,25241,Santiago Arata,2050,Castres Olympique,11
9,947954,20437,Mathieu Babillot,2050,Castres Olympique,8.16,8.16,9,1,81,58,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-10-04T14:36:49Z,1,1,1,0,0,2050,Castres Olympique,41,Racing 92,04/10/2025,16:35,6,6,20,16,0,0,92,Stade Pierre Fabre,-1,NA,5,2026,06,6,Blindside Flanker,0,,0,,1000489,Thomas Charabas,1000945,David Beun,1001254,Benjamin Hernandez,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
