ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947957,38,,38,Union Bordeaux-Begles,0.00,4.24,0,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-04T19:00:21Z,0,0,0,0,0,38,Union Bordeaux-Begles,45,Lyon,04/10/2025,21:00,17,13,32,20,0,0,3,Stade Chaban-Delmas,-1,NA,5,2026,,,,0,,0,,1000438,Tual Trainini,1001211,Stephane Crapoix,1001477,Evan Urruzmendi,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,,
1,947957,28275,Matthieu Jalibert,38,Union Bordeaux-Begles,0.00,4.24,0,1,49,35,81,61,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,32,42,27,0,2025-10-04T19:00:21Z,1,0,1,0,0,38,Union Bordeaux-Begles,45,Lyon,04/10/2025,21:00,17,13,32,20,0,0,3,Stade Chaban-Delmas,-1,NA,5,2026,10,10,Fly Half,0,,0,,1000438,Tual Trainini,1001211,Stephane Crapoix,1001477,Evan Urruzmendi,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,,
2,947957,20339,Sam Simmonds,45,Lyon,4.24,4.24,4,1,19,7,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-04T19:00:25Z,1,1,1,0,0,38,Union Bordeaux-Begles,45,Lyon,04/10/2025,21:00,17,13,32,20,0,0,3,Stade Chaban-Delmas,-1,NA,5,2026,08,8,Number 8,0,,0,,1000438,Tual Trainini,1001211,Stephane Crapoix,1001477,Evan Urruzmendi,137,Jean-Luc Rebollal,203,TOP 14,N,L,0,,0,,
3,947957,0,,45,Lyon,4.24,4.24,4,1,19,7,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,35,0,0,0,2025-10-04T19:00:25Z,1,1,1,0,0,38,Union Bordeaux-Begles,45,Lyon,04/10/2025,21:00,17,13,32,20,0,0,3,Stade Chaban-Delmas,-1,NA,5,2026,,,,0,,0,,1000438,Tual Trainini,1001211,Stephane Crapoix,1001477,Evan Urruzmendi,137,Jean-Luc Rebollal,203,TOP 14,N,L,0,,0,,
4,947957,20339,Sam Simmonds,45,Lyon,4.24,5.68,4,1,19,7,17,9,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2025-10-04T19:00:25Z,1,1,1,0,0,38,Union Bordeaux-Begles,45,Lyon,04/10/2025,21:00,17,13,32,20,0,0,3,Stade Chaban-Delmas,-1,NA,5,2026,08,8,Number 8,0,,0,,1000438,Tual Trainini,1001211,Stephane Crapoix,1001477,Evan Urruzmendi,137,Jean-Luc Rebollal,203,TOP 14,N,L,23276,Damian Penaud,38,Union Bordeaux-Begles,5
5,947957,23276,Damian Penaud,38,Union Bordeaux-Begles,4.60,4.60,5,1,81,60,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-10-04T19:00:26Z,1,1,1,0,0,38,Union Bordeaux-Begles,45,Lyon,04/10/2025,21:00,17,13,32,20,0,0,3,Stade Chaban-Delmas,-1,NA,5,2026,14,14,Right Wing,0,,0,,1000438,Tual Trainini,1001211,Stephane Crapoix,1001477,Evan Urruzmendi,137,Jean-Luc Rebollal,203,TOP 14,Y,W,20339,Sam Simmonds,45,Lyon,4
6,947957,20339,Sam Simmonds,45,Lyon,5.68,9.36,6,1,17,9,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-10-04T19:00:27Z,1,1,1,0,0,38,Union Bordeaux-Begles,45,Lyon,04/10/2025,21:00,17,13,32,20,0,0,3,Stade Chaban-Delmas,-1,NA,5,2026,08,8,Number 8,0,,0,,1000438,Tual Trainini,1001211,Stephane Crapoix,1001477,Evan Urruzmendi,137,Jean-Luc Rebollal,203,TOP 14,N,L,60315,Esteban Gonzalez,45,Lyon,15
7,947957,23276,Damian Penaud,38,Union Bordeaux-Begles,5.76,5.76,6,1,83,59,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2025-10-04T19:00:23Z,1,1,1,0,0,38,Union Bordeaux-Begles,45,Lyon,04/10/2025,21:00,17,13,32,20,0,0,3,Stade Chaban-Delmas,-1,NA,5,2026,14,14,Right Wing,0,,0,,1000438,Tual Trainini,1001211,Stephane Crapoix,1001477,Evan Urruzmendi,137,Jean-Luc Rebollal,203,TOP 14,Y,W,0,,0,,
8,947957,36858,Theo William,45,Lyon,5.80,5.80,6,1,17,9,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-10-04T19:00:23Z,1,1,1,0,0,38,Union Bordeaux-Begles,45,Lyon,04/10/2025,21:00,17,13,32,20,0,0,3,Stade Chaban-Delmas,-1,NA,5,2026,04,4,Lock (4),0,,0,,1000438,Tual Trainini,1001211,Stephane Crapoix,1001477,Evan Urruzmendi,137,Jean-Luc Rebollal,203,TOP 14,N,L,0,,0,,
9,947957,29583,Guillaume Marchand,45,Lyon,5.84,5.84,6,1,17,9,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2025-10-04T19:00:23Z,1,1,1,0,0,38,Union Bordeaux-Begles,45,Lyon,04/10/2025,21:00,17,13,32,20,0,0,3,Stade Chaban-Delmas,-1,NA,5,2026,02,2,Hooker,0,,0,,1000438,Tual Trainini,1001211,Stephane Crapoix,1001477,Evan Urruzmendi,137,Jean-Luc Rebollal,203,TOP 14,N,L,0,,0,,
