ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947963,1600,,1600,Stade Francais Paris,0.00,4.04,0,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-11T14:37:01Z,0,0,0,0,0,1600,Stade Francais Paris,47,Stade Rochelais,11/10/2025,16:35,7,6,26,24,0,0,79,Stade Jean Bouin,-1,NA,6,2026,,,,0,,0,,1001477,Evan Urruzmendi,1001250,Benoit Albert,1000416,Vincent Blasco,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,,
1,947963,29429,Louis Carbonel,1600,Stade Francais Paris,0.00,4.04,0,1,50,35,74,15,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,796,Kick Receipt Contested,0,,0,,0,,0,,0,,24,32,22,0,2025-10-11T14:37:01Z,1,0,1,0,0,1600,Stade Francais Paris,47,Stade Rochelais,11/10/2025,16:35,7,6,26,24,0,0,79,Stade Jean Bouin,-1,NA,6,2026,10,10,Fly Half,0,,0,,1001477,Evan Urruzmendi,1001250,Benoit Albert,1000416,Vincent Blasco,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,,
2,947963,29791,Samuel Ezeala,1600,Stade Francais Paris,3.52,3.52,3,1,72,23,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-11T14:37:00Z,1,0,1,0,0,1600,Stade Francais Paris,47,Stade Rochelais,11/10/2025,16:35,7,6,26,24,0,0,79,Stade Jean Bouin,-1,NA,6,2026,11,11,Left Wing,0,,0,,1001477,Evan Urruzmendi,1001250,Benoit Albert,1000416,Vincent Blasco,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,,
3,947963,22713,Ultan Dillane,47,Stade Rochelais,4.04,4.04,4,1,26,53,0,0,18,Collection,275,Restart Catch,278,Fail,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-11T14:37:05Z,1,0,1,0,0,1600,Stade Francais Paris,47,Stade Rochelais,11/10/2025,16:35,7,6,26,24,0,0,79,Stade Jean Bouin,-1,NA,6,2026,04,4,Lock (4),0,,0,,1001477,Evan Urruzmendi,1001250,Benoit Albert,1000416,Vincent Blasco,197,Cedric Marchat,203,TOP 14,N,L,0,,0,,
4,947963,37907,Suliasi Vunivalu,47,Stade Rochelais,4.88,4.88,5,1,24,54,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-11T14:37:06Z,1,1,1,0,0,1600,Stade Francais Paris,47,Stade Rochelais,11/10/2025,16:35,7,6,26,24,0,0,79,Stade Jean Bouin,-1,NA,6,2026,14,14,Right Wing,0,,0,,1001477,Evan Urruzmendi,1001250,Benoit Albert,1000416,Vincent Blasco,197,Cedric Marchat,203,TOP 14,N,L,0,,0,,
5,947963,37907,Suliasi Vunivalu,47,Stade Rochelais,4.88,7.56,5,1,24,54,26,51,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2025-10-11T14:37:06Z,1,1,1,0,0,1600,Stade Francais Paris,47,Stade Rochelais,11/10/2025,16:35,7,6,26,24,0,0,79,Stade Jean Bouin,-1,NA,6,2026,14,14,Right Wing,0,,0,,1001477,Evan Urruzmendi,1001250,Benoit Albert,1000416,Vincent Blasco,197,Cedric Marchat,203,TOP 14,N,L,37804,Giacomo Nicotera,1600,Stade Francais Paris,6
6,947963,37804,Giacomo Nicotera,1600,Stade Francais Paris,7.40,7.40,7,1,75,17,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-10-11T14:37:08Z,1,1,1,0,0,1600,Stade Francais Paris,47,Stade Rochelais,11/10/2025,16:35,7,6,26,24,0,0,79,Stade Jean Bouin,-1,NA,6,2026,02,2,Hooker,0,,0,,1001477,Evan Urruzmendi,1001250,Benoit Albert,1000416,Vincent Blasco,197,Cedric Marchat,203,TOP 14,Y,W,37907,Suliasi Vunivalu,47,Stade Rochelais,5
7,947963,22244,Paul Gabrillagues,1600,Stade Francais Paris,7.52,7.52,7,1,75,17,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-10-11T14:37:09Z,1,1,1,0,0,1600,Stade Francais Paris,47,Stade Rochelais,11/10/2025,16:35,7,6,26,24,0,0,79,Stade Jean Bouin,-1,NA,6,2026,04,4,Lock (4),0,,0,,1001477,Evan Urruzmendi,1001250,Benoit Albert,1000416,Vincent Blasco,197,Cedric Marchat,203,TOP 14,Y,W,37907,Suliasi Vunivalu,47,Stade Rochelais,5
8,947963,37907,Suliasi Vunivalu,47,Stade Rochelais,7.56,15.08,7,1,26,51,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,670,Tight Right Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-10-11T14:37:09Z,1,1,1,0,0,1600,Stade Francais Paris,47,Stade Rochelais,11/10/2025,16:35,7,6,26,24,0,0,79,Stade Jean Bouin,-1,NA,6,2026,14,14,Right Wing,0,,0,,1001477,Evan Urruzmendi,1001250,Benoit Albert,1000416,Vincent Blasco,197,Cedric Marchat,203,TOP 14,N,L,36660,Nolann Le Garrec,47,Stade Rochelais,15
9,947963,57628,Semi Lagivala,47,Stade Rochelais,8.60,8.60,8,1,26,51,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-10-11T14:37:10Z,1,1,1,0,0,1600,Stade Francais Paris,47,Stade Rochelais,11/10/2025,16:35,7,6,26,24,0,0,79,Stade Jean Bouin,-1,NA,6,2026,13,13,Outside Centre,0,,0,,1001477,Evan Urruzmendi,1001250,Benoit Albert,1000416,Vincent Blasco,197,Cedric Marchat,203,TOP 14,N,L,0,,0,,
