ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947975,41,,41,Racing 92,0.00,3.56,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:49Z,0,0,0,0,0,41,Racing 92,3450,Section Paloise,25/10/2025,16:35,6,10,15,10,0,0,1463,Stade Dominique Duvauchelle,-1,NA,8,2026,,,,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1000421,Mathieu Noirot,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
1,947975,64609,Ugo Seunes,41,Racing 92,0.00,3.56,1,1,50,34,92,63,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,42,51,30,0,2025-10-25T14:35:49Z,1,0,1,0,0,41,Racing 92,3450,Section Paloise,25/10/2025,16:35,6,10,15,10,0,0,1463,Stade Dominique Duvauchelle,-1,NA,8,2026,10,10,Fly Half,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1000421,Mathieu Noirot,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
2,947975,19760,Facundo Isa,3450,Section Paloise,3.56,3.56,4,1,8,5,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:52Z,1,1,1,0,0,41,Racing 92,3450,Section Paloise,25/10/2025,16:35,6,10,15,10,0,0,1463,Stade Dominique Duvauchelle,-1,NA,8,2026,08,8,Number 8,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1000421,Mathieu Noirot,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
3,947975,0,,3450,Section Paloise,3.56,3.56,4,1,8,5,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,59,0,0,0,2025-10-25T14:35:52Z,1,1,1,0,0,41,Racing 92,3450,Section Paloise,25/10/2025,16:35,6,10,15,10,0,0,1463,Stade Dominique Duvauchelle,-1,NA,8,2026,,,,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1000421,Mathieu Noirot,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
4,947975,19760,Facundo Isa,3450,Section Paloise,3.56,6.52,4,1,8,5,12,7,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,2,2,2025-10-25T14:35:52Z,1,1,1,0,0,41,Racing 92,3450,Section Paloise,25/10/2025,16:35,6,10,15,10,0,0,1463,Stade Dominique Duvauchelle,-1,NA,8,2026,08,8,Number 8,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1000421,Mathieu Noirot,1000193,Denis Grenouillet,203,TOP 14,N,L,61287,Shingi Manyarara,41,Racing 92,5
5,947975,61287,Shingi Manyarara,41,Racing 92,5.32,5.32,6,1,90,62,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:54Z,1,1,1,0,0,41,Racing 92,3450,Section Paloise,25/10/2025,16:35,6,10,15,10,0,0,1463,Stade Dominique Duvauchelle,-1,NA,8,2026,07,7,Openside Flanker,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1000421,Mathieu Noirot,1000193,Denis Grenouillet,203,TOP 14,Y,W,19760,Facundo Isa,3450,Section Paloise,4
6,947975,19760,Facundo Isa,3450,Section Paloise,6.52,13.64,7,1,12,7,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,669,Tight Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:55Z,1,1,1,0,0,41,Racing 92,3450,Section Paloise,25/10/2025,16:35,6,10,15,10,0,0,1463,Stade Dominique Duvauchelle,-1,NA,8,2026,08,8,Number 8,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1000421,Mathieu Noirot,1000193,Denis Grenouillet,203,TOP 14,N,L,21652,Thibault Daubagna,3450,Section Paloise,11
7,947975,39715,Hugo Parrou,3450,Section Paloise,7.36,7.36,8,1,12,7,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:49Z,1,1,1,0,0,41,Racing 92,3450,Section Paloise,25/10/2025,16:35,6,10,15,10,0,0,1463,Stade Dominique Duvauchelle,-1,NA,8,2026,01,1,Loosehead Prop,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1000421,Mathieu Noirot,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
8,947975,24932,Thomas Jolmes,3450,Section Paloise,8.12,8.12,9,1,12,7,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:50Z,1,1,1,0,0,41,Racing 92,3450,Section Paloise,25/10/2025,16:35,6,10,15,10,0,0,1463,Stade Dominique Duvauchelle,-1,NA,8,2026,04,4,Lock (4),0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1000421,Mathieu Noirot,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
9,947975,21948,Siate Tokolahi,3450,Section Paloise,10.28,10.28,11,1,12,7,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:52Z,1,1,1,0,0,41,Racing 92,3450,Section Paloise,25/10/2025,16:35,6,10,15,10,0,0,1463,Stade Dominique Duvauchelle,-1,NA,8,2026,03,3,Tighthead Prop,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1000421,Mathieu Noirot,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
