ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947979,4900,,4900,US Montauban,0.00,4.04,0,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:23Z,0,0,0,0,0,4900,US Montauban,1650,USAP,25/10/2025,16:35,17,15,29,22,0,0,88,Stade Sapiac,-1,NA,8,2026,,,,0,,0,,1000438,Tual Trainini,1000328,Stephane Boyer,1000931,Stephane Coulon,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
1,947979,19637,Tommaso Allan,1650,USAP,0.00,4.04,0,1,50,35,74,51,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,796,Kick Receipt Contested,0,,0,,0,,0,,0,,24,30,17,0,2025-10-25T14:35:23Z,1,0,1,0,0,4900,US Montauban,1650,USAP,25/10/2025,16:35,17,15,29,22,0,0,88,Stade Sapiac,-1,NA,8,2026,15,15,Full Back,0,,0,,1000438,Tual Trainini,1000328,Stephane Boyer,1000931,Stephane Coulon,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,,
2,947979,25876,Jordan Petaia,1650,USAP,3.56,3.56,4,1,74,51,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:23Z,1,0,1,0,0,4900,US Montauban,1650,USAP,25/10/2025,16:35,17,15,29,22,0,0,88,Stade Sapiac,-1,NA,8,2026,13,13,Outside Centre,0,,0,,1000438,Tual Trainini,1000328,Stephane Boyer,1000931,Stephane Coulon,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,,
3,947979,29742,Tavite Veredamu,1650,USAP,3.76,3.76,4,1,74,51,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:23Z,1,0,1,0,0,4900,US Montauban,1650,USAP,25/10/2025,16:35,17,15,29,22,0,0,88,Stade Sapiac,-1,NA,8,2026,14,14,Right Wing,0,,0,,1000438,Tual Trainini,1000328,Stephane Boyer,1000931,Stephane Coulon,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,,
4,947979,39551,Kyllian Ringuet,4900,US Montauban,4.04,4.04,5,1,26,17,0,0,18,Collection,275,Restart Catch,278,Fail,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:28Z,1,0,1,0,0,4900,US Montauban,1650,USAP,25/10/2025,16:35,17,15,29,22,0,0,88,Stade Sapiac,-1,NA,8,2026,07,7,Openside Flanker,0,,0,,1000438,Tual Trainini,1000328,Stephane Boyer,1000931,Stephane Coulon,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
5,947979,37427,Paul Vallee,4900,US Montauban,4.48,4.48,5,1,25,16,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:28Z,1,1,1,0,0,4900,US Montauban,1650,USAP,25/10/2025,16:35,17,15,29,22,0,0,88,Stade Sapiac,-1,NA,8,2026,11,11,Left Wing,0,,0,,1000438,Tual Trainini,1000328,Stephane Boyer,1000931,Stephane Coulon,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
6,947979,37427,Paul Vallee,4900,US Montauban,4.48,5.32,5,1,25,16,26,14,1,Carry,105,Restart Return,118,Other,109,Crossed Gain line,0,,500,0 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,0,0,2025-10-25T14:35:28Z,1,1,1,0,0,4900,US Montauban,1650,USAP,25/10/2025,16:35,17,15,29,22,0,0,88,Stade Sapiac,-1,NA,8,2026,11,11,Left Wing,0,,0,,1000438,Tual Trainini,1000328,Stephane Boyer,1000931,Stephane Coulon,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
7,947979,37427,Paul Vallee,4900,US Montauban,5.32,11.64,6,1,26,14,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,0,6,2025-10-25T14:35:29Z,1,1,1,0,0,4900,US Montauban,1650,USAP,25/10/2025,16:35,17,15,29,22,0,0,88,Stade Sapiac,-1,NA,8,2026,11,11,Left Wing,0,,0,,1000438,Tual Trainini,1000328,Stephane Boyer,1000931,Stephane Coulon,193,Patrick Pechambert,203,TOP 14,Y,W,21786,Joe Powell,4900,US Montauban,12
8,947979,37976,Nafi Ma'afu,4900,US Montauban,5.64,5.64,6,1,26,14,0,0,43,Ruck OOA,575,Attended,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:23Z,1,1,1,0,0,4900,US Montauban,1650,USAP,25/10/2025,16:35,17,15,29,22,0,0,88,Stade Sapiac,-1,NA,8,2026,05,5,Lock (5),0,,0,,1000438,Tual Trainini,1000328,Stephane Boyer,1000931,Stephane Coulon,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
9,947979,39551,Kyllian Ringuet,4900,US Montauban,8.08,8.08,9,1,26,14,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-10-25T14:35:25Z,1,1,1,0,0,4900,US Montauban,1650,USAP,25/10/2025,16:35,17,15,29,22,0,0,88,Stade Sapiac,-1,NA,8,2026,07,7,Openside Flanker,0,,0,,1000438,Tual Trainini,1000328,Stephane Boyer,1000931,Stephane Coulon,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
