ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947989,1600,,1600,Stade Francais Paris,0.00,6.08,0,1,49,30,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-23T20:08:28Z,0,0,0,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,,,,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
1,947989,36847,Melvyn Jaminet,39,RC Toulon,0.00,6.08,0,1,49,30,83,57,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,34,44,28,0,2025-11-23T20:08:28Z,1,0,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,15,15,Full Back,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
2,947989,31386,Romain Briatte,1600,Stade Francais Paris,6.08,6.08,6,1,17,11,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-23T20:08:34Z,1,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,07,7,Openside Flanker,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
3,947989,0,,1600,Stade Francais Paris,6.08,6.08,6,1,17,11,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,33,0,0,0,2025-11-23T20:08:34Z,1,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,,,,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
4,947989,31386,Romain Briatte,1600,Stade Francais Paris,6.64,24.24,6,1,19,11,0,0,24,Maul,0,,401,Won Outright,0,,0,,668,Tight Right Open Movement Maul,0,,0,,0,,0,,0,,0,0,-1,1,2025-11-23T20:08:35Z,1,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,07,7,Openside Flanker,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,17155,Tawera Kerr-Barlow,1600,Stade Francais Paris,5
5,947989,17155,Tawera Kerr-Barlow,1600,Stade Francais Paris,24.24,24.24,24,1,18,11,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-23T20:08:52Z,2,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,09,9,Scrum Half,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
6,947989,17155,Tawera Kerr-Barlow,1600,Stade Francais Paris,24.24,24.24,24,1,18,11,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-23T20:08:52Z,2,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,09,9,Scrum Half,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
7,947989,17155,Tawera Kerr-Barlow,1600,Stade Francais Paris,24.28,28.20,24,1,16,11,50,10,4,Kick,346,Box,198,Caught Full,186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,34,34,0,0,2025-11-23T20:08:52Z,2,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,09,9,Scrum Half,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
8,947989,0,,1600,Stade Francais Paris,6.08,28.20,28,1,17,11,50,10,15,Possession,307,50m Restart,351,Kick in Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,33,0,0,0,2025-11-23T20:08:34Z,2,1,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,,,,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
9,947989,37347,Mateo Garcia,39,RC Toulon,28.20,28.20,28,1,50,58,0,0,18,Collection,273,Defensive Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-23T20:08:56Z,1,2,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,10,10,Fly Half,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
10,947989,37347,Mateo Garcia,39,RC Toulon,28.84,30.72,28,1,51,58,50,53,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,5,5,1,0,2025-11-23T20:08:57Z,1,2,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,10,10,Fly Half,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,N,L,23662,Zach Mercer,39,RC Toulon,11
11,947989,23662,Zach Mercer,39,RC Toulon,30.72,30.72,30,1,50,53,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-23T20:08:59Z,1,2,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,08,8,Number 8,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
12,947989,23662,Zach Mercer,39,RC Toulon,30.72,32.52,30,1,50,53,53,56,1,Carry,104,Kick Return,119,Error,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,3,3,1,1,2025-11-23T20:08:59Z,1,2,1,0,0,1600,Stade Francais Paris,39,RC Toulon,23/11/2025,21:05,23,10,51,24,0,0,79,Stade Jean Bouin,-1,NA,10,2026,08,8,Number 8,0,,0,,1000489,Thomas Charabas,1001830,Julien Caulier,1000838,Thomas Chereque,192,Philippe Bonhoure,203,TOP 14,N,L,31386,Romain Briatte,1600,Stade Francais Paris,13
