ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947990,47,,47,Stade Rochelais,0.00,4.52,0,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-22T15:36:15Z,0,0,0,0,0,47,Stade Rochelais,2050,Castres Olympique,22/11/2025,16:35,10,13,17,19,0,0,211,Stade Marcel-Deflandre,-1,,10,2026,,,,0,,0,,1000550,Vivien Praderie,1001211,Stephane Crapoix,1001254,Benjamin Hernandez,137,Jean-Luc Rebollal,203,TOP 14,Y,L,0,,0,,
1,947990,25076,Antoine Hastoy,47,Stade Rochelais,0.00,4.52,0,1,49,35,84,17,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,35,40,19,0,2025-11-22T15:36:15Z,1,0,1,0,0,47,Stade Rochelais,2050,Castres Olympique,22/11/2025,16:35,10,13,17,19,0,0,211,Stade Marcel-Deflandre,-1,,10,2026,10,10,Fly Half,0,,0,,1000550,Vivien Praderie,1001211,Stephane Crapoix,1001254,Benjamin Hernandez,137,Jean-Luc Rebollal,203,TOP 14,Y,L,0,,0,,
2,947990,19959,Tyler Ardron,2050,Castres Olympique,4.52,4.52,4,1,17,51,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-22T15:36:20Z,1,1,1,0,0,47,Stade Rochelais,2050,Castres Olympique,22/11/2025,16:35,10,13,17,19,0,0,211,Stade Marcel-Deflandre,-1,,10,2026,08,8,Number 8,0,,0,,1000550,Vivien Praderie,1001211,Stephane Crapoix,1001254,Benjamin Hernandez,137,Jean-Luc Rebollal,203,TOP 14,N,W,0,,0,,
3,947990,0,,2050,Castres Olympique,4.52,4.52,4,1,17,51,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,34,0,0,0,2025-11-22T15:36:20Z,1,1,1,0,0,47,Stade Rochelais,2050,Castres Olympique,22/11/2025,16:35,10,13,17,19,0,0,211,Stade Marcel-Deflandre,-1,,10,2026,,,,0,,0,,1000550,Vivien Praderie,1001211,Stephane Crapoix,1001254,Benjamin Hernandez,137,Jean-Luc Rebollal,203,TOP 14,N,W,0,,0,,
4,947990,19959,Tyler Ardron,2050,Castres Olympique,4.52,7.04,4,1,17,51,21,51,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,1,1,2025-11-22T15:36:20Z,1,1,1,0,0,47,Stade Rochelais,2050,Castres Olympique,22/11/2025,16:35,10,13,17,19,0,0,211,Stade Marcel-Deflandre,-1,,10,2026,08,8,Number 8,0,,0,,1000550,Vivien Praderie,1001211,Stephane Crapoix,1001254,Benjamin Hernandez,137,Jean-Luc Rebollal,203,TOP 14,N,W,21371,Levani Botia,47,Stade Rochelais,5
5,947990,21371,Levani Botia,47,Stade Rochelais,6.56,6.56,6,1,80,17,0,0,2,Tackle,142,Chase,157,Pen Conceded,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-11-22T15:36:22Z,1,1,1,0,0,47,Stade Rochelais,2050,Castres Olympique,22/11/2025,16:35,10,13,17,19,0,0,211,Stade Marcel-Deflandre,-1,,10,2026,06,6,Blindside Flanker,0,,0,,1000550,Vivien Praderie,1001211,Stephane Crapoix,1001254,Benjamin Hernandez,137,Jean-Luc Rebollal,203,TOP 14,Y,L,19959,Tyler Ardron,2050,Castres Olympique,4
6,947990,29828,Thomas Lavault,47,Stade Rochelais,6.64,6.64,7,1,80,17,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-11-22T15:36:22Z,1,1,1,0,0,47,Stade Rochelais,2050,Castres Olympique,22/11/2025,16:35,10,13,17,19,0,0,211,Stade Marcel-Deflandre,-1,,10,2026,04,4,Lock (4),0,,0,,1000550,Vivien Praderie,1001211,Stephane Crapoix,1001254,Benjamin Hernandez,137,Jean-Luc Rebollal,203,TOP 14,Y,L,19959,Tyler Ardron,2050,Castres Olympique,4
7,947990,19959,Tyler Ardron,2050,Castres Olympique,7.04,10.16,7,1,21,51,0,0,23,Ruck,0,,403,Penalty Won,551,N/A Gainline,559,N/A Ruck Speed,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2025-11-22T15:36:22Z,1,1,1,0,0,47,Stade Rochelais,2050,Castres Olympique,22/11/2025,16:35,10,13,17,19,0,0,211,Stade Marcel-Deflandre,-1,,10,2026,08,8,Number 8,0,,0,,1000550,Vivien Praderie,1001211,Stephane Crapoix,1001254,Benjamin Hernandez,137,Jean-Luc Rebollal,203,TOP 14,N,W,0,,0,,
8,947990,31462,Florent Vanverberghe,2050,Castres Olympique,8.08,8.08,8,1,21,51,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-11-22T15:36:20Z,1,1,1,0,0,47,Stade Rochelais,2050,Castres Olympique,22/11/2025,16:35,10,13,17,19,0,0,211,Stade Marcel-Deflandre,-1,,10,2026,04,4,Lock (4),0,,0,,1000550,Vivien Praderie,1001211,Stephane Crapoix,1001254,Benjamin Hernandez,137,Jean-Luc Rebollal,203,TOP 14,N,W,0,,0,,
9,947990,34244,Teddy Durand,2050,Castres Olympique,8.16,8.16,8,1,21,51,0,0,43,Ruck OOA,575,Attended,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-11-22T15:36:20Z,1,1,1,0,0,47,Stade Rochelais,2050,Castres Olympique,22/11/2025,16:35,10,13,17,19,0,0,211,Stade Marcel-Deflandre,-1,,10,2026,02,2,Hooker,0,,0,,1000550,Vivien Praderie,1001211,Stephane Crapoix,1001254,Benjamin Hernandez,137,Jean-Luc Rebollal,203,TOP 14,N,W,0,,0,,
