ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947996,2050,,2050,Castres Olympique,0.00,4.52,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:07Z,0,0,0,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,,,,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
1,947996,9808,Benjamin Urdapilleta,1650,USAP,0.00,4.52,1,1,50,34,82,58,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,32,40,24,0,2025-11-29T15:36:07Z,1,0,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,10,10,Fly Half,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
2,947996,29452,Baptiste Delaporte,2050,Castres Olympique,4.52,4.52,5,1,18,10,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:12Z,1,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,07,7,Openside Flanker,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
3,947996,0,,2050,Castres Olympique,4.52,4.52,5,1,18,10,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,39,0,0,0,2025-11-29T15:36:12Z,1,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,,,,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
4,947996,29452,Baptiste Delaporte,2050,Castres Olympique,4.52,5.84,5,1,18,10,16,8,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:12Z,1,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,07,7,Openside Flanker,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,25876,Jordan Petaia,1650,USAP,5
5,947996,25876,Jordan Petaia,1650,USAP,4.60,4.60,6,1,82,58,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:12Z,1,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,14,14,Right Wing,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,N,L,29452,Baptiste Delaporte,2050,Castres Olympique,4
6,947996,29452,Baptiste Delaporte,2050,Castres Olympique,5.84,9.72,7,1,16,8,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,8,2025-11-29T15:36:17Z,1,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,07,7,Openside Flanker,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,36344,Jeremy Fernandez,2050,Castres Olympique,9
7,947996,22558,Aurelien Azar,2050,Castres Olympique,5.88,5.88,7,1,16,8,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:13Z,1,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,03,3,Tighthead Prop,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
8,947996,31462,Florent Vanverberghe,2050,Castres Olympique,6.52,6.52,7,1,16,8,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:14Z,1,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,05,5,Lock (5),0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
9,947996,36344,Jeremy Fernandez,2050,Castres Olympique,9.72,9.72,11,1,18,10,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:17Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,09,9,Scrum Half,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
10,947996,36344,Jeremy Fernandez,2050,Castres Olympique,9.72,9.72,11,1,18,10,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:17Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,09,9,Scrum Half,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
11,947996,36344,Jeremy Fernandez,2050,Castres Olympique,10.92,11.84,12,1,18,10,12,14,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,4,7,5,0,2025-11-29T15:36:18Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,09,9,Scrum Half,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,34470,Veresa Ramototabua,2050,Castres Olympique,12
12,947996,34470,Veresa Ramototabua,2050,Castres Olympique,11.84,11.84,13,1,12,14,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:19Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,08,8,Number 8,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
13,947996,34470,Veresa Ramototabua,2050,Castres Olympique,11.84,11.84,13,1,12,14,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:19Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,08,8,Number 8,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
14,947996,34470,Veresa Ramototabua,2050,Castres Olympique,11.84,14.00,13,1,12,14,18,16,1,Carry,101,One Out Drive,108,Tackled Neutral,110,Neutral Gain line,461,Neutral Contact,503,3 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,6,4,1,2025-11-29T15:36:19Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,08,8,Number 8,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,30670,Jacobus van Tonder,1650,USAP,21
15,947996,23485,Giorgi Tetrashvili,1650,USAP,12.04,12.04,13,1,86,53,0,0,2,Tackle,144,Line,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:19Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,01,1,Loosehead Prop,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,N,L,34470,Veresa Ramototabua,2050,Castres Olympique,14
16,947996,23485,Giorgi Tetrashvili,1650,USAP,12.04,12.04,13,1,86,53,0,0,12,Missed Tackle,162,Bumped Off,166,Tackled,0,,0,,0,,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:19Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,01,1,Loosehead Prop,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,N,L,34470,Veresa Ramototabua,2050,Castres Olympique,14
17,947996,34470,Veresa Ramototabua,2050,Castres Olympique,12.16,12.16,13,1,14,15,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:19Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,08,8,Number 8,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
18,947996,14979,Kieran Brookes,1650,USAP,12.20,12.20,13,1,86,53,0,0,2,Tackle,144,Line,161,Missed,441,Assist,475,Ineffective Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:19Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,03,3,Tighthead Prop,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,N,L,34470,Veresa Ramototabua,2050,Castres Olympique,14
19,947996,14979,Kieran Brookes,1650,USAP,12.20,12.20,13,1,86,53,0,0,12,Missed Tackle,162,Bumped Off,166,Tackled,0,,0,,0,,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:19Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,03,3,Tighthead Prop,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,N,L,34470,Veresa Ramototabua,2050,Castres Olympique,14
20,947996,34470,Veresa Ramototabua,2050,Castres Olympique,12.88,12.88,14,1,14,15,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:36:20Z,2,1,1,0,0,2050,Castres Olympique,1650,USAP,29/11/2025,16:35,7,7,23,7,0,0,92,Stade Pierre Fabre,-1,NA,11,2026,08,8,Number 8,0,,0,,1000416,Vincent Blasco,1000489,Thomas Charabas,-1,,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
