ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,947998,39,,39,RC Toulon,0.00,4.40,4,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:35:32Z,0,0,0,0,0,39,RC Toulon,4900,US Montauban,29/11/2025,16:35,33,7,54,28,0,0,139,Stade Mayol,-1,NA,11,2026,,,,0,,0,,1001130,Adrien Marbot,1001530,Anthony Lac,1001459,Benoit Lapassade,86,Christophe Berdos,203,TOP 14,Y,W,0,,0,,
1,947998,37347,Mateo Garcia,39,RC Toulon,0.00,4.40,4,1,50,34,81,58,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,32,40,25,0,2025-11-29T15:35:32Z,1,0,1,0,0,39,RC Toulon,4900,US Montauban,29/11/2025,16:35,33,7,54,28,0,0,139,Stade Mayol,-1,NA,11,2026,10,10,Fly Half,0,,0,,1001130,Adrien Marbot,1001530,Anthony Lac,1001459,Benoit Lapassade,86,Christophe Berdos,203,TOP 14,Y,W,0,,0,,
2,947998,37976,Nafi Ma'afu,4900,US Montauban,4.40,4.40,9,1,19,10,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:35:36Z,1,1,1,0,0,39,RC Toulon,4900,US Montauban,29/11/2025,16:35,33,7,54,28,0,0,139,Stade Mayol,-1,NA,11,2026,05,5,Lock (5),0,,0,,1001130,Adrien Marbot,1001530,Anthony Lac,1001459,Benoit Lapassade,86,Christophe Berdos,203,TOP 14,N,L,0,,0,,
3,947998,0,,4900,US Montauban,4.40,4.40,9,1,19,10,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,21,0,0,0,2025-11-29T15:35:36Z,1,1,1,0,0,39,RC Toulon,4900,US Montauban,29/11/2025,16:35,33,7,54,28,0,0,139,Stade Mayol,-1,NA,11,2026,,,,0,,0,,1001130,Adrien Marbot,1001530,Anthony Lac,1001459,Benoit Lapassade,86,Christophe Berdos,203,TOP 14,N,L,0,,0,,
4,947998,30676,Esteban Abadie,39,RC Toulon,5.28,5.28,9,1,81,58,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:35:37Z,1,1,1,0,0,39,RC Toulon,4900,US Montauban,29/11/2025,16:35,33,7,54,28,0,0,139,Stade Mayol,-1,NA,11,2026,07,7,Openside Flanker,0,,0,,1001130,Adrien Marbot,1001530,Anthony Lac,1001459,Benoit Lapassade,86,Christophe Berdos,203,TOP 14,Y,W,0,,0,,
5,947998,37976,Nafi Ma'afu,4900,US Montauban,8.12,17.60,12,1,19,10,0,0,24,Maul,0,,401,Won Outright,0,,0,,676,N/A Movement Maul,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:35:40Z,1,1,1,0,0,39,RC Toulon,4900,US Montauban,29/11/2025,16:35,33,7,54,28,0,0,139,Stade Mayol,-1,NA,11,2026,05,5,Lock (5),0,,0,,1001130,Adrien Marbot,1001530,Anthony Lac,1001459,Benoit Lapassade,86,Christophe Berdos,203,TOP 14,N,L,0,,0,,
6,947998,32271,Karl Wilkins,4900,US Montauban,17.60,17.60,22,1,19,8,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:35:49Z,2,1,1,0,0,39,RC Toulon,4900,US Montauban,29/11/2025,16:35,33,7,54,28,0,0,139,Stade Mayol,-1,NA,11,2026,08,8,Number 8,0,,0,,1001130,Adrien Marbot,1001530,Anthony Lac,1001459,Benoit Lapassade,86,Christophe Berdos,203,TOP 14,N,L,0,,0,,
7,947998,32271,Karl Wilkins,4900,US Montauban,19.04,27.52,23,1,19,8,0,0,23,Ruck,0,,401,Won Outright,550,Equal to Previous  Gainline,558,6+ Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,1,5,2025-11-29T15:35:51Z,2,1,1,0,0,39,RC Toulon,4900,US Montauban,29/11/2025,16:35,33,7,54,28,0,0,139,Stade Mayol,-1,NA,11,2026,08,8,Number 8,0,,0,,1001130,Adrien Marbot,1001530,Anthony Lac,1001459,Benoit Lapassade,86,Christophe Berdos,203,TOP 14,N,L,21786,Joe Powell,4900,US Montauban,11
8,947998,24607,David Ribbans,39,RC Toulon,19.40,19.40,24,1,82,60,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:35:43Z,2,1,1,0,0,39,RC Toulon,4900,US Montauban,29/11/2025,16:35,33,7,54,28,0,0,139,Stade Mayol,-1,NA,11,2026,04,4,Lock (4),0,,0,,1001130,Adrien Marbot,1001530,Anthony Lac,1001459,Benoit Lapassade,86,Christophe Berdos,203,TOP 14,Y,W,0,,0,,
9,947998,37976,Nafi Ma'afu,4900,US Montauban,21.28,21.28,25,1,19,8,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-11-29T15:35:45Z,2,1,1,0,0,39,RC Toulon,4900,US Montauban,29/11/2025,16:35,33,7,54,28,0,0,139,Stade Mayol,-1,NA,11,2026,05,5,Lock (5),0,,0,,1001130,Adrien Marbot,1001530,Anthony Lac,1001459,Benoit Lapassade,86,Christophe Berdos,203,TOP 14,N,L,0,,0,,
