ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948000,2350,,2350,Stade Toulousain,0.00,4.00,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T20:01:04Z,0,0,0,0,0,2350,Stade Toulousain,41,Racing 92,29/11/2025,21:00,15,3,48,24,0,0,83,Stade Ernest-Wallon,-1,NA,11,2026,,,,0,,0,,1000438,Tual Trainini,1000945,David Beun,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,,
1,948000,64609,Ugo Seunes,41,Racing 92,0.00,4.00,0,1,50,34,80,58,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,30,39,25,0,2025-11-29T20:01:04Z,1,0,1,0,0,2350,Stade Toulousain,41,Racing 92,29/11/2025,21:00,15,3,48,24,0,0,83,Stade Ernest-Wallon,-1,NA,11,2026,10,10,Fly Half,0,,0,,1000438,Tual Trainini,1000945,David Beun,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,N,L,0,,0,,
2,948000,37499,Leo Banos,2350,Stade Toulousain,4.00,4.00,4,1,20,10,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-11-29T20:01:08Z,1,1,1,0,0,2350,Stade Toulousain,41,Racing 92,29/11/2025,21:00,15,3,48,24,0,0,83,Stade Ernest-Wallon,-1,NA,11,2026,06,6,Blindside Flanker,0,,0,,1000438,Tual Trainini,1000945,David Beun,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,,
3,948000,0,,2350,Stade Toulousain,4.00,4.00,4,1,20,10,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,70,0,0,0,2025-11-29T20:01:08Z,1,1,1,0,0,2350,Stade Toulousain,41,Racing 92,29/11/2025,21:00,15,3,48,24,0,0,83,Stade Ernest-Wallon,-1,NA,11,2026,,,,0,,0,,1000438,Tual Trainini,1000945,David Beun,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,,
4,948000,37499,Leo Banos,2350,Stade Toulousain,4.00,5.64,4,1,20,10,20,10,1,Carry,105,Restart Return,108,Tackled Neutral,110,Neutral Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,1,1,2025-11-29T20:01:08Z,1,1,1,0,0,2350,Stade Toulousain,41,Racing 92,29/11/2025,21:00,15,3,48,24,0,0,83,Stade Ernest-Wallon,-1,NA,11,2026,06,6,Blindside Flanker,0,,0,,1000438,Tual Trainini,1000945,David Beun,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,Y,W,22540,Fabien Sanconnie,41,Racing 92,5
5,948000,22540,Fabien Sanconnie,41,Racing 92,4.88,4.88,5,1,81,58,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-11-29T20:01:09Z,1,1,1,0,0,2350,Stade Toulousain,41,Racing 92,29/11/2025,21:00,15,3,48,24,0,0,83,Stade Ernest-Wallon,-1,NA,11,2026,07,7,Openside Flanker,0,,0,,1000438,Tual Trainini,1000945,David Beun,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,N,L,37499,Leo Banos,2350,Stade Toulousain,4
6,948000,37499,Leo Banos,2350,Stade Toulousain,5.64,13.12,6,1,20,10,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,5,23,2025-11-29T20:01:10Z,1,1,1,0,0,2350,Stade Toulousain,41,Racing 92,29/11/2025,21:00,15,3,48,24,0,0,83,Stade Ernest-Wallon,-1,NA,11,2026,06,6,Blindside Flanker,0,,0,,1000438,Tual Trainini,1000945,David Beun,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,Y,W,31876,Paul Graou,2350,Stade Toulousain,11
7,948000,35178,Guillaume Cramont,2350,Stade Toulousain,6.52,6.52,7,1,20,10,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2025-11-29T20:01:11Z,1,1,1,0,0,2350,Stade Toulousain,41,Racing 92,29/11/2025,21:00,15,3,48,24,0,0,83,Stade Ernest-Wallon,-1,NA,11,2026,02,2,Hooker,0,,0,,1000438,Tual Trainini,1000945,David Beun,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,,
8,948000,37482,Joel Merkler,2350,Stade Toulousain,6.68,6.68,7,1,20,10,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2025-11-29T20:01:11Z,1,1,1,0,0,2350,Stade Toulousain,41,Racing 92,29/11/2025,21:00,15,3,48,24,0,0,83,Stade Ernest-Wallon,-1,NA,11,2026,03,3,Tighthead Prop,0,,0,,1000438,Tual Trainini,1000945,David Beun,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,,
9,948000,27744,Emmanuel Meafou,2350,Stade Toulousain,8.16,8.16,9,1,20,10,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2025-11-29T20:01:13Z,1,1,1,0,0,2350,Stade Toulousain,41,Racing 92,29/11/2025,21:00,15,3,48,24,0,0,83,Stade Ernest-Wallon,-1,NA,11,2026,05,5,Lock (5),0,,0,,1000438,Tual Trainini,1000945,David Beun,1000524,Jonathan Gasnier,197,Cedric Marchat,203,TOP 14,Y,W,0,,0,,
