ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948018,47,,47,Stade Rochelais,0.00,2.84,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:05Z,0,0,0,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,,,,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
1,948018,33837,Paolo Garbisi,39,RC Toulon,0.00,2.84,0,1,50,34,82,64,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,32,44,31,0,2026-01-04T20:08:05Z,1,0,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,10,10,Fly Half,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
2,948018,29456,Gregory Alldritt,47,Stade Rochelais,2.84,2.84,3,1,19,4,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:08Z,1,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,08,8,Number 8,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
3,948018,0,,47,Stade Rochelais,2.84,2.84,3,1,19,4,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,29,0,0,0,2026-01-04T20:08:08Z,1,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,,,,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
4,948018,29456,Gregory Alldritt,47,Stade Rochelais,2.84,5.20,3,1,19,4,19,7,1,Carry,105,Restart Return,409,Tackled Ineffective,110,Neutral Gain line,462,Ineffective Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:08Z,1,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,08,8,Number 8,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,37476,Rayan Rebbadj,39,RC Toulon,5
5,948018,37476,Rayan Rebbadj,39,RC Toulon,4.12,4.12,4,1,81,63,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:09Z,1,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,14,14,Right Wing,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,N,L,29456,Gregory Alldritt,47,Stade Rochelais,4
6,948018,58242,Oliver Cowie,39,RC Toulon,4.28,4.28,4,1,81,63,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:09Z,1,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,12,12,Inside Centre,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
7,948018,925294,Noam Moreau,39,RC Toulon,4.32,4.32,4,1,81,63,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:09Z,1,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,07,7,Openside Flanker,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,N,L,29456,Gregory Alldritt,47,Stade Rochelais,4
8,948018,29456,Gregory Alldritt,47,Stade Rochelais,5.20,7.28,5,1,19,7,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,6,2026-01-04T20:08:10Z,1,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,08,8,Number 8,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,36660,Nolann Le Garrec,47,Stade Rochelais,12
9,948018,58242,Oliver Cowie,39,RC Toulon,5.56,5.56,6,1,81,61,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:08Z,1,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,12,12,Inside Centre,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,N,L,0,,0,,
10,948018,40411,Oscar Jegou,47,Stade Rochelais,5.64,5.64,6,1,19,7,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:10Z,1,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,06,6,Blindside Flanker,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
11,948018,39719,Alexandre Kaddouri,47,Stade Rochelais,6.48,6.48,7,1,19,7,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:11Z,1,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,01,1,Loosehead Prop,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
12,948018,36660,Nolann Le Garrec,47,Stade Rochelais,7.28,7.28,7,1,18,7,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:12Z,2,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,09,9,Scrum Half,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
13,948018,36660,Nolann Le Garrec,47,Stade Rochelais,7.28,7.28,7,1,18,7,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:12Z,2,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,09,9,Scrum Half,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
14,948018,36660,Nolann Le Garrec,47,Stade Rochelais,9.96,11.12,10,1,18,7,13,14,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,7,8,5,0,2026-01-04T20:08:14Z,2,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,09,9,Scrum Half,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,22239,Uini Atonio,47,Stade Rochelais,15
15,948018,22239,Uini Atonio,47,Stade Rochelais,11.12,11.12,11,1,13,14,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:15Z,2,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,03,3,Tighthead Prop,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
16,948018,22239,Uini Atonio,47,Stade Rochelais,11.12,11.12,11,1,13,14,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:15Z,2,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,03,3,Tighthead Prop,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
17,948018,22239,Uini Atonio,47,Stade Rochelais,11.12,12.36,11,1,13,14,18,14,1,Carry,101,One Out Drive,107,Tackled Dominant,111,Failed Gain line,460,Dominant Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,5,1,1,2026-01-04T20:08:15Z,2,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,03,3,Tighthead Prop,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,57334,Leo Ametlla,39,RC Toulon,18
18,948018,57334,Leo Ametlla,39,RC Toulon,11.32,11.32,11,1,83,54,0,0,2,Tackle,144,Line,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:16Z,2,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,01,1,Loosehead Prop,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,N,L,22239,Uini Atonio,47,Stade Rochelais,17
19,948018,37286,Nikoloz Narmania,39,RC Toulon,12.04,12.04,12,1,83,54,0,0,2,Tackle,144,Line,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:16Z,2,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,03,3,Tighthead Prop,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,N,L,22239,Uini Atonio,47,Stade Rochelais,17
20,948018,22239,Uini Atonio,47,Stade Rochelais,12.36,20.40,12,1,18,14,0,0,23,Ruck,0,,401,Won Outright,549,Behind Previous Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:17Z,2,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,03,3,Tighthead Prop,0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,36660,Nolann Le Garrec,47,Stade Rochelais,26
21,948018,57357,Charles Kante-Samba,47,Stade Rochelais,13.00,13.00,13,1,18,14,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-01-04T20:08:17Z,2,1,1,0,0,47,Stade Rochelais,39,RC Toulon,04/01/2026,21:05,35,0,66,0,0,0,211,Stade Marcel-Deflandre,-1,,14,2026,04,4,Lock (4),0,,0,,1000567,Ludovic Cayre,1001250,Benoit Albert,1000489,Thomas Charabas,191,Eric Gauzins,203,TOP 14,Y,W,0,,0,,
