ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948028,1650,,1650,USAP,0.00,2.96,2,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-24T15:36:40Z,0,0,0,0,0,1650,USAP,4900,US Montauban,24/01/2026,16:35,21,3,31,8,0,0,77,Stade Aime Giral,-1,,15,2026,,,,0,,0,,1000567,Ludovic Cayre,1001471,Cyrille Boulay,1001423,Kevin Bralley,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
1,948028,23496,Thomas Fortunel,4900,US Montauban,0.00,2.96,2,1,50,35,90,16,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,40,45,20,0,2026-01-24T15:36:40Z,1,0,1,0,0,1650,USAP,4900,US Montauban,24/01/2026,16:35,21,3,31,8,0,0,77,Stade Aime Giral,-1,,15,2026,10,10,Fly Half,0,,0,,1000567,Ludovic Cayre,1001471,Cyrille Boulay,1001423,Kevin Bralley,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
2,948028,20742,Peceli Yato,1650,USAP,2.96,2.96,5,1,10,52,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-01-24T15:36:43Z,1,1,1,0,0,1650,USAP,4900,US Montauban,24/01/2026,16:35,21,3,31,8,0,0,77,Stade Aime Giral,-1,,15,2026,04,4,Lock (4),0,,0,,1000567,Ludovic Cayre,1001471,Cyrille Boulay,1001423,Kevin Bralley,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
3,948028,0,,1650,USAP,2.96,2.96,5,1,10,52,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,31,0,0,0,2026-01-24T15:36:43Z,1,1,1,0,0,1650,USAP,4900,US Montauban,24/01/2026,16:35,21,3,31,8,0,0,77,Stade Aime Giral,-1,,15,2026,,,,0,,0,,1000567,Ludovic Cayre,1001471,Cyrille Boulay,1001423,Kevin Bralley,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
4,948028,20742,Peceli Yato,1650,USAP,2.96,8.00,5,1,10,52,19,46,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,9,9,4,4,2026-01-24T15:36:43Z,1,1,1,0,0,1650,USAP,4900,US Montauban,24/01/2026,16:35,21,3,31,8,0,0,77,Stade Aime Giral,-1,,15,2026,04,4,Lock (4),0,,0,,1000567,Ludovic Cayre,1001471,Cyrille Boulay,1001423,Kevin Bralley,192,Philippe Bonhoure,203,TOP 14,Y,W,21786,Joe Powell,4900,US Montauban,5
5,948028,21786,Joe Powell,4900,US Montauban,6.32,6.32,8,1,85,21,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-01-24T15:36:46Z,1,1,1,0,0,1650,USAP,4900,US Montauban,24/01/2026,16:35,21,3,31,8,0,0,77,Stade Aime Giral,-1,,15,2026,09,9,Scrum Half,0,,0,,1000567,Ludovic Cayre,1001471,Cyrille Boulay,1001423,Kevin Bralley,192,Philippe Bonhoure,203,TOP 14,N,L,20742,Peceli Yato,1650,USAP,4
6,948028,39554,Thomas Bue,4900,US Montauban,7.60,7.60,10,1,85,21,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-01-24T15:36:47Z,1,1,1,0,0,1650,USAP,4900,US Montauban,24/01/2026,16:35,21,3,31,8,0,0,77,Stade Aime Giral,-1,,15,2026,01,1,Loosehead Prop,0,,0,,1000567,Ludovic Cayre,1001471,Cyrille Boulay,1001423,Kevin Bralley,192,Philippe Bonhoure,203,TOP 14,N,L,20742,Peceli Yato,1650,USAP,4
7,948028,20742,Peceli Yato,1650,USAP,8.00,16.56,10,1,19,46,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2026-01-24T15:36:48Z,1,1,1,0,0,1650,USAP,4900,US Montauban,24/01/2026,16:35,21,3,31,8,0,0,77,Stade Aime Giral,-1,,15,2026,04,4,Lock (4),0,,0,,1000567,Ludovic Cayre,1001471,Cyrille Boulay,1001423,Kevin Bralley,192,Philippe Bonhoure,203,TOP 14,Y,W,24449,James Hall,1650,USAP,13
8,948028,21786,Joe Powell,4900,US Montauban,8.28,8.28,10,1,81,22,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-01-24T15:36:40Z,1,1,1,0,0,1650,USAP,4900,US Montauban,24/01/2026,16:35,21,3,31,8,0,0,77,Stade Aime Giral,-1,,15,2026,09,9,Scrum Half,0,,0,,1000567,Ludovic Cayre,1001471,Cyrille Boulay,1001423,Kevin Bralley,192,Philippe Bonhoure,203,TOP 14,N,L,0,,0,,
9,948028,22567,Mathieu Tanguy,1650,USAP,9.00,9.00,11,1,19,46,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-01-24T15:36:41Z,1,1,1,0,0,1650,USAP,4900,US Montauban,24/01/2026,16:35,21,3,31,8,0,0,77,Stade Aime Giral,-1,,15,2026,05,5,Lock (5),0,,0,,1000567,Ludovic Cayre,1001471,Cyrille Boulay,1001423,Kevin Bralley,192,Philippe Bonhoure,203,TOP 14,Y,W,0,,0,,
