ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948037,45,,45,Lyon,0.00,4.40,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T15:35:39Z,0,0,0,0,0,45,Lyon,4900,US Montauban,14/02/2026,16:35,45,5,73,12,0,0,7,Matmut Stadium de Gerland,-1,,17,2026,,,,0,,0,,1001258,Pierre Bru,1000838,Thomas Chereque,1001530,Anthony Lac,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,,
1,948037,39515,Martin Meliande,45,Lyon,0.00,4.40,1,1,50,34,88,56,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,38,44,22,0,2026-02-14T15:35:39Z,1,0,1,0,0,45,Lyon,4900,US Montauban,14/02/2026,16:35,45,5,73,12,0,0,7,Matmut Stadium de Gerland,-1,,17,2026,10,10,Fly Half,0,,0,,1001258,Pierre Bru,1000838,Thomas Chereque,1001530,Anthony Lac,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,,
2,948037,37427,Paul Vallee,4900,US Montauban,4.40,4.40,5,1,12,12,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T15:35:43Z,1,1,1,0,0,45,Lyon,4900,US Montauban,14/02/2026,16:35,45,5,73,12,0,0,7,Matmut Stadium de Gerland,-1,,17,2026,11,11,Left Wing,0,,0,,1001258,Pierre Bru,1000838,Thomas Chereque,1001530,Anthony Lac,1000196,Patrick Dellac,203,TOP 14,N,L,0,,0,,
3,948037,0,,4900,US Montauban,4.40,4.40,5,1,12,12,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,34,0,0,0,2026-02-14T15:35:43Z,1,1,1,0,0,45,Lyon,4900,US Montauban,14/02/2026,16:35,45,5,73,12,0,0,7,Matmut Stadium de Gerland,-1,,17,2026,,,,0,,0,,1001258,Pierre Bru,1000838,Thomas Chereque,1001530,Anthony Lac,1000196,Patrick Dellac,203,TOP 14,N,L,0,,0,,
4,948037,37427,Paul Vallee,4900,US Montauban,5.72,8.16,7,1,15,14,45,0,4,Kick,347,Touch Kick,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,30,33,0,0,2026-02-14T15:35:45Z,1,1,1,0,0,45,Lyon,4900,US Montauban,14/02/2026,16:35,45,5,73,12,0,0,7,Matmut Stadium de Gerland,-1,,17,2026,11,11,Left Wing,0,,0,,1001258,Pierre Bru,1000838,Thomas Chereque,1001530,Anthony Lac,1000196,Patrick Dellac,203,TOP 14,N,L,0,,0,,
5,948037,0,,45,Lyon,0.00,8.16,9,1,50,34,55,68,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,5,0,0,0,2026-02-14T15:35:39Z,1,1,1,0,0,45,Lyon,4900,US Montauban,14/02/2026,16:35,45,5,73,12,0,0,7,Matmut Stadium de Gerland,-1,,17,2026,,,,0,,0,,1001258,Pierre Bru,1000838,Thomas Chereque,1001530,Anthony Lac,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,,
6,948037,0,,4900,US Montauban,4.40,8.16,9,1,12,12,45,0,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,33,0,0,0,2026-02-14T15:35:43Z,1,1,1,0,0,45,Lyon,4900,US Montauban,14/02/2026,16:35,45,5,73,12,0,0,7,Matmut Stadium de Gerland,-1,,17,2026,,,,0,,0,,1001258,Pierre Bru,1000838,Thomas Chereque,1001530,Anthony Lac,1000196,Patrick Dellac,203,TOP 14,N,L,0,,0,,
7,948037,29583,Guillaume Marchand,45,Lyon,32.32,32.36,33,1,54,68,53,60,6,Lineout Throw,371,Throw Front,376,Won Clean Catch,207,Catch and Drive,0,6,676,N/A Movement Lineout,731,6 Players,724,Halfback in Position,0,,0,,0,,8,0,0,0,2026-02-14T15:36:11Z,1,2,2,0,0,45,Lyon,4900,US Montauban,14/02/2026,16:35,45,5,73,12,0,0,7,Matmut Stadium de Gerland,-1,,17,2026,02,2,Hooker,0,,0,,1001258,Pierre Bru,1000838,Thomas Chereque,1001530,Anthony Lac,1000196,Patrick Dellac,203,TOP 14,Y,W,25790,Janse Roux,45,Lyon,8
8,948037,25790,Janse Roux,45,Lyon,32.36,32.36,33,1,53,60,0,0,27,Lineout Take,386,Lineout Win Front,376,Won Clean,207,Catch and Drive,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T15:36:11Z,1,2,2,0,0,45,Lyon,4900,US Montauban,14/02/2026,16:35,45,5,73,12,0,0,7,Matmut Stadium de Gerland,-1,,17,2026,05,5,Lock (5),0,,0,,1001258,Pierre Bru,1000838,Thomas Chereque,1001530,Anthony Lac,1000196,Patrick Dellac,203,TOP 14,Y,W,29583,Guillaume Marchand,45,Lyon,7
9,948037,25790,Janse Roux,45,Lyon,33.72,40.32,35,1,54,60,0,0,24,Maul,0,,401,Won Outright,0,,0,,659,Wide Left Open Movement Maul,0,,0,,0,,0,,0,,0,0,48,46,2026-02-14T15:36:13Z,1,2,2,0,0,45,Lyon,4900,US Montauban,14/02/2026,16:35,45,5,73,12,0,0,7,Matmut Stadium de Gerland,-1,,17,2026,05,5,Lock (5),0,,0,,1001258,Pierre Bru,1000838,Thomas Chereque,1001530,Anthony Lac,1000196,Patrick Dellac,203,TOP 14,Y,W,23314,Charlie Cassang,45,Lyon,10
