ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948044,2050,,2050,Castres Olympique,0.00,4.16,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T20:01:41Z,0,0,0,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,,,,0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,Y,L,0,,0,,
1,948044,25076,Antoine Hastoy,47,Stade Rochelais,0.00,4.16,0,1,50,34,85,55,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,35,41,21,0,2026-02-28T20:01:41Z,1,0,1,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,10,10,Fly Half,0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,N,W,0,,0,,
2,948044,34994,Abraham Papali'i,2050,Castres Olympique,4.16,4.16,4,1,15,13,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T20:01:45Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,08,8,Number 8,0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,Y,L,0,,0,,
3,948044,0,,2050,Castres Olympique,4.16,4.16,4,1,15,13,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,28,0,0,0,2026-02-28T20:01:45Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,,,,0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,Y,L,0,,0,,
4,948044,34994,Abraham Papali'i,2050,Castres Olympique,4.16,6.72,4,1,15,13,22,9,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,7,7,4,4,2026-02-28T20:01:45Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,08,8,Number 8,0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,Y,L,21371,Levani Botia,47,Stade Rochelais,5
5,948044,21371,Levani Botia,47,Stade Rochelais,5.84,5.84,6,1,82,57,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-02-28T20:01:47Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,07,7,Openside Flanker,0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,N,W,34994,Abraham Papali'i,2050,Castres Olympique,4
6,948044,37708,Davit Niniashvili,47,Stade Rochelais,6.04,6.04,6,1,82,57,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-02-28T20:01:47Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,13,13,Outside Centre,0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,N,W,34994,Abraham Papali'i,2050,Castres Olympique,4
7,948044,34994,Abraham Papali'i,2050,Castres Olympique,6.72,12.60,7,1,22,9,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,668,Tight Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,0,2026-02-28T20:01:49Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,08,8,Number 8,0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,Y,L,25241,Santiago Arata,2050,Castres Olympique,13
8,948044,22558,Aurelien Azar,2050,Castres Olympique,6.76,6.76,7,1,22,9,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-28T20:01:43Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,03,3,Tighthead Prop,0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,Y,L,0,,0,,
9,948044,34244,Teddy Durand,2050,Castres Olympique,8.04,8.04,8,1,22,9,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-02-28T20:01:44Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,02,2,Hooker,0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,Y,L,0,,0,,
10,948044,20714,Tom Staniforth,2050,Castres Olympique,8.64,8.64,9,1,22,9,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-02-28T20:01:45Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,05,5,Lock (5),0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,Y,L,0,,0,,
11,948044,27056,Guillaume Ducat,2050,Castres Olympique,8.96,8.96,9,1,22,9,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2026-02-28T20:01:45Z,1,1,1,0,0,2050,Castres Olympique,47,Stade Rochelais,28/02/2026,21:00,6,14,26,31,0,0,92,Stade Pierre Fabre,-1,,18,2026,04,4,Lock (4),0,,0,,1000489,Thomas Charabas,1001250,Benoit Albert,1001423,Kevin Bralley,197,Cedric Marchat,203,TOP 14,Y,L,0,,0,,
