ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948058,2050,,2050,Castres Olympique,0.00,4.00,3,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T15:58:20Z,0,0,0,0,0,2050,Castres Olympique,4900,US Montauban,28/03/2026,16:35,28,10,49,17,0,0,92,Stade Pierre Fabre,-1,,20,2026,,,,0,,0,,1000550,Vivien Praderie,1000328,Stephane Boyer,1000705,Ludovic Carrillo,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,,
1,948058,25274,Pierre Popelin,2050,Castres Olympique,0.00,4.00,3,1,50,33,66,62,14,Restart,281,50m Restart,284,Restart Retained,289,Short,753,Kicked Right,796,Kick Receipt Contested,0,,0,,0,,0,,0,,16,33,29,0,2026-03-28T15:58:20Z,1,1,1,0,0,2050,Castres Olympique,4900,US Montauban,28/03/2026,16:35,28,10,49,17,0,0,92,Stade Pierre Fabre,-1,,20,2026,10,10,Fly Half,0,,0,,1000550,Vivien Praderie,1000328,Stephane Boyer,1000705,Ludovic Carrillo,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,,
2,948058,23812,Tyrone Vi'iga,4900,US Montauban,3.88,3.88,7,1,33,6,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T15:58:20Z,1,1,1,0,0,2050,Castres Olympique,4900,US Montauban,28/03/2026,16:35,28,10,49,17,0,0,92,Stade Pierre Fabre,-1,,20,2026,06,6,Blindside Flanker,0,,0,,1000550,Vivien Praderie,1000328,Stephane Boyer,1000705,Ludovic Carrillo,1000196,Patrick Dellac,203,TOP 14,N,L,0,,0,,
3,948058,37417,Adam Vargas,2050,Castres Olympique,4.00,4.00,7,1,66,62,0,0,18,Collection,437,Tap Back,277,Success,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T15:58:20Z,1,1,1,0,0,2050,Castres Olympique,4900,US Montauban,28/03/2026,16:35,28,10,49,17,0,0,92,Stade Pierre Fabre,-1,,20,2026,14,14,Right Wing,0,,0,,1000550,Vivien Praderie,1000328,Stephane Boyer,1000705,Ludovic Carrillo,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,,
4,948058,37417,Adam Vargas,2050,Castres Olympique,4.00,4.84,7,1,66,62,64,56,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,6,6,3,0,2026-03-28T15:58:21Z,1,1,1,0,0,2050,Castres Olympique,4900,US Montauban,28/03/2026,16:35,28,10,49,17,0,0,92,Stade Pierre Fabre,-1,,20,2026,14,14,Right Wing,0,,0,,1000550,Vivien Praderie,1000328,Stephane Boyer,1000705,Ludovic Carrillo,1000196,Patrick Dellac,203,TOP 14,Y,W,36344,Jeremy Fernandez,2050,Castres Olympique,5
5,948058,36344,Jeremy Fernandez,2050,Castres Olympique,4.84,4.84,8,1,64,56,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T15:58:21Z,1,1,1,0,0,2050,Castres Olympique,4900,US Montauban,28/03/2026,16:35,28,10,49,17,0,0,92,Stade Pierre Fabre,-1,,20,2026,09,9,Scrum Half,0,,0,,1000550,Vivien Praderie,1000328,Stephane Boyer,1000705,Ludovic Carrillo,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,,
6,948058,36344,Jeremy Fernandez,2050,Castres Olympique,6.24,7.36,9,1,64,54,55,42,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,701,1st Receiver,0,,0,,0,,0,,0,,12,15,8,0,2026-03-28T15:58:24Z,1,1,1,0,0,2050,Castres Olympique,4900,US Montauban,28/03/2026,16:35,28,10,49,17,0,0,92,Stade Pierre Fabre,-1,,20,2026,09,9,Scrum Half,0,,0,,1000550,Vivien Praderie,1000328,Stephane Boyer,1000705,Ludovic Carrillo,1000196,Patrick Dellac,203,TOP 14,Y,W,25274,Pierre Popelin,2050,Castres Olympique,7
7,948058,25274,Pierre Popelin,2050,Castres Olympique,7.36,7.36,11,1,55,42,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T15:58:24Z,1,1,1,0,0,2050,Castres Olympique,4900,US Montauban,28/03/2026,16:35,28,10,49,17,0,0,92,Stade Pierre Fabre,-1,,20,2026,10,10,Fly Half,0,,0,,1000550,Vivien Praderie,1000328,Stephane Boyer,1000705,Ludovic Carrillo,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,,
8,948058,25274,Pierre Popelin,2050,Castres Olympique,8.12,9.00,11,1,55,40,51,23,3,Pass,169,Complete,0,,680,Long Pass,681,Left Pass,702,2nd Receiver,0,,0,,0,,0,,0,,17,18,3,0,2026-03-28T15:58:26Z,1,1,1,0,0,2050,Castres Olympique,4900,US Montauban,28/03/2026,16:35,28,10,49,17,0,0,92,Stade Pierre Fabre,-1,,20,2026,10,10,Fly Half,0,,0,,1000550,Vivien Praderie,1000328,Stephane Boyer,1000705,Ludovic Carrillo,1000196,Patrick Dellac,203,TOP 14,Y,W,34994,Abraham Papali'i,2050,Castres Olympique,9
9,948058,34994,Abraham Papali'i,2050,Castres Olympique,9.00,9.00,12,1,51,23,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T15:58:26Z,1,1,1,0,0,2050,Castres Olympique,4900,US Montauban,28/03/2026,16:35,28,10,49,17,0,0,92,Stade Pierre Fabre,-1,,20,2026,08,8,Number 8,0,,0,,1000550,Vivien Praderie,1000328,Stephane Boyer,1000705,Ludovic Carrillo,1000196,Patrick Dellac,203,TOP 14,Y,W,0,,0,,
