ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948061,1600,,1600,Stade Francais Paris,0.00,2.84,1,1,48,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-29T19:07:13Z,0,0,0,0,0,1600,Stade Francais Paris,2250,ASM Clermont Auvergne,29/03/2026,21:05,24,8,64,20,0,0,79,Stade Jean Bouin,-1,,20,2026,,,,0,,0,,1001423,Kevin Bralley,1000416,Vincent Blasco,1000551,Laurent Millotte,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
1,948061,29429,Louis Carbonel,1600,Stade Francais Paris,0.00,2.84,1,1,48,34,80,58,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,32,41,25,0,2026-03-29T19:07:13Z,1,0,1,0,0,1600,Stade Francais Paris,2250,ASM Clermont Auvergne,29/03/2026,21:05,24,8,64,20,0,0,79,Stade Jean Bouin,-1,,20,2026,10,10,Fly Half,0,,0,,1001423,Kevin Bralley,1000416,Vincent Blasco,1000551,Laurent Millotte,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
2,948061,28969,Pita-Gus Sowakula,2250,ASM Clermont Auvergne,2.84,2.84,4,1,20,10,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-29T19:07:16Z,1,1,1,0,0,1600,Stade Francais Paris,2250,ASM Clermont Auvergne,29/03/2026,21:05,24,8,64,20,0,0,79,Stade Jean Bouin,-1,,20,2026,08,8,Number 8,0,,0,,1001423,Kevin Bralley,1000416,Vincent Blasco,1000551,Laurent Millotte,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
3,948061,0,,2250,ASM Clermont Auvergne,2.84,2.84,4,1,20,10,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,27,0,0,0,2026-03-29T19:07:16Z,1,1,1,0,0,1600,Stade Francais Paris,2250,ASM Clermont Auvergne,29/03/2026,21:05,24,8,64,20,0,0,79,Stade Jean Bouin,-1,,20,2026,,,,0,,0,,1001423,Kevin Bralley,1000416,Vincent Blasco,1000551,Laurent Millotte,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
4,948061,28969,Pita-Gus Sowakula,2250,ASM Clermont Auvergne,2.84,4.76,4,1,20,10,21,11,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,1,0,0,2026-03-29T19:07:16Z,1,1,1,0,0,1600,Stade Francais Paris,2250,ASM Clermont Auvergne,29/03/2026,21:05,24,8,64,20,0,0,79,Stade Jean Bouin,-1,,20,2026,08,8,Number 8,0,,0,,1001423,Kevin Bralley,1000416,Vincent Blasco,1000551,Laurent Millotte,1000568,Julien Castaignede,203,TOP 14,N,L,45630,Peniasi Dakuwaqa,1600,Stade Francais Paris,5
5,948061,45630,Peniasi Dakuwaqa,1600,Stade Francais Paris,3.56,3.56,5,1,79,58,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-03-29T19:07:17Z,1,1,1,0,0,1600,Stade Francais Paris,2250,ASM Clermont Auvergne,29/03/2026,21:05,24,8,64,20,0,0,79,Stade Jean Bouin,-1,,20,2026,14,14,Right Wing,0,,0,,1001423,Kevin Bralley,1000416,Vincent Blasco,1000551,Laurent Millotte,1000568,Julien Castaignede,203,TOP 14,Y,W,28969,Pita-Gus Sowakula,2250,ASM Clermont Auvergne,4
6,948061,31386,Romain Briatte,1600,Stade Francais Paris,3.96,3.96,5,1,79,58,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-03-29T19:07:17Z,1,1,1,0,0,1600,Stade Francais Paris,2250,ASM Clermont Auvergne,29/03/2026,21:05,24,8,64,20,0,0,79,Stade Jean Bouin,-1,,20,2026,07,7,Openside Flanker,0,,0,,1001423,Kevin Bralley,1000416,Vincent Blasco,1000551,Laurent Millotte,1000568,Julien Castaignede,203,TOP 14,Y,W,28969,Pita-Gus Sowakula,2250,ASM Clermont Auvergne,4
7,948061,28969,Pita-Gus Sowakula,2250,ASM Clermont Auvergne,4.76,14.32,6,1,21,11,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,668,Tight Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,0,2026-03-29T19:07:18Z,1,1,1,0,0,1600,Stade Francais Paris,2250,ASM Clermont Auvergne,29/03/2026,21:05,24,8,64,20,0,0,79,Stade Jean Bouin,-1,,20,2026,08,8,Number 8,0,,0,,1001423,Kevin Bralley,1000416,Vincent Blasco,1000551,Laurent Millotte,1000568,Julien Castaignede,203,TOP 14,N,L,37269,Baptiste Jauneau,2250,ASM Clermont Auvergne,13
8,948061,30068,Pierre-Henri Azagoh,1600,Stade Francais Paris,5.08,5.08,6,1,79,57,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-03-29T19:07:09Z,1,1,1,0,0,1600,Stade Francais Paris,2250,ASM Clermont Auvergne,29/03/2026,21:05,24,8,64,20,0,0,79,Stade Jean Bouin,-1,,20,2026,04,4,Lock (4),0,,0,,1001423,Kevin Bralley,1000416,Vincent Blasco,1000551,Laurent Millotte,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
9,948061,28863,Thomas Ceyte,2250,ASM Clermont Auvergne,5.32,5.32,7,1,21,11,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-03-29T19:07:09Z,1,1,1,0,0,1600,Stade Francais Paris,2250,ASM Clermont Auvergne,29/03/2026,21:05,24,8,64,20,0,0,79,Stade Jean Bouin,-1,,20,2026,05,5,Lock (5),0,,0,,1001423,Kevin Bralley,1000416,Vincent Blasco,1000551,Laurent Millotte,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
